,card_name,card_num,price,status
0,酔いどれ?店員 ミズキ(サイン入り),LRC/W105-001SSP,"6,980 円",remaining:2pcs
0,ウォールナットの正体 クルミ(サイン入り),LRC/W105-002SSP,"9,980 円",remaining:3pcs
0,俺なりの正義 真島(サイン入り),LRC/W105-033SSP,"3,480 円",remaining:3pcs
0,これからも続く日々 千束(サイン入り),LRC/W105-036SSP,"49,800 円",remaining:3pcs
0,これからも続く日々 たきな(サイン入り),LRC/W105-068SSP,"34,800 円",remaining:6pcs
0,遊びに行こう 千束(箔押し入り),LRC/W105-T01SP,"7,980 円",remaining:1pcs
0,遊びに行こう たきな(箔押し入り),LRC/W105-T14SP,"1,980 円",remaining:1pcs
0,営業開始♪ 千束&たきな(箔押し入り),LRC/W105-003LRR,"2,480 円",remaining:6pcs
0,日常を守る存在 たきな&千束(箔押し入り),LRC/W105-034LRR,"2,980 円",remaining:1pcs
0,帰る居場所 千束(箔押し入り),LRC/W105-035LRR,"2,480 円",remaining:2pcs
0,選んだ居場所 たきな(箔押し入り),LRC/W105-066LRR,"3,980 円",remaining:4pcs
0,相棒 千束&たきな(箔押し入り),LRC/W105-067LRR,"4,980 円",remaining:1pcs
0,敏腕経理 たきな,LRC/W105-007OFR,500 円,remaining:◯
0,看板娘 千束,LRC/W105-010OFR,500 円,remaining:◯
0,天性の才能 千束,LRC/W105-038OFR,"1,280 円",remaining:6pcs
0,ふたり一緒なら 千束&たきな,LRC/W105-071OFR,980 円,remaining:9pcs
0,射撃の達人 たきな,LRC/W105-072OFR,500 円,remaining:9pcs
0,どんなご注文も、おまかせあれ♪,LRC/W105-029R,680 円,remaining:7pcs
0,喫茶リコリコ経営の危機,LRC/W105-030R,220 円,remaining:7pcs
0,リコリコへようこそ,LRC/W105-062R,500 円,remaining:◯
0,2人で過ごす日々,LRC/W105-063RA,"7,980 円",remaining:2pcs
0,2人で過ごす日々,LRC/W105-063RB,"7,980 円",remaining:2pcs
0,2人で過ごす日々,LRC/W105-063RC,"7,980 円",remaining:1pcs
0,2人で過ごす日々,LRC/W105-063RD,"7,980 円",remaining:×
0,凸凹な名コンビ,LRC/W105-097R,980 円,remaining:1pcs
0,それぞれの道,LRC/W105-098R,220 円,remaining:7pcs
0,送り迎え ミズキ,LRC/W105-T02R,980 円,remaining:6pcs
0,喫茶リコリコinハワイ ミズキ,LRC/W105-T03R,420 円,remaining:2pcs
0,私の生き方 千束,LRC/W105-T04R,320 円,remaining:6pcs
0,拘りのコーヒー ミカ,LRC/W105-T05R,220 円,remaining:6pcs
0,一緒に生活 千束,LRC/W105-T06R,220 円,remaining:2pcs
0,おいしく楽しく 千束,LRC/W105-T07R,320 円,remaining:1pcs
0,ワイハの迷彩服 千束,LRC/W105-T08R,420 円,remaining:4pcs
0,アランチルドレンの証,LRC/W105-T09R,680 円,remaining:7pcs
0,響かない鼓動,LRC/W105-T10R,220 円,remaining:3pcs
0,良好な変化 たきな,LRC/W105-T11R,320 円,remaining:4pcs
0,共同生活 たきな,LRC/W105-T12R,220 円,remaining:10pcs
0,謎多きハッカー クルミ,LRC/W105-T13R,220 円,remaining:7pcs
0,仲間を救うため クルミ,LRC/W105-T15R,220 円,remaining:4pcs
0,仲間を救うため たきな,LRC/W105-T16R,220 円,remaining:9pcs
0,リコリス たきな&千束,LRC/W105-T17R,500 円,remaining:×
0,久々の再会 たきな,LRC/W105-T18R,500 円,remaining:5pcs
0,力を合わせて,LRC/W105-T19R,500 円,remaining:4pcs
0,困っている人を助ける仕事,LRC/W105-T20R,220 円,remaining:6pcs
0,私服のたきな,LRC/W105-004S,420 円,remaining:×
0,私服の千束,LRC/W105-005S,320 円,remaining:×
0,喫茶リコリコ 千束,LRC/W105-006S,220 円,remaining:×
0,喫茶リコリコ たきな,LRC/W105-009S,180 円,remaining:8pcs
0,レッツゲーム! クルミ&千束,LRC/W105-011S,180 円,remaining:2pcs
0,喫茶リコリコ クルミ,LRC/W105-012S,220 円,remaining:◯
0,いのち大事に 千束,LRC/W105-040S,420 円,remaining:9pcs
0,最期の前に 千束,LRC/W105-041S,220 円,remaining:◯
0,選んだ道 千束,LRC/W105-042S,180 円,remaining:◯
