,card_name,card_num,price,status
0,“本気で生きる”ルーデウス(サイン入り),MTI/S83-002SSP,"7,980 円",remaining:1pcs
0,“守りたい笑顔”シルフィエット(サイン入り),MTI/S83-021SSP,"24,800 円",remaining:×
0,“麗しの剣士”エリス(サイン入り),MTI/S83-051SSP,"19,800 円",remaining:×
0,“強き女剣士”ギレーヌ(サイン入り),MTI/S83-053SSP,"39,800 円",remaining:1pcs
0,“あたたかな眼差し”ロキシー(サイン入り),MTI/S83-082SSP,"59,800 円",remaining:×
0,“魔術の才”ルーデウス(サイン入り),MTI/S83-001SP,"6,980 円",remaining:1pcs
0,“純真無垢な心”シルフィエット(サイン入り),MTI/S83-022SP,"9,980 円",remaining:1pcs
0,“凶暴ツンデレお嬢様”エリス(サイン入り),MTI/S83-052SP,"19,800 円",remaining:1pcs
0,“屈強な体”ギレーヌ(サイン入り),MTI/S83-057SP,"7,980 円",remaining:1pcs
0,“君にあげられるもの”ロキシー(サイン入り),MTI/S83-081SP,"39,800 円",remaining:×
0,“無職転生”ルーデウス(サイン入り),MTI/S83-T06SP,"5,980 円",remaining:×
0,“ロリ、ジト目、不愛想”ロキシー(サイン入り),MTI/S83-T14SP,"158,000 円",remaining:2pcs
0,傲慢なる水竜王,MTI/S83-019R,180 円,remaining:9pcs
0,小さな魔術師,MTI/S83-020R,180 円,remaining:9pcs
0,君がくれた笑顔,MTI/S83-047R,680 円,remaining:2pcs
0,出会えば死,MTI/S83-048R,420 円,remaining:×
0,エリスのお願い,MTI/S83-077R,"3,980 円",remaining:×
0,魔眼の右目,MTI/S83-078R,"1,480 円",remaining:×
0,祝福,MTI/S83-099R,"1,280 円",remaining:×
0,豪雷積層雲,MTI/S83-100R,320 円,remaining:1pcs
0,“卒業試験”ルーデウス,MTI/S83-T02R,980 円,remaining:×
0,“歓迎会”ロキシー,MTI/S83-T17R,320 円,remaining:6pcs
0,“詠唱”ロキシー,MTI/S83-T19R,"3,480 円",remaining:2pcs
0,“陽だまりの中で”ルーデウス,MTI/S83-003S,180 円,remaining:10pcs
