,card_name,card_num,price,status
0,“勇者” ヒンメル(サイン入り),SFN/S108-T04SP,"12,800 円",remaining:×
0,“魔法使い” フリーレン(サイン入り),SFN/S108-T11SP,"99,800 円",remaining:×
0,葬送のフリーレン,SFN/S108-T17OFR,"9,980 円",remaining:×
0,約束の蒼月草,SFN/S108-T20OFR,"6,980 円",remaining:×
0,魔法の収集 フリーレン,SFN/S108-T01R,320 円,remaining:×
0,次の仕事 ハイター,SFN/S108-T02R,320 円,remaining:×
0,次の仕事 アイゼン,SFN/S108-T03R,220 円,remaining:3pcs
0,凱旋 ヒンメル,SFN/S108-T05R,420 円,remaining:3pcs
0,“僧侶” ハイター,SFN/S108-T06R,320 円,remaining:6pcs
0,“戦士” アイゼン,SFN/S108-T07R,220 円,remaining:1pcs
0,今日の気分 ヒンメル,SFN/S108-T08R,320 円,remaining:8pcs
0,僕達の冒険,SFN/S108-T09R,980 円,remaining:×
0,半世紀流星,SFN/S108-T10R,180 円,remaining:×
0,頼み事 ハイター,SFN/S108-T12R,180 円,remaining:×
0,蒼月草 ヒンメル,SFN/S108-T13R,"1,980 円",remaining:×
0,“見習い魔法使い” フェルン,SFN/S108-T14R,320 円,remaining:5pcs
0,掃除の依頼 フリーレン,SFN/S108-T15R,980 円,remaining:×
0,師匠のお世話 フェルン,SFN/S108-T16R,320 円,remaining:1pcs
0,新年祭 フェルン,SFN/S108-T18R,780 円,remaining:10pcs
0,防御魔法,SFN/S108-T19R,"1,980 円",remaining:1pcs
0,葬送のフリーレン,SFN/S108-T17S,180 円,remaining:◯
0,魔法の収集 フリーレン,SFN/S108-T01,50 円,remaining:◯
0,次の仕事 ハイター,SFN/S108-T02,80 円,remaining:◯
0,次の仕事 アイゼン,SFN/S108-T03,50 円,remaining:◯
0,“勇者” ヒンメル,SFN/S108-T04,80 円,remaining:◯
0,凱旋 ヒンメル,SFN/S108-T05,80 円,remaining:◯
0,“僧侶” ハイター,SFN/S108-T06,80 円,remaining:◯
0,“戦士” アイゼン,SFN/S108-T07,50 円,remaining:◯
0,今日の気分 ヒンメル,SFN/S108-T08,80 円,remaining:◯
0,僕達の冒険,SFN/S108-T09,80 円,remaining:◯
0,半世紀流星,SFN/S108-T10,30 円,remaining:◯
0,“魔法使い” フリーレン,SFN/S108-T11,180 円,remaining:◯
0,頼み事 ハイター,SFN/S108-T12,50 円,remaining:◯
0,蒼月草 ヒンメル,SFN/S108-T13,120 円,remaining:◯
0,“見習い魔法使い” フェルン,SFN/S108-T14,30 円,remaining:◯
0,掃除の依頼 フリーレン,SFN/S108-T15,50 円,remaining:◯
0,師匠のお世話 フェルン,SFN/S108-T16,80 円,remaining:◯
0,葬送のフリーレン,SFN/S108-T17,220 円,remaining:◯
0,新年祭 フェルン,SFN/S108-T18,120 円,remaining:◯
0,防御魔法,SFN/S108-T19,120 円,remaining:◯
0,約束の蒼月草,SFN/S108-T20,80 円,remaining:◯
