,card_name,card_num,price,status
0,この街での成長 シャナ(サイン入り),SS/W14-001SP,"17,800 円",remaining:×
0,ドレス姿の一美(サイン入り),SS/W14-002SP,"2,980 円",remaining:×
0,“戦技無双”の美姫 ヴィルヘルミナ(サイン入り),SS/W14-032SP,"5,980 円",remaining:×
0,大いなる器 シャナ(サイン入り),SS/W14-034SP,"19,800 円",remaining:×
0,『弔詞の詠み手』マージョリー・ドー(サイン入り),SS/W14-041SP,"2,980 円",remaining:×
0,“頂の座”ヘカテー(サイン入り),SS/W14-072SP,"7,980 円",remaining:×
0,誇り高き者 シャナ,SS/W14-033R,500 円,remaining:5pcs
0,討滅の使徒 シャナ,SS/W14-035R,980 円,remaining:6pcs
0,シャナ&悠二,SS/W14-042R,"1,480 円",remaining:×
0,託宣の巫女 ヘカテー,SS/W14-073R,320 円,remaining:×
0,初めての気持ち シャナ,SS/W14-008S,500 円,remaining:2pcs
0,シャナ&アラストール,SS/W14-031S,320 円,remaining:×
0,対峙の時 シャナ,SS/W14-037S,500 円,remaining:4pcs
0,“麗しのゴブレット”マージョリー,SS/W14-038S,220 円,remaining:×
0,“フレイムヘイズ”ヴィルヘルミナ,SS/W14-039S,500 円,remaining:3pcs
0,対峙の時 ヘカテー,SS/W14-077S,980 円,remaining:1pcs
0,この街での成長 シャナ,SS/W14-001,320 円,remaining:◯
0,ドレス姿の一美,SS/W14-002,120 円,remaining:◯
0,シャナ&アラストール,SS/W14-031,220 円,remaining:1pcs
0,“戦技無双”の美姫 ヴィルヘルミナ,SS/W14-032,120 円,remaining:10pcs
0,誇り高き者 シャナ,SS/W14-033,180 円,remaining:7pcs
0,大いなる器 シャナ,SS/W14-034,780 円,remaining:5pcs
0,“頂の座”ヘカテー,SS/W14-072,420 円,remaining:7pcs
0,託宣の巫女 ヘカテー,SS/W14-073,120 円,remaining:◯
0,メイド服の近衛,SS/W14-003,80 円,remaining:×
0,踏み出せた一歩 一美,SS/W14-004,80 円,remaining:◯
0,不器用なシャナ,SS/W14-005,80 円,remaining:6pcs
0,変わった“トーチ”悠二,SS/W14-006,680 円,remaining:◯
0,吉田 一美,SS/W14-007,80 円,remaining:◯
0,初めての気持ち シャナ,SS/W14-008,320 円,remaining:◯
0,討滅の使徒 シャナ,SS/W14-035,180 円,remaining:◯
0,ティアマトーの契約者 ヴィルヘルミナ,SS/W14-036,420 円,remaining:◯
0,対峙の時 シャナ,SS/W14-037,220 円,remaining:◯
0,“麗しのゴブレット”マージョリー,SS/W14-038,120 円,remaining:10pcs
0,“フレイムヘイズ”ヴィルヘルミナ,SS/W14-039,320 円,remaining:◯
0,炎剣一閃 シャナ,SS/W14-040,120 円,remaining:◯
0,『弔詞の詠み手』マージョリー・ドー,SS/W14-041,120 円,remaining:◯
0,シャナ&悠二,SS/W14-042,420 円,remaining:◯
0,“屍拾い”ラミー,SS/W14-074,220 円,remaining:◯
0,“懐刃”サブラク,SS/W14-075,120 円,remaining:◯
0,フレイムヘイズ殺し フリアグネ,SS/W14-076,80 円,remaining:◯
0,対峙の時 ヘカテー,SS/W14-077,180 円,remaining:◯
0,大御巫 ヘカテー,SS/W14-078,120 円,remaining:◯
0,“千変”シュドナイ,SS/W14-079,80 円,remaining:◯
0,佐藤 啓作,SS/W14-009,50 円,remaining:◯
0,平井 ゆかり,SS/W14-010,50 円,remaining:◯
0,メロンパン大好き シャナ,SS/W14-011,80 円,remaining:×
0,水着のシャナ,SS/W14-012,80 円,remaining:7pcs
0,近衛 史菜,SS/W14-013,50 円,remaining:◯
0,坂井 悠二,SS/W14-014,50 円,remaining:◯
0,零時迷子の“ミステス”悠二,SS/W14-015,50 円,remaining:◯
0,アラス・トオル,SS/W14-026,320 円,remaining:◯
0,清秋祭始まる,SS/W14-027,180 円,remaining:◯
0,3分料理 ヴィルヘルミナ,SS/W14-043,50 円,remaining:◯
0,マティルダ・サントメール,SS/W14-044,50 円,remaining:◯
0,アラストールの契約者 シャナ,SS/W14-045,50 円,remaining:◯
0,紅蓮の双翼 シャナ,SS/W14-046,80 円,remaining:×
0,“フレイムヘイズ”マージョリー,SS/W14-047,50 円,remaining:◯
0,ドロシー役のシャナ,SS/W14-048,180 円,remaining:◯
0,マージョリー&マルコシアス,SS/W14-049,50 円,remaining:◯
0,トーチとフレイムヘイズ,SS/W14-062,50 円,remaining:7pcs
0,封絶,SS/W14-063,80 円,remaining:2pcs
0,銀の炎,SS/W14-064,180 円,remaining:◯
0,手料理への挑戦,SS/W14-065,180 円,remaining:4pcs
0,“三眼の女怪”ベルペオル,SS/W14-080,50 円,remaining:◯
0,“彩飄”フィレス,SS/W14-081,220 円,remaining:◯
0,からっぽの存在 ヘカテー,SS/W14-082,420 円,remaining:◯
0,“逆理の裁者”ベルペオル,SS/W14-083,50 円,remaining:◯
0,フリアグネ&マリアンヌ,SS/W14-084,50 円,remaining:◯
0,開かれる器 ヘカテー,SS/W14-085,80 円,remaining:◯
0,敖の立像,SS/W14-096,50 円,remaining:◯
0,都喰らい,SS/W14-097,50 円,remaining:◯
0,ジュリエット役の一美,SS/W14-016,30 円,remaining:◯
0,ロミオ役の悠二,SS/W14-017,120 円,remaining:◯
0,坂井 千草,SS/W14-018,30 円,remaining:◯
0,池 速人,SS/W14-019,30 円,remaining:◯
0,戸惑うシャナ,SS/W14-020,30 円,remaining:◯
0,メイド服の一美,SS/W14-021,30 円,remaining:◯
0,緒方 真竹,SS/W14-022,30 円,remaining:◯
0,御崎高校の生徒 一美,SS/W14-023,30 円,remaining:◯
0,疑惑の転校生 近衛,SS/W14-024,80 円,remaining:5pcs
0,田中 栄太,SS/W14-025,30 円,remaining:◯
0,悠二の元へ シャナ&アラストール,SS/W14-050,30 円,remaining:◯
0,ヴィルヘルミナ・カルメル,SS/W14-051,30 円,remaining:◯
0,マージョリー・ドー,SS/W14-052,30 円,remaining:◯
0,意思と使命 シャナ,SS/W14-053,30 円,remaining:8pcs
0,『炎髪灼眼の討ち手』シャナ,SS/W14-054,30 円,remaining:◯
0,水着のマージョリー,SS/W14-055,30 円,remaining:◯
0,守るべきもの シャナ,SS/W14-056,120 円,remaining:◯
0,『万条の仕手』ヴィルヘルミナ・カルメル,SS/W14-057,30 円,remaining:◯
0,“屠殺の即興詩”マージョリー,SS/W14-058,30 円,remaining:8pcs
0,その先を見据えるシャナ,SS/W14-059,30 円,remaining:◯
0,ヴィルヘルミナ&ティアマトー,SS/W14-060,30 円,remaining:◯
0,『儀装の駆り手』カムシン・ネブハーウ,SS/W14-061,30 円,remaining:◯
0,“虹の翼”メリヒム,SS/W14-086,30 円,remaining:◯
0,“狩人”フリアグネ,SS/W14-087,30 円,remaining:◯
0,“探耽求究”ダンタリオン,SS/W14-088,30 円,remaining:◯
0,“愛染自”ソラト&“愛染他”ティリエル,SS/W14-089,30 円,remaining:◯
0,浴衣のヘカテー,SS/W14-090,30 円,remaining:◯
0,“戯睡郷”メア,SS/W14-091,30 円,remaining:◯
0,風の操り手 フィレス,SS/W14-092,30 円,remaining:◯
0,“三柱臣”シュドナイ,SS/W14-093,30 円,remaining:◯
0,“三柱臣”ヘカテー,SS/W14-094,30 円,remaining:◯
0,天目一個,SS/W14-095,30 円,remaining:◯
0,校舎裏の宣戦布告,SS/W14-028,80 円,remaining:◯
0,天道宮の戦い,SS/W14-066,80 円,remaining:◯
0,天破壌砕,SS/W14-067,220 円,remaining:5pcs
0,直接対決!,SS/W14-098,120 円,remaining:4pcs
0,どうしようもない気持ち,SS/W14-029,120 円,remaining:5pcs
0,零時迷子の元へ,SS/W14-030,30 円,remaining:◯
0,何でもできる,SS/W14-068,80 円,remaining:×
0,掴んだ手掛かり,SS/W14-069,30 円,remaining:◯
0,想いの力,SS/W14-070,180 円,remaining:◯
0,茜色の死闘,SS/W14-071,50 円,remaining:◯
0,この世での徒の誕生,SS/W14-099,50 円,remaining:◯
0,器の回収,SS/W14-100,50 円,remaining:◯
0,贄殿遮那の担い手 シャナ,SS/W14-101,120 円,remaining:1pcs
0,養育係 ヴィルヘルミナ,SS/W14-102,80 円,remaining:◯
0,御崎高校の生徒 シャナ,SS/W14-103,50 円,remaining:◯
0,翻る黒衣 シャナ,SS/W14-104,220 円,remaining:6pcs
0,“フレイムヘイズ”シャナ,SS/W14-105,80 円,remaining:9pcs
0,メロンパン大好き シャナ,SS/W14-T01,80 円,remaining:3pcs
0,戸惑うシャナ,SS/W14-T02,30 円,remaining:◯
0,どうしようもない気持ち,SS/W14-T03,30 円,remaining:×
0,ヴィルヘルミナ・カルメル,SS/W14-T04,50 円,remaining:◯
0,マージョリー・ドー,SS/W14-T05,30 円,remaining:◯
0,“炎髪灼眼の討ち手”シャナ,SS/W14-T06,30 円,remaining:◯
0,“屠殺の即興詩”マージョリー,SS/W14-T07,50 円,remaining:◯
0,守るべきもの シャナ,SS/W14-T08,80 円,remaining:◯
0,“万条の仕手”ヴィルヘルミナ・カルメル,SS/W14-T09,50 円,remaining:◯
0,アラストールの契約者 シャナ,SS/W14-T10,80 円,remaining:◯
0,“儀装の駆り手”カムシン・ネブハーウ,SS/W14-T11,30 円,remaining:4pcs
0,トーチとフレイムヘイズ,SS/W14-T12,50 円,remaining:◯
0,想いの力,SS/W14-T13,180 円,remaining:◯
0,何でもできる,SS/W14-T14,80 円,remaining:◯
0,贄殿遮那の担い手 シャナ(ホロ),SS/W14-101,"2,480 円",remaining:×
0,翻る黒衣 シャナ(ホロ),SS/W14-104,"1,480 円",remaining:×
0,“フレイムヘイズ”シャナ(サイン入り),SS/W14-105,"9,980 円",remaining:1pcs
0,灼眼のシャナたん,SS/W14-106,120 円,remaining:×
0,“偉大なる者”シャナ,SS/W14-107,120 円,remaining:9pcs
0,エカテリーナと遊ぶシャナたん,SS/W14-108,120 円,remaining:2pcs
0,頂のヘカテーたん,SS/W14-109,120 円,remaining:◯
0,無類のメロンパン好き シャナ,SS/W14-110,120 円,remaining:3pcs
0,メイド服のシャナ,SS/W14-111,120 円,remaining:4pcs
0,おめかし シャナ,SS/W14-112,120 円,remaining:◯
0,夏服のシャナ,SS/W14-113,220 円,remaining:4pcs
