,card_name,card_num,price,status
0,あぶそりゅーと☆LOVE スマートファルコン(サイン入り),UMA/W106-003SP,"4,980 円",remaining:×
0,unsigned エアシャカール(サイン入り),UMA/W106-004SP,"2,980 円",remaining:×
0,岩穿つ青 グラスワンダー(サイン入り),UMA/W106-005SP,"7,980 円",remaining:×
0,四白流星の襲 ヤエノムテキ(サイン入り),UMA/W106-006SP,"2,480 円",remaining:×
0,キング・オブ・エメラルド キングヘイロー(サイン入り),UMA/W106-007SP,"4,980 円",remaining:3pcs
0,あおぐもサミング セイウンスカイ(サイン入り),UMA/W106-008SP,"5,980 円",remaining:×
0,陰陽八卦☆開運衣 コパノリッキー(サイン入り),UMA/W106-009SP,"4,980 円",remaining:1pcs
0,ボーノ☆アラモーダ ヒシアケボノ(サイン入り),UMA/W106-010SP,"2,480 円",remaining:×
0,スペシャルドリーマー スペシャルウィーク(サイン入り),UMA/W106-011SP,"5,980 円",remaining:×
0,フォーミュラオブルージュ マルゼンスキー(サイン入り),UMA/W106-012SP,"3,980 円",remaining:1pcs
0,うららん一等賞♪ ハルウララ(サイン入り),UMA/W106-013SP,"3,980 円",remaining:2pcs
0,Clear Bliss ミスターシービー(サイン入り),UMA/W106-014SP,"3,980 円",remaining:1pcs
0,ティアード・ペタル ニシノフラワー(サイン入り),UMA/W106-015SP,"2,980 円",remaining:1pcs
0,シューティンスタァ・ルヴュ フジキセキ(サイン入り),UMA/W106-016SP,"3,480 円",remaining:×
0,Meisterschaft エイシンフラッシュ(サイン入り),UMA/W106-017SP,"9,980 円",remaining:6pcs
0,Rocket☆Star シーキングザパール(サイン入り),UMA/W106-018SP,"2,480 円",remaining:×
0,プリンセス・オブ・ピンク カワカミプリンセス(サイン入り),UMA/W106-019SP,"2,980 円",remaining:×
0,エル☆Numero 1 エルコンドルパサー(サイン入り),UMA/W106-020SP,"2,480 円",remaining:×
0,Noble Seamair ファインモーション(サイン入り),UMA/W106-042SP,"4,980 円",remaining:×
0,サイレントイノセンス サイレンススズカ(サイン入り),UMA/W106-043SP,"7,980 円",remaining:×
0,tach-nology アグネスタキオン(サイン入り),UMA/W106-044SP,"3,980 円",remaining:×
0,スター・ライト・シップ ホッコータルマエ(サイン入り),UMA/W106-046SP,"4,980 円",remaining:×
0,フィーユ・エクレール カレンチャン(サイン入り),UMA/W106-050SP,"34,800 円",remaining:1pcs
0,エンプレスロード エアグルーヴ(サイン入り),UMA/W106-051SP,"3,480 円",remaining:×
0,ワイルド・フロンティア タイキシャトル(サイン入り),UMA/W106-052SP,"2,980 円",remaining:1pcs
0,オー・ソレ・スーオ！ テイエムオペラオー(サイン入り),UMA/W106-053SP,"3,480 円",remaining:2pcs
0,運気上昇☆幸福万来 マチカネフクキタル(サイン入り),UMA/W106-054SP,"2,980 円",remaining:2pcs
0,Starry Nocturne アドマイヤベガ(サイン入り),UMA/W106-055SP,"12,800 円",remaining:×
0,Creeping Black マンハッタンカフェ(サイン入り),UMA/W106-056SP,"6,980 円",remaining:2pcs
0,トップ・オブ・ブルー ダイワスカーレット(サイン入り),UMA/W106-057SP,"4,980 円",remaining:1pcs
0,黒鉄の大志 バンブーメモリー(サイン入り),UMA/W106-058SP,"1,980 円",remaining:×
0,ワイルドトップギア ウオッカ(サイン入り),UMA/W106-059SP,"2,480 円",remaining:×
0,ブルー/レイジング メイショウドトウ(サイン入り),UMA/W106-060SP,"2,980 円",remaining:×
0,超特急！フルカラー特殊PP アグネスデジタル(サイン入り),UMA/W106-061SP,"3,980 円",remaining:×
0,オーセンティック/1928 ゴールドシチー(サイン入り),UMA/W106-062SP,"3,980 円",remaining:×
0,めんこいめんこいむつのはな ユキノビジン(サイン入り),UMA/W106-063SP,"2,480 円",remaining:3pcs
0,Flare アストンマーチャン(サイン入り),UMA/W106-083SP,"19,800 円",remaining:×
0,Butterfly Sting ワンダーアキュート(サイン入り),UMA/W106-084SP,"3,980 円",remaining:×
0,疾風迅雷 タマモクロス(サイン入り),UMA/W106-085SP,"4,980 円",remaining:×
0,スターライトビート オグリキャップ(サイン入り),UMA/W106-086SP,"5,980 円",remaining:2pcs
0,Go To Winning! ウイニングチケット(サイン入り),UMA/W106-087SP,"3,480 円",remaining:1pcs
0,ローゼスドリーム ライスシャワー(サイン入り),UMA/W106-089SP,"14,800 円",remaining:×
0,MB-19890425 ミホノブルボン(サイン入り),UMA/W106-090SP,"7,980 円",remaining:×
0,pf.Victory formula… ビワハヤヒデ(サイン入り),UMA/W106-091SP,"2,980 円",remaining:1pcs
0,稲荷所縁江戸紫 イナリワン(サイン入り),UMA/W106-093SP,"2,480 円",remaining:×
0,Maverick ナリタブライアン(サイン入り),UMA/W106-094SP,"2,980 円",remaining:×
0,トップ・オブ・ジョイフル トウカイテイオー(サイン入り),UMA/W106-095SP,"5,980 円",remaining:3pcs
0,すくらんぶる☆ゾーン マヤノトップガン(サイン入り),UMA/W106-096SP,"4,980 円",remaining:×
0,アマゾネス・ラピス ヒシアマゾン(サイン入り),UMA/W106-097SP,"2,480 円",remaining:×
0,マーマリングストリーム スーパークリーク(サイン入り),UMA/W106-098SP,"3,480 円",remaining:×
0,錦上・大判御輿 キタサンブラック(サイン入り),UMA/W106-099SP,"17,800 円",remaining:×
0,Nevertheless ナリタタイシン(サイン入り),UMA/W106-100SP,"4,980 円",remaining:×
0,ロード・オブ・エンペラー シンボリルドルフ(サイン入り),UMA/W106-101SP,"4,980 円",remaining:1pcs
0,日下開山・花あかり サクラチヨノオー(サイン入り),UMA/W106-122SP,"29,800 円",remaining:10pcs
0,ツイステッド・ライン メジロドーベル(サイン入り),UMA/W106-123SP,"6,980 円",remaining:4pcs
0,Heroic Author ゼンノロブロイ(サイン入り),UMA/W106-124SP,"2,980 円",remaining:×
0,Fluttertail Spirit ヤマニンゼファー(サイン入り),UMA/W106-125SP,"4,980 円",remaining:3pcs
0,レッドストライフ ゴールドシップ(サイン入り),UMA/W106-126SP,"3,480 円",remaining:×
0,ストレート・ライン メジロライアン(サイン入り),UMA/W106-127SP,"2,480 円",remaining:×
0,サクラ、すすめ！ サクラバクシンオー(サイン入り),UMA/W106-128SP,"2,980 円",remaining:×
0,死中求活 ナカヤマフェスタ(サイン入り),UMA/W106-129SP,"2,980 円",remaining:×
0,エレガンス・ライン メジロマックイーン(サイン入り),UMA/W106-130SP,"7,980 円",remaining:1pcs
0,ブリュニサージュ・ライン メジロブライト(サイン入り),UMA/W106-131SP,"12,800 円",remaining:×
0,Natural Brilliance サトノダイヤモンド(サイン入り),UMA/W106-132SP,"14,800 円",remaining:×
0,クリノクロア・ライン メジロアルダン(サイン入り),UMA/W106-133SP,"12,800 円",remaining:×
0,オールタイム・フィーバー アイネスフウジン(サイン入り),UMA/W106-134SP,"2,480 円",remaining:3pcs
0,ポップス☆ジョーカー トーセンジョーダン(サイン入り),UMA/W106-135SP,"3,480 円",remaining:×
0,プラタナス・ウィッチ スイープトウショウ(サイン入り),UMA/W106-136SP,"3,980 円",remaining:2pcs
0,Fun☆Fun☆ぱりない ダイタクヘリオス(サイン入り),UMA/W106-137SP,"5,980 円",remaining:×
0,Line Breakthrough メジロパーマー(サイン入り),UMA/W106-138SP,"3,980 円",remaining:1pcs
0,千紫万紅にまぎれぬ一凛 グラスワンダー,UMA/W106-001OFR,"2,480 円",remaining:1pcs
0,Dear Mr. C.B. ミスターシービー,UMA/W106-002OFR,320 円,remaining:×
0,独奏・螺旋追走曲 マンハッタンカフェ,UMA/W106-040OFR,320 円,remaining:×
0,桃色のバックショット ナリタトップロード,UMA/W106-041OFR,320 円,remaining:×
0,一等星を目指して アドマイヤベガ,UMA/W106-045OFR,320 円,remaining:4pcs
0,偉大なるフォトグラフィーア テイエムオペラオー,UMA/W106-047OFR,320 円,remaining:◯
0,うるさい監視役 ウオッカ,UMA/W106-048OFR,320 円,remaining:5pcs
0,努力は裏切らない！ ダイワスカーレット,UMA/W106-049OFR,680 円,remaining:×
0,ブスッといっとく？ 安心沢刺々美,UMA/W106-074OFR,220 円,remaining:10pcs
0,マチタン☆アドベンチャー マチカネタンホイザ,UMA/W106-077OFR,780 円,remaining:◯
0,迫る熱に押されて キタサンブラック,UMA/W106-078OFR,"1,280 円",remaining:◯
0,願いまでは拭わない ナイスネイチャ,UMA/W106-079OFR,500 円,remaining:◯
0,天嗤う鏑矢 ナリタブライアン,UMA/W106-080OFR,680 円,remaining:9pcs
0,Enchainement シンボリルドルフ,UMA/W106-081OFR,420 円,remaining:◯
0,幸せは曲がり角の向こう ライスシャワー,UMA/W106-082OFR,980 円,remaining:×
0,マーベラス☆大作戦 マーベラスサンデー,UMA/W106-088OFR,320 円,remaining:◯
0,Step! Smile! Wink! トウカイテイオー,UMA/W106-092OFR,"1,480 円",remaining:◯
0,徹底管理主義 樫本理子,UMA/W106-111OFR,220 円,remaining:◯
0,おどれ・さわげ・フェスれ！ ダイタクヘリオス,UMA/W106-118OFR,320 円,remaining:×
0,その背中を越えて サトノダイヤモンド,UMA/W106-119OFR,"3,980 円",remaining:8pcs
0,『エース』として メジロマックイーン,UMA/W106-120OFR,980 円,remaining:9pcs
0,不沈艦の進撃 ゴールドシップ,UMA/W106-121OFR,320 円,remaining:◯
0,ようこそ、トレセン学園へ！ 駿川たづな,UMA/W106-148OFR,320 円,remaining:◯
0,旅立ちの日、挑戦の日(箔押し入り),UMA/W106-T10OFR,980 円,remaining:3pcs
0,きっとここから、必ずここで(箔押し入り),UMA/W106-T18OFR,"1,980 円",remaining:1pcs
0,もっと、輝きの先へ(箔押し入り),UMA/W106-T35OFR,"2,480 円",remaining:5pcs
0,風のはじまり(箔押し入り),UMA/W106-T36OFR,"19,800 円",remaining:×
0,みんなにとっての“日本一”,UMA/W106-036R,220 円,remaining:◯
0,Gigue.,UMA/W106-037R,180 円,remaining:◯
0,登場、暴走、団長,UMA/W106-038R,120 円,remaining:◯
0,いつだって一緒だよ！,UMA/W106-039R,180 円,remaining:◯
0,夢を目指す二人三脚,UMA/W106-075R,220 円,remaining:◯
0,紅葉の賀は賑わいて,UMA/W106-076R,320 円,remaining:2pcs
0,ライバルの背中のその先へ,UMA/W106-112R,220 円,remaining:◯
0,『友』と書いて『ライバル』,UMA/W106-113R,220 円,remaining:◯
0,才能の塊,UMA/W106-114R,320 円,remaining:3pcs
0,そしてビューティーなエンディング,UMA/W106-115R,220 円,remaining:◯
0,スクラップ・メドレー,UMA/W106-116R,180 円,remaining:◯
0,おもいかけ,UMA/W106-117R,220 円,remaining:8pcs
0,おかえり、チームのエース,UMA/W106-151R,220 円,remaining:◯
0,第1回ファンタジー記念,UMA/W106-152R,120 円,remaining:◯
0,ラッシュ→バーニング,UMA/W106-153R,120 円,remaining:◯
0,ゆかいな旅路,UMA/W106-154R,180 円,remaining:◯
0,彼女のワガママ,UMA/W106-155R,180 円,remaining:◯
0,素朴なクールドリーマー オグリキャップ,UMA/W106-T01R,320 円,remaining:◯
0,天真爛漫ホッピン少女 トウカイテイオー,UMA/W106-T02R,320 円,remaining:6pcs
0,謎テンションな黄金電波娘 ゴールドシップ,UMA/W106-T03R,220 円,remaining:×
0,夢一直線の純真どさん娘 スペシャルウィーク,UMA/W106-T04R,320 円,remaining:5pcs
0,感情全開の正直娘 ウイニングチケット,UMA/W106-T05R,180 円,remaining:×
0,甘々な末っ子ガール マヤノトップガン,UMA/W106-T06R,780 円,remaining:2pcs
0,優しいお姉さん スーパークリーク,UMA/W106-T07R,180 円,remaining:×
0,七転八起ガール ハルウララ,UMA/W106-T08R,180 円,remaining:×
0,優雅で一途なお嬢様 メジロマックイーン,UMA/W106-T09R,420 円,remaining:5pcs
0,シニカルガール ナイスネイチャ,UMA/W106-T11R,680 円,remaining:1pcs
0,禁断のマッド科学者 アグネスタキオン,UMA/W106-T12R,220 円,remaining:1pcs
0,負けん気満点のツンツンガール ダイワスカーレット,UMA/W106-T13R,420 円,remaining:◯
0,占い大好きなハッピー祈願娘 マチカネフクキタル,UMA/W106-T14R,320 円,remaining:5pcs
0,純情不良なロードスター ウオッカ,UMA/W106-T15R,180 円,remaining:9pcs
0,静かなる疾走者 サイレンスズカ,UMA/W106-T16R,220 円,remaining:×
0,無骨なウマ娘 ヤエノムテキ,UMA/W106-T19R,220 円,remaining:4pcs
0,孤高貫く一等星 アドマイヤベガ,UMA/W106-T20R,500 円,remaining:◯
0,愛され未完の大器 マチカネタンホイザ,UMA/W106-T21R,320 円,remaining:3pcs
0,尊大なる歌劇王 テイエムオペラオー,UMA/W106-T22R,500 円,remaining:8pcs
0,マーべラース! マーベラスサンデー,UMA/W106-T23R,180 円,remaining:6pcs
0,硬派で頑固な一匹狼 ナリタブライアン,UMA/W106-T24R,220 円,remaining:3pcs
0,明朗快活お祭り娘! キタサンブラック,UMA/W106-T25R,980 円,remaining:◯
0,輝く汗も純粋に メジロライアン,UMA/W106-T26R,180 円,remaining:5pcs
0,素直な努力家ウマ娘 サクラチヨノオー,UMA/W106-T27R,320 円,remaining:4pcs
0,大暴走・学級委員長 サクラバクシンオー,UMA/W106-T28R,500 円,remaining:◯
0,冬を超えて咲くサクラ サクラローレル,UMA/W106-T29R,220 円,remaining:×
0,ジンクスに挑むお嬢様 サトノダイヤモンド,UMA/W106-T30R,"3,480 円",remaining:2pcs
0,のんびりご令嬢 メジロブライト,UMA/W106-T31R,180 円,remaining:2pcs
0,ガラスの脚を持つ令嬢 メジロアルダン,UMA/W106-T32R,220 円,remaining:×
0,爽やか完璧優等生! ナリタトップロード,UMA/W106-T33R,680 円,remaining:◯
0,華麗なジェントル娘 フジキセキ,UMA/W106-021S,220 円,remaining:4pcs
0,豪快おてんばウマ娘 カワカミプリンセス,UMA/W106-022S,180 円,remaining:◯
0,不可能をパールにするお姉さん シーキングザパール,UMA/W106-023S,180 円,remaining:◯
0,スーパーカーお姉さん マルゼンスキー,UMA/W106-024S,680 円,remaining:2pcs
0,謹厳実直なメッチェン エイシンフラッシュ,UMA/W106-025S,220 円,remaining:10pcs
0,気配り上手なウマ娘 ニシノフラワー,UMA/W106-026S,180 円,remaining:◯
0,漂う雲のように… セイウンスカイ,UMA/W106-027S,320 円,remaining:7pcs
0,高飛車お嬢様 キングヘイロー,UMA/W106-028S,180 円,remaining:◯
0,常識外れの天才ガール エアシャカール,UMA/W106-029S,180 円,remaining:◯
0,北米の怪鳥！ エルコンドルパサー,UMA/W106-030S,180 円,remaining:◯
0,熱きヒーロー、見参！ ビコーペガサス,UMA/W106-031S,180 円,remaining:◯
0,夢は三冠！！常に全力！！ ツルマルツヨシ,UMA/W106-032S,180 円,remaining:◯
0,ボーノをどうぞ♪ ヒシアケボノ,UMA/W106-033S,180 円,remaining:◯
0,未来のトップウマドル スマートファルコン,UMA/W106-034S,180 円,remaining:◯
0,学園理事長 秋川やよい,UMA/W106-035S,500 円,remaining:×
