,card_name,card_num,price,status
0,始まりのうーさー,WOO/SE19-001,120 円,remaining:◯
0,終わりの始まりうーさー,WOO/SE19-002,220 円,remaining:◯
0,Otawamureうーさー,WOO/SE19-003,220 円,remaining:9pcs
0,三矢の教えうーさー,WOO/SE19-004,180 円,remaining:6pcs
0,終焉の１クリックうーさー,WOO/SE19-005,120 円,remaining:◯
0,一人前の男の証うーさー,WOO/SE19-006,220 円,remaining:3pcs
0,真っ白に燃え尽きたうーさー,WOO/SE19-007,120 円,remaining:◯
0,氷の島のうーさー,WOO/SE19-008,220 円,remaining:×
0,４月２日のうーさー,WOO/SE19-009,120 円,remaining:◯
0,御内裏様うーさー,WOO/SE19-010,120 円,remaining:◯
0,ウーサー・プリンシパル・キング・オブ・ダークネス,WOO/SE19-011,220 円,remaining:×
0,召喚されし勇者うーさー,WOO/SE19-012,120 円,remaining:◯
0,皇帝陛下うーさー,WOO/SE19-013,320 円,remaining:3pcs
0,世界を滅ぼしたいうーさー,WOO/SE19-014,320 円,remaining:1pcs
0,三娘の礼,WOO/SE19-015,180 円,remaining:6pcs
0,クリスマス中止のお知らせ,WOO/SE19-016,220 円,remaining:×
0,あなたは神を信じますか？,WOO/SE19-017,220 円,remaining:8pcs
0,第一部・完,WOO/SE19-018,120 円,remaining:◯
0,取り調べ うーさー,WOO/SE19-J01,320 円,remaining:×
0,旅に出ます うーさー,WOO/SE19-J02,320 円,remaining:1pcs
0,渾身の土下座 うーさー,WOO/SE19-J03,220 円,remaining:1pcs
0,お買いもの うーさー,WOO/SE19-J04,320 円,remaining:×
0,ホワイトデーの贈り物 うーさー,WOO/SE19-J05,220 円,remaining:×
0,すべては夢の中 うーさー,WOO/SE19-J06,420 円,remaining:×
