,card_name,card_num,price,status
0,憧れの実現 ユイ(サイン入り),AB/WE14-05,"5,980 円",remaining:1pcs
0,青空の下のかなで(サイン入り),AB/WE14-06,"24,800 円",remaining:×
0,単独行動 ゆり(サイン入り),AB/WE14-24,"6,980 円",remaining:1pcs
0,作戦会議 かなで,AB/WE14-01,180 円,remaining:9pcs
0,天使の翼 かなで,AB/WE14-02,320 円,remaining:◯
0,心配するかなで,AB/WE14-03,120 円,remaining:◯
0,クールビューティー 岩沢,AB/WE14-04,120 円,remaining:◯
0,憧れの実現 ユイ,AB/WE14-05,180 円,remaining:◯
0,青空の下のかなで,AB/WE14-06,120 円,remaining:◯
0,冬の日のゆり,AB/WE14-19,80 円,remaining:◯
0,戦線への勧誘 ゆり,AB/WE14-20,120 円,remaining:◯
0,不敵な視線 ゆり,AB/WE14-21,120 円,remaining:◯
0,武芸達者 椎名,AB/WE14-22,180 円,remaining:◯
0,伝令役 遊佐,AB/WE14-23,80 円,remaining:◯
0,単独行動 ゆり,AB/WE14-24,320 円,remaining:◯
0,いつでも一緒 関根&入江,AB/WE14-07,30 円,remaining:◯
0,ユイ&日向,AB/WE14-08,220 円,remaining:◯
0,あどけない瞳 かなで,AB/WE14-09,50 円,remaining:◯
0,催眠術師 直井,AB/WE14-10,30 円,remaining:◯
0,静かな佇まい かなで,AB/WE14-11,30 円,remaining:◯
0,かなで&音無,AB/WE14-12,30 円,remaining:◯
0,野球少女 ユイ,AB/WE14-13,30 円,remaining:◯
0,何気ない仕草 かなで,AB/WE14-14,50 円,remaining:◯
0,入江&ひさ子,AB/WE14-15,30 円,remaining:◯
0,ピンクのケープ かなで,AB/WE14-16,30 円,remaining:◯
0,英語は苦手 TK,AB/WE14-25,30 円,remaining:◯
0,野田&大山,AB/WE14-26,120 円,remaining:◯
0,みんなの大黒柱 ゆり,AB/WE14-27,30 円,remaining:◯
0,天才ハッカー 竹山,AB/WE14-28,30 円,remaining:◯
0,水着のゆり,AB/WE14-29,50 円,remaining:◯
0,噛ませ犬 藤巻,AB/WE14-30,30 円,remaining:◯
0,理不尽な要求 ゆり,AB/WE14-31,30 円,remaining:◯
0,脱ぎ足りない高松,AB/WE14-32,30 円,remaining:◯
0,それぞれの道 ゆり,AB/WE14-33,220 円,remaining:◯
0,戦線の名コンビ 日向&音無,AB/WE14-34,30 円,remaining:◯
0,姉妹のような二人 かなで&ゆり,AB/WE14-35,30 円,remaining:◯
0,ガルデモの思い出,AB/WE14-17,220 円,remaining:◯
0,別れの時,AB/WE14-18,120 円,remaining:◯
0,戦いの後,AB/WE14-36,180 円,remaining:◯
0,作戦会議 かなで(ホロ),AB/WE14-01,220 円,remaining:◯
0,天使の翼 かなで(ホロ),AB/WE14-02,220 円,remaining:◯
0,心配するかなで (ホロ),AB/WE14-03,180 円,remaining:5pcs
0,クールビューティー 岩沢(ホロ),AB/WE14-04,180 円,remaining:◯
0,憧れの実現 ユイ(ホロ),AB/WE14-05,320 円,remaining:◯
0,青空の下のかなで (ホロ),AB/WE14-06,180 円,remaining:8pcs
0,冬の日のゆり (ホロ),AB/WE14-19,120 円,remaining:◯
0,戦線への勧誘 ゆり(ホロ),AB/WE14-20,180 円,remaining:◯
0,不敵な視線 ゆり(ホロ),AB/WE14-21,180 円,remaining:◯
0,武芸達者 椎名(ホロ),AB/WE14-22,180 円,remaining:◯
0,伝令役 遊佐(ホロ),AB/WE14-23,120 円,remaining:◯
0,単独行動 ゆり(ホロ),AB/WE14-24,320 円,remaining:◯
0,いつでも一緒 関根&入江(ホロ),AB/WE14-07,50 円,remaining:10pcs
0,ユイ&日向 (ホロ),AB/WE14-08,320 円,remaining:◯
0,あどけない瞳 かなで(ホロ),AB/WE14-09,80 円,remaining:◯
0,催眠術師 直井(ホロ),AB/WE14-10,50 円,remaining:◯
0,静かな佇まい かなで(ホロ),AB/WE14-11,50 円,remaining:◯
0,かなで&音無 (ホロ),AB/WE14-12,50 円,remaining:◯
0,野球少女 ユイ(ホロ),AB/WE14-13,50 円,remaining:◯
0,何気ない仕草 かなで(ホロ),AB/WE14-14,80 円,remaining:◯
0,入江&ひさ子 (ホロ),AB/WE14-15,50 円,remaining:◯
0,ピンクのケープ かなで(ホロ),AB/WE14-16,50 円,remaining:◯
0,英語は苦手 TK(ホロ),AB/WE14-25,50 円,remaining:◯
0,野田&大山 (ホロ),AB/WE14-26,180 円,remaining:◯
0,みんなの大黒柱 ゆり(ホロ),AB/WE14-27,50 円,remaining:◯
0,天才ハッカー 竹山(ホロ),AB/WE14-28,50 円,remaining:◯
0,水着のゆり (ホロ),AB/WE14-29,80 円,remaining:6pcs
0,噛ませ犬 藤巻(ホロ),AB/WE14-30,50 円,remaining:◯
0,理不尽な要求 ゆり(ホロ),AB/WE14-31,50 円,remaining:10pcs
0,脱ぎ足りない高松 (ホロ),AB/WE14-32,50 円,remaining:◯
0,それぞれの道 ゆり(ホロ),AB/WE14-33,320 円,remaining:◯
0,戦線の名コンビ 日向&音無(ホロ),AB/WE14-34,50 円,remaining:×
0,姉妹のような二人 かなで&ゆり(ホロ),AB/WE14-35,50 円,remaining:◯
0,ガルデモの思い出 (ホロ),AB/WE14-17,320 円,remaining:◯
0,別れの時 (ホロ),AB/WE14-18,180 円,remaining:◯
0,戦いの後 (ホロ),AB/WE14-36,220 円,remaining:◯
0,おやすみ かなで,AB/WE14-P01,320 円,remaining:8pcs
