,card_name,card_num,price,status
0,戦う生産職 イズ(サイン入り),BFR/S78-001SP,"6,980 円",remaining:1pcs
0,大物喰らい マイ&ユイ(サイン入り),BFR/S78-003SPA,"5,980 円",remaining:×
0,大物喰らい マイ&ユイ(サイン入り),BFR/S78-003SPB,"5,980 円",remaining:×
0,多種多彩 サリー(サイン入り),BFR/S78-031SP,"17,800 円",remaining:1pcs
0,一ノ太刀 カスミ(サイン入り),BFR/S78-032SP,"3,980 円",remaining:×
0,心の裏表 ミィ(サイン入り),BFR/S78-056SP,"6,980 円",remaining:×
0,聖女ミザリー(サイン入り),BFR/S78-058SP,"4,980 円",remaining:4pcs
0,多重詠唱 フレデリカ(サイン入り),BFR/S78-079SP,"4,980 円",remaining:×
0,天才少年 カナデ(サイン入り),BFR/S78-081SP,"3,980 円",remaining:4pcs
0,機械神 メイプル(サイン入り),BFR/S78-082SP,"17,800 円",remaining:1pcs
0,看板プレイヤー メイプル(サイン入り),BFR/S78-T01SP,"49,800 円",remaining:1pcs
0,水面のマフラー サリー(サイン入り),BFR/S78-T18SP,"29,800 円",remaining:1pcs
0,身捧ぐ慈愛 メイプル(サイン入り),BFR/S78-002SEC,"39,800 円",remaining:3pcs
0,身捧ぐ慈愛,BFR/S78-027R,"1,280 円",remaining:×
0,破壊王,BFR/S78-029R,680 円,remaining:×
0,普通でなくなる,BFR/S78-053R,320 円,remaining:×
0,ギルドマスター同士の対決,BFR/S78-076R,420 円,remaining:7pcs
0,ボスモンスター,BFR/S78-077R,500 円,remaining:9pcs
0,炎帝ノ国のギルドマスター,BFR/S78-078R,320 円,remaining:2pcs
0,展開・左手,BFR/S78-107R,"1,280 円",remaining:×
0,おわらない夕焼けのエリア,BFR/S78-108R,980 円,remaining:4pcs
0,積極的 ユイ,BFR/S78-T06R,780 円,remaining:6pcs
0,心配性 マイ,BFR/S78-T07R,420 円,remaining:6pcs
0,第二層につながる道,BFR/S78-T20R,"2,480 円",remaining:2pcs
0,二人の時間 メイプル,BFR/S78-004S,680 円,remaining:6pcs
0,初心者プレイヤー マイ&ユイ,BFR/S78-005S,500 円,remaining:×
0,無限の探求 イズ,BFR/S78-006S,180 円,remaining:7pcs
0,即戦力 マイ,BFR/S78-008S,420 円,remaining:×
0,即戦力 ユイ,BFR/S78-009S,420 円,remaining:1pcs
0,白雪 メイプル,BFR/S78-010S,320 円,remaining:2pcs
0,イベントボーナス カスミ,BFR/S78-033S,420 円,remaining:2pcs
0,最強初心者 メイプル,BFR/S78-034S,420 円,remaining:2pcs
0,イベントボーナス メイプル,BFR/S78-035S,220 円,remaining:6pcs
0,イベントボーナス サリー,BFR/S78-036S,180 円,remaining:5pcs
0,大冒険 メイプル&サリー,BFR/S78-037S,420 円,remaining:3pcs
0,話題の青服 サリー,BFR/S78-038S,320 円,remaining:×
0,歩く要塞 メイプル,BFR/S78-057S,220 円,remaining:×
0,フレアアクセル ミィ,BFR/S78-060S,320 円,remaining:7pcs
0,がぶがぶはむはむ メイプル,BFR/S78-062S,680 円,remaining:7pcs
0,暴虐 メイプル,BFR/S78-063S,500 円,remaining:×
0,炎帝 ミィ,BFR/S78-064S,220 円,remaining:1pcs
0,二人の時間 サリー,BFR/S78-080S,"1,480 円",remaining:◯
0,情報戦 サリー,BFR/S78-083S,420 円,remaining:4pcs
0,極振り サリー,BFR/S78-084S,320 円,remaining:◯
0,多種多彩 カナデ,BFR/S78-085S,320 円,remaining:6pcs
0,万能型 フレデリカ,BFR/S78-086S,320 円,remaining:8pcs
0,情報戦 フレデリカ,BFR/S78-088S,320 円,remaining:1pcs
0,大親友 メイプル&サリー,BFR/S78-089S,320 円,remaining:1pcs
0,闇夜ノ写 メイプル,BFR/S78-T08S,120 円,remaining:◯
0,冷静沈着 カスミ,BFR/S78-T12S,120 円,remaining:◯
0,戦う生産職 イズ,BFR/S78-001,"1,280 円",remaining:7pcs
0,身捧ぐ慈愛 メイプル,BFR/S78-002,980 円,remaining:◯
0,大物喰らい マイ&ユイ,BFR/S78-003,680 円,remaining:◯
0,多種多彩 サリー,BFR/S78-031,"1,280 円",remaining:◯
0,一ノ太刀 カスミ,BFR/S78-032,180 円,remaining:◯
0,心の裏表 ミィ,BFR/S78-056,320 円,remaining:6pcs
0,歩く要塞 メイプル,BFR/S78-057,220 円,remaining:◯
0,聖女ミザリー,BFR/S78-058,320 円,remaining:◯
0,多重詠唱 フレデリカ,BFR/S78-079,420 円,remaining:10pcs
0,二人の時間 サリー,BFR/S78-080,500 円,remaining:◯
0,天才少年 カナデ,BFR/S78-081,980 円,remaining:◯
0,機械神 メイプル,BFR/S78-082,"1,280 円",remaining:◯
0,二人の時間 メイプル,BFR/S78-004,180 円,remaining:◯
0,初心者プレイヤー マイ&ユイ,BFR/S78-005,120 円,remaining:◯
0,無限の探求 イズ,BFR/S78-006,80 円,remaining:◯
0,ギルドマスター メイプル,BFR/S78-007,120 円,remaining:◯
0,即戦力 マイ,BFR/S78-008,120 円,remaining:◯
0,即戦力 ユイ,BFR/S78-009,120 円,remaining:9pcs
0,白雪 メイプル,BFR/S78-010,120 円,remaining:◯
0,イベントボーナス カスミ,BFR/S78-033,80 円,remaining:◯
0,最強初心者 メイプル,BFR/S78-034,120 円,remaining:◯
0,イベントボーナス メイプル,BFR/S78-035,80 円,remaining:◯
0,イベントボーナス サリー,BFR/S78-036,80 円,remaining:◯
0,大冒険 メイプル&サリー,BFR/S78-037,80 円,remaining:◯
0,話題の青服 サリー,BFR/S78-038,80 円,remaining:◯
0,重要な位置取り メイプル,BFR/S78-059,120 円,remaining:◯
0,フレアアクセル ミィ,BFR/S78-060,180 円,remaining:5pcs
0,作戦変更 ミザリー,BFR/S78-061,80 円,remaining:◯
0,がぶがぶはむはむ メイプル,BFR/S78-062,320 円,remaining:◯
0,暴虐 メイプル,BFR/S78-063,80 円,remaining:◯
0,炎帝 ミィ,BFR/S78-064,80 円,remaining:◯
0,情報戦 サリー,BFR/S78-083,80 円,remaining:◯
0,極振り サリー,BFR/S78-084,80 円,remaining:◯
0,多種多彩 カナデ,BFR/S78-085,80 円,remaining:◯
0,万能型 フレデリカ,BFR/S78-086,80 円,remaining:◯
0,盾と盾 メイプル&サリー,BFR/S78-087,180 円,remaining:◯
0,情報戦 フレデリカ,BFR/S78-088,80 円,remaining:◯
0,大親友 メイプル&サリー,BFR/S78-089,80 円,remaining:◯
0,水着姿 ユイ,BFR/S78-011,50 円,remaining:◯
0,イベント三位 メイプル,BFR/S78-012,50 円,remaining:◯
0,水着姿 マイ,BFR/S78-013,50 円,remaining:◯
0,堅実な戦い方 クロム,BFR/S78-014,50 円,remaining:◯
0,双子の妹 ユイ,BFR/S78-015,80 円,remaining:◯
0,アンバランス メイプル,BFR/S78-016,50 円,remaining:◯
0,双子の姉 マイ,BFR/S78-017,50 円,remaining:◯
0,錬金術師のロングコート イズ,BFR/S78-018,50 円,remaining:◯
0,嬉しい誤算,BFR/S78-026,50 円,remaining:◯
0,超加速 サリー,BFR/S78-039,80 円,remaining:◯
0,休眠と覚醒 メイプル,BFR/S78-040,50 円,remaining:◯
0,覚醒 シロップ,BFR/S78-041,50 円,remaining:◯
0,守護天使 メイプル,BFR/S78-042,80 円,remaining:◯
0,千紫万紅 カスミ,BFR/S78-043,50 円,remaining:◯
0,発毛,BFR/S78-052,80 円,remaining:◯
0,トラッパーマルクス,BFR/S78-065,50 円,remaining:◯
0,崩剣のシン,BFR/S78-066,50 円,remaining:◯
0,各々の役割 ミザリー,BFR/S78-067,50 円,remaining:◯
0,ノーダメージ メイプル,BFR/S78-068,50 円,remaining:◯
0,託された命 ミィ,BFR/S78-069,50 円,remaining:◯
0,黒薔薇ノ鎧 メイプル,BFR/S78-070,50 円,remaining:◯
0,バーサーク ドラグ,BFR/S78-090,50 円,remaining:◯
0,青ク静カナ海 メイプル,BFR/S78-091,180 円,remaining:◯
0,魔導書庫 カナデ,BFR/S78-092,50 円,remaining:◯
0,覚醒 朧,BFR/S78-093,50 円,remaining:◯
0,悪食 メイプル,BFR/S78-094,50 円,remaining:◯
0,ギルドマスター ペイン,BFR/S78-095,50 円,remaining:◯
0,大海の衣 サリー,BFR/S78-096,50 円,remaining:◯
0,魔導書庫,BFR/S78-106,50 円,remaining:◯
0,双子の少女 マイ,BFR/S78-019,30 円,remaining:◯
0,大人の対応 イズ,BFR/S78-020,30 円,remaining:◯
0,双子の少女 ユイ,BFR/S78-021,30 円,remaining:◯
0,カウンター メイプル,BFR/S78-022,30 円,remaining:◯
0,極振り マイ,BFR/S78-023,30 円,remaining:◯
0,極振り ユイ,BFR/S78-024,30 円,remaining:◯
0,血染めの白鎧 クロム,BFR/S78-025,30 円,remaining:◯
0,新米冒険者 メイプル,BFR/S78-044,30 円,remaining:◯
0,確かな実力 サリー,BFR/S78-045,30 円,remaining:◯
0,影分身 サリー,BFR/S78-046A,50 円,remaining:◯
0,影分身 サリー,BFR/S78-046B,50 円,remaining:◯
0,メダル集め メイプル,BFR/S78-047,30 円,remaining:◯
0,リラクゼーション メイプル,BFR/S78-048,30 円,remaining:◯
0,時期尚早 カスミ,BFR/S78-049,30 円,remaining:◯
0,リラクゼーション サリー,BFR/S78-050,30 円,remaining:◯
0,雲外蒼天 カスミ,BFR/S78-051,30 円,remaining:◯
0,ギルドマスター ミィ,BFR/S78-071,30 円,remaining:◯
0,火炎牢 ミィ,BFR/S78-072,30 円,remaining:◯
0,不屈の守護者 メイプル,BFR/S78-073,50 円,remaining:◯
0,【毒竜】 メイプル,BFR/S78-074,30 円,remaining:◯
0,ユニークシリーズ,BFR/S78-075,30 円,remaining:◯
0,超加速 ドレッド,BFR/S78-097,30 円,remaining:◯
0,嘘のスキル サリー,BFR/S78-098,30 円,remaining:◯
0,好奇心 メイプル,BFR/S78-099,30 円,remaining:◯
0,呪縛 メイプル,BFR/S78-100,30 円,remaining:◯
0,休眠と覚醒 サリー,BFR/S78-101,30 円,remaining:◯
0,勝利の方程式 メイプル,BFR/S78-102,30 円,remaining:◯
0,勝利の為に カナデ,BFR/S78-103,30 円,remaining:◯
0,極振り メイプル,BFR/S78-104,30 円,remaining:◯
0,剣の舞 サリー,BFR/S78-105,30 円,remaining:◯
0,身捧ぐ慈愛,BFR/S78-027,120 円,remaining:◯
0,普通でなくなる,BFR/S78-053,50 円,remaining:◯
0,ギルドマスター同士の対決,BFR/S78-076,80 円,remaining:◯
0,展開・左手,BFR/S78-107,120 円,remaining:◯
0,楓の木,BFR/S78-028,30 円,remaining:◯
0,破壊王,BFR/S78-029,30 円,remaining:◯
0,イズ工房,BFR/S78-030,30 円,remaining:◯
0,瞳の中の青,BFR/S78-054,30 円,remaining:◯
0,困ったら食べればなんとかなる,BFR/S78-055,30 円,remaining:◯
0,ボスモンスター,BFR/S78-077,30 円,remaining:◯
0,炎帝ノ国のギルドマスター,BFR/S78-078,30 円,remaining:◯
0,おわらない夕焼けのエリア,BFR/S78-108,120 円,remaining:◯
0,決闘システム,BFR/S78-109,30 円,remaining:◯
0,神界書庫,BFR/S78-110,30 円,remaining:◯
0,看板プレイヤー メイプル,BFR/S78-T01,320 円,remaining:◯
0,侵略者 ユイ,BFR/S78-T02,30 円,remaining:◯
0,侵略者 マイ,BFR/S78-T03,30 円,remaining:◯
0,抜群の記憶力 カナデ,BFR/S78-T04,50 円,remaining:◯
0,兄貴肌 クロム,BFR/S78-T05,50 円,remaining:◯
0,積極的 ユイ,BFR/S78-T06,50 円,remaining:◯
0,心配性 マイ,BFR/S78-T07,50 円,remaining:◯
0,闇夜ノ写 メイプル,BFR/S78-T08,80 円,remaining:◯
0,極振りの幕開け,BFR/S78-T09,50 円,remaining:◯
0,ノンストレスな大冒険,BFR/S78-T10,50 円,remaining:◯
0,いつだって無傷 白峯理沙,BFR/S78-T11,50 円,remaining:◯
0,冷静沈着 カスミ,BFR/S78-T12,80 円,remaining:◯
0,集中 サリー,BFR/S78-T13,30 円,remaining:◯
0,威風堂々 カスミ,BFR/S78-T14,30 円,remaining:◯
0,痛いのは嫌 本条楓,BFR/S78-T15,50 円,remaining:◯
0,モノづくりへのこだわり イズ,BFR/S78-T16,50 円,remaining:◯
0,名脇役 イズ,BFR/S78-T17,120 円,remaining:◯
