,card_name,card_num,price,status
0,“大切な何か”西森 柚咲(サイン入り),CHA/W40-001SP,"19,800 円",remaining:×
0,“大切な何か”乙坂 歩未(サイン入り),CHA/W40-026SP,"12,800 円",remaining:×
0,“大切な何か”乙坂 有宇(サイン入り),CHA/W40-027SP,"3,980 円",remaining:×
0,“大切な何か”高城 丈士朗(サイン入り),CHA/W40-051SP,"6,980 円",remaining:×
0,“大切な何か”美砂(サイン入り),CHA/W40-052SP,"7,980 円",remaining:×
0,“大切な何か”友利 奈緒(サイン入り),CHA/W40-077SP,"59,800 円",remaining:×
0,“青春の行方”友利 奈緒(サイン入り),CHA/W40-T08S,"34,800 円",remaining:×
0,“ひとり、何を思う”友利 奈緒(シークレット),CHA/W40-002,"2,480 円",remaining:×
0,“クールビューティー”友利 奈緒(シークレット),CHA/W40-005,"1,280 円",remaining:◯
0,“巡る世界”西森 柚咲(シークレット),CHA/W40-055,"5,980 円",remaining:×
0,“いまに挑む”乙坂 有宇(シークレット),CHA/W40-078,"6,980 円",remaining:×
0,“天体観測”友利 奈緒(シークレット),CHA/W40-079,"2,980 円",remaining:6pcs
0,“いまに挑む”友利 奈緒(シークレット),CHA/W40-082,"1,280 円",remaining:◯
0,生徒会活動,CHA/W40-023R,320 円,remaining:×
0,いつか聴いた音,CHA/W40-048R,320 円,remaining:×
0,恋と炎,CHA/W40-073R,420 円,remaining:2pcs
0,逃避行の果てに,CHA/W40-098R,"2,980 円",remaining:1pcs
0,“青春の行方”西森 柚咲,CHA/W40-T03R,780 円,remaining:5pcs
0,“青春の行方”乙坂 有字,CHA/W40-T15R,320 円,remaining:×
0,“ひとり、何を思う”友利 奈緒,CHA/W40-002S,320 円,remaining:×
0,“クールビューティー”友利 奈緒,CHA/W40-005S,220 円,remaining:1pcs
0,“一緒にご飯”乙坂 有宇,CHA/W40-029S,420 円,remaining:1pcs
0,“天体観測”乙坂 歩未,CHA/W40-031S,220 円,remaining:7pcs
0,“夏制服”西森 柚咲,CHA/W40-053S,320 円,remaining:7pcs
0,“とぼけた表情”西森 柚咲,CHA/W40-054S,420 円,remaining:×
0,“巡る世界”西森 柚咲,CHA/W40-055S,680 円,remaining:×
0,“エプロン姿”乙坂 歩未,CHA/W40-076S,680 円,remaining:7pcs
0,“青春の行方”友利 奈緒,CHA/W40-T08S,180 円,remaining:×
0,“大切な何か”西森 柚咲,CHA/W40-001,"1,480 円",remaining:5pcs
0,“ひとり、何を思う”友利 奈緒,CHA/W40-002,180 円,remaining:◯
0,“大切な何か”乙坂 歩未,CHA/W40-026,"2,480 円",remaining:3pcs
