,card_name,card_num,price,status
0,運命のはじまり ゼロツー(サイン入り),FXX/S57-001SP,"49,800 円",remaining:×
0,天真爛漫 ミク(サイン入り),FXX/S57-002SP,"3,980 円",remaining:×
0,幸せな未来へ ココロ(サイン入り),FXX/S57-026SP,"3,480 円",remaining:×
0,運命のコドモ ヒロ(サイン入り),FXX/S57-051SP,"3,480 円",remaining:×
0,揺れ動く気持ち イチゴ(サイン入り),FXX/S57-076SP,"3,980 円",remaining:×
0,秘めた想い イクノ(サイン入り),FXX/S57-077SP,"3,480 円",remaining:×
0,謎に満ちた少女 ゼロツー(サイン入り),FXX/S57-T01SP,"59,800 円",remaining:×
0,アルジェンティア(箔押し入り),FXX/S57-008FX,"3,480 円",remaining:×
0,ジェニスタ(箔押し入り),FXX/S57-033FX,"6,980 円",remaining:×
0,ストレリチア(箔押し入り),FXX/S57-053FX,"29,800 円",remaining:×
0,デルフィニウム(箔押し入り),FXX/S57-078FX,"3,480 円",remaining:×
0,クロロフィッツ(箔押し入り),FXX/S57-083FX,"2,980 円",remaining:×
0,乙女のたしなみ,FXX/S57-023R,980 円,remaining:×
0,桜の花が咲く頃に,FXX/S57-048R,320 円,remaining:×
0,クイーンパイク,FXX/S57-073R,"1,280 円",remaining:×
0,比翼の鳥,FXX/S57-074R,980 円,remaining:×
0,エンビショップ,FXX/S57-098R,320 円,remaining:5pcs
0,ウイングスパン,FXX/S57-100R,220 円,remaining:×
0,強い負けん気 ミク,FXX/S57-T05R,980 円,remaining:5pcs
0,大空にはばたく日,FXX/S57-T09R,"1,280 円",remaining:×
0,13部隊のリーダー イチゴ,FXX/S57-T18R,580 円,remaining:×
0,アルジェンティアのピスティル ミク,FXX/S57-006S,180 円,remaining:×
0,幼馴染の少女 イチゴ,FXX/S57-027S,980 円,remaining:×
0,ジェニスタのピスティル ココロ,FXX/S57-032S,420 円,remaining:×
0,エリートパラサイト ゼロツー,FXX/S57-052S,680 円,remaining:×
0,恥ずかしい告白 ヒロ,FXX/S57-054S,"1,280 円",remaining:×
0,つかの間の平穏 ゼロツー,FXX/S57-055S,"1,280 円",remaining:×
0,絵本のような物語 ゼロツー,FXX/S57-056S,180 円,remaining:×
0,恥ずかしい告白 ゼロツー,FXX/S57-057S,"1,280 円",remaining:×
0,ストレリチア・アパス,FXX/S57-058S,320 円,remaining:×
0,希望と興味 ココロ,FXX/S57-080S,180 円,remaining:×
0,クロロフィッツのピスティル イクノ,FXX/S57-081S,180 円,remaining:×
0,デルフィニウムのピスティル イチゴ,FXX/S57-082S,180 円,remaining:×
0,『パートナー殺し』ゼロツー,FXX/S57-T04S,180 円,remaining:×
0,鋼鉄の乙女 ストレリチア,FXX/S57-T08S,180 円,remaining:×
0,運命のはじまり ゼロツー,FXX/S57-001,500 円,remaining:◯
0,天真爛漫 ミク,FXX/S57-002,220 円,remaining:◯
0,幸せな未来へ ココロ,FXX/S57-026,180 円,remaining:◯
