,card_name,card_num,price,status
0,サンタのアイシア,DC/WE02-001,120 円,remaining:◯
0,お雛様 音姫,DC/WE02-002,120 円,remaining:2pcs
0,旅立つ茜,DC/WE02-006,120 円,remaining:◯
0,水着のエリカ,DC/WE02-010,120 円,remaining:◯
0,星に願う杏,DC/WE02-014,220 円,remaining:6pcs
0,アジサイ畑のまゆき,DC/WE02-016,780 円,remaining:◯
0,魂を送るまひる,DC/WE02-003,120 円,remaining:◯
0,贅沢な悩み,DC/WE02-004,80 円,remaining:◯
0,歌姫 ななか,DC/WE02-007,120 円,remaining:◯
0,ハロウィン小恋,DC/WE02-008,80 円,remaining:◯
0,豆まき美夏,DC/WE02-011,80 円,remaining:◯
0,お月見 由夢,DC/WE02-012,120 円,remaining:◯
0,ボランティア巫女 麻耶,DC/WE02-015,80 円,remaining:◯
0,ごめんね。そして、ありがとう,DC/WE02-017,180 円,remaining:◯
0,我がままなアイシア,DC/WE02-005,120 円,remaining:◯
0,一緒に食べよ♪,DC/WE02-009,80 円,remaining:◯
0,寝ぼけるエリカ,DC/WE02-013,320 円,remaining:8pcs
0,委員長の巫女姿,DC/WE02-018,120 円,remaining:◯
0,サンタのアイシア(ホロ),DC/WE02-001,180 円,remaining:×
0,お雛様 音姫(ホロ),DC/WE02-002,180 円,remaining:2pcs
0,旅立つ茜(ホロ),DC/WE02-006,180 円,remaining:7pcs
0,水着のエリカ(ホロ),DC/WE02-010,180 円,remaining:7pcs
0,星に願う杏(ホロ),DC/WE02-014,320 円,remaining:6pcs
0,アジサイ畑のまゆき(ホロ),DC/WE02-016,980 円,remaining:×
0,魂を送るまひる(ホロ),DC/WE02-003,180 円,remaining:×
0,贅沢な悩み(ホロ),DC/WE02-004,80 円,remaining:◯
0,歌姫 ななか(ホロ),DC/WE02-007,180 円,remaining:4pcs
0,ハロウィン小恋(ホロ),DC/WE02-008,120 円,remaining:◯
0,豆まき美夏(ホロ),DC/WE02-011,120 円,remaining:◯
0,お月見 由夢(ホロ),DC/WE02-012,180 円,remaining:5pcs
0,ボランティア巫女 麻耶(ホロ),DC/WE02-015,120 円,remaining:◯
0,ごめんね。そして、ありがとう(ホロ),DC/WE02-017,320 円,remaining:◯
0,我がままなアイシア(ホロ),DC/WE02-005,180 円,remaining:5pcs
0,一緒に食べよ♪(ホロ),DC/WE02-009,120 円,remaining:◯
0,寝ぼけるエリカ(ホロ),DC/WE02-013,420 円,remaining:◯
0,委員長の巫女姿(ホロ),DC/WE02-018,180 円,remaining:◯
0,物憂げなさくら,DC/WE02-019,500 円,remaining:◯
0,おこたでみかん,DC/WE02-035,"4,980 円",remaining:×
0,駆け巡る思い出…,DC/WE02-036,"1,480 円",remaining:2pcs
