,card_name,card_num,price,status
0,最高のアイドル ありや(サイン入り),DCT/S86-002SP,"9,980 円",remaining:2pcs
0,無双の御曹司 周一(サイン入り),DCT/S86-004SP,"3,980 円",remaining:×
0,聖なる国語教師 茉莉亜(サイン入り),DCT/S86-012SP,"2,480 円",remaining:×
0,気まぐれな保健医 凌久(サイン入り),DCT/S86-013SP,"1,980 円",remaining:×
0,グータラ美術教師 無弦(サイン入り),DCT/S86-014SP,"2,480 円",remaining:×
0,本当の強さ 愛莉(サイン入り),DCT/S86-024SP,"4,980 円",remaining:1pcs
0,れっきとした大人 ジェシカ(サイン入り),DCT/S86-025SP,"3,980 円",remaining:×
0,天文台の天才エンジニア 花菜(サイン入り),DCT/S86-029SP,"2,480 円",remaining:×
0,天然な新米警官 まろん(サイン入り),DCT/S86-033SP,"2,480 円",remaining:×
0,令嬢警官 樹理(サイン入り),DCT/S86-034SP,"1,980 円",remaining:×
0,熱き高校生ファイター 龍平(サイン入り),DCT/S86-051SP,"3,480 円",remaining:×
0,友達思い 玲菜(サイン入り),DCT/S86-052SP,"3,480 円",remaining:×
0,天才プロゲーマー 或斗(サイン入り),DCT/S86-056SP,"2,980 円",remaining:×
0,謎のバーマスター 瑛士(サイン入り),DCT/S86-062SP,"2,480 円",remaining:2pcs
0,小さなチャンピオン 葉月(サイン入り),DCT/S86-063SP,"9,980 円",remaining:1pcs
0,気付いた感情 える(サイン入り),DCT/S86-076SP,"49,800 円",remaining:×
0,夢見る高校生 蘭堂(サイン入り),DCT/S86-079SP,"24,800 円",remaining:×
0,明日の約束 亞希(サイン入り),DCT/S86-081SP,"19,800 円",remaining:×
0,恋する少女 凛(サイン入り),DCT/S86-085SP,"5,980 円",remaining:×
0,登校の約束 ありや(サイン入り),DCT/S86-T09SP,"9,980 円",remaining:×
0,照らされた鮮血 える(サイン入り),DCT/S86-T12SP,"24,800 円",remaining:×
0,星が繋ぐ絆,DCT/S86-021R,"1,480 円",remaining:×
0,剣戟,DCT/S86-023R,220 円,remaining:6pcs
0,最強タッグ,DCT/S86-048R,420 円,remaining:×
0,たこ焼きパーティ,DCT/S86-073R,320 円,remaining:×
0,プリン争奪戦,DCT/S86-074R,500 円,remaining:×
0,怒りを胸に,DCT/S86-098R,"2,480 円",remaining:×
0,友情の萌芽,DCT/S86-099R,180 円,remaining:6pcs
0,恋のライバルでも,DCT/S86-100R,220 円,remaining:3pcs
0,優しいギャル 玲菜,DCT/S86-T01R,500 円,remaining:×
