,card_name,card_num,price,status
0,愛され領主 クーベル(サイン入り),DD/WE23-01SP,"4,980 円",remaining:×
0,パスティヤージュの勇者 レベッカ(サイン入り),DD/WE23-02SP,"4,980 円",remaining:×
0,天真爛漫 ナナミ(サイン入り),DD/WE23-13SP,"5,980 円",remaining:×
0,若き獅子姫 レオ(サイン入り),DD/WE23-14SP,"4,980 円",remaining:×
0,優しい微笑み ミルヒ(サイン入り),DD/WE23-26SP,"5,980 円",remaining:×
0,愛され領主 クーベル,DD/WE23-01,420 円,remaining:◯
0,パスティヤージュの勇者 レベッカ,DD/WE23-02,320 円,remaining:×
0,天真爛漫 ナナミ,DD/WE23-13,320 円,remaining:◯
0,若き獅子姫 レオ,DD/WE23-14,320 円,remaining:◯
0,優しい微笑み ミルヒ,DD/WE23-26,500 円,remaining:×
0,竜を守る者 シャル,DD/WE23-40,220 円,remaining:◯
0,“追憶”フィー,DD/WE23-03,320 円,remaining:3pcs
0,英雄王 アデル,DD/WE23-04,120 円,remaining:◯
0,勇者の休息 レベッカ,DD/WE23-05,120 円,remaining:◯
0,リーフ・ラング・ド・シャー・ハルヴァー,DD/WE23-15,120 円,remaining:6pcs
0,好戦的 ガウル,DD/WE23-16,80 円,remaining:◯
0,木漏れ日の中 ヒナ,DD/WE23-27,180 円,remaining:10pcs
0,双剣の使い手 エクレ,DD/WE23-28,120 円,remaining:8pcs
0,姫様の休息 ミルヒ,DD/WE23-29,80 円,remaining:◯
0,ビスコッティの勇者 シンク,DD/WE23-30,120 円,remaining:◯
0,迷子の少女 アリア,DD/WE23-41,120 円,remaining:◯
0,人見知り シャル,DD/WE23-42,120 円,remaining:◯
0,英雄結晶,DD/WE23-49,120 円,remaining:◯
0,魔王ヴァレリー,DD/WE23-06,50 円,remaining:◯
0,英雄姫 フィー,DD/WE23-07,120 円,remaining:◯
0,伝説の勇者召喚,DD/WE23-10,80 円,remaining:◯
0,リーフの親戚 ベール,DD/WE23-17,80 円,remaining:◯
0,勇者捜索 ガウル,DD/WE23-18,80 円,remaining:◯
0,勇者の休息 ナナミ,DD/WE23-19,180 円,remaining:◯
0,獅子姫の見合い,DD/WE23-23,120 円,remaining:×
0,学術探索? リコ,DD/WE23-31,50 円,remaining:◯
0,通りすがりの腕自慢 ヒナ,DD/WE23-32,80 円,remaining:◯
0,フロニャルドの秋 ユキカゼ,DD/WE23-33,50 円,remaining:◯
0,竜の巫女 シャル,DD/WE23-43,50 円,remaining:◯
0,地上への憧れ アリア,DD/WE23-44,50 円,remaining:◯
0,英雄姫の銃 アデル,DD/WE23-08,30 円,remaining:◯
0,英雄王の子孫 クーベル,DD/WE23-09,30 円,remaining:◯
0,獅子のお見合い レオ,DD/WE23-20,30 円,remaining:◯
0,空海探索 ジョーヌ,DD/WE23-21,30 円,remaining:◯
0,ガウルの親衛隊 ノワール,DD/WE23-22,30 円,remaining:◯
0,勇者推参! シンク,DD/WE23-34,80 円,remaining:◯
0,通りすがりの腕自慢 イスカ,DD/WE23-35,30 円,remaining:◯
0,活発な性格 シンク,DD/WE23-36,50 円,remaining:◯
0,臨戦態勢 リコ,DD/WE23-37,30 円,remaining:◯
0,巫女 ファリーヌ,DD/WE23-45,30 円,remaining:◯
0,空からの来訪 シャル,DD/WE23-46,30 円,remaining:◯
0,空海の歌姫 アリア,DD/WE23-47,30 円,remaining:◯
0,病の使徒 ベルデ,DD/WE23-48,30 円,remaining:◯
0,魔神結晶,DD/WE23-11,120 円,remaining:10pcs
0,勇者と姫の物語,DD/WE23-12,80 円,remaining:◯
0,道標,DD/WE23-24,120 円,remaining:◯
0,空海での決闘,DD/WE23-25,80 円,remaining:◯
0,癒しの歌,DD/WE23-38,80 円,remaining:◯
0,英雄モード,DD/WE23-39,80 円,remaining:◯
0,竜の森,DD/WE23-50,80 円,remaining:◯
0,愛され領主 クーベル(ホロ),DD/WE23-01,500 円,remaining:10pcs
0,パスティヤージュの勇者 レベッカ(ホロ),DD/WE23-02,420 円,remaining:3pcs
0,天真爛漫 ナナミ(ホロ),DD/WE23-13,420 円,remaining:◯
0,若き獅子姫 レオ,DD/WE23-14,420 円,remaining:◯
0,優しい微笑み ミルヒ(ホロ),DD/WE23-26,680 円,remaining:9pcs
0,竜を守る者 シャル(ホロ),DD/WE23-40,320 円,remaining:◯
0,“追憶”フィー(ホロ),DD/WE23-03,420 円,remaining:×
0,英雄王 アデル(ホロ),DD/WE23-04,180 円,remaining:4pcs
0,勇者の休息 レベッカ(ホロ),DD/WE23-05,180 円,remaining:×
0,リーフ・ラング・ド・シャー・ハルヴァー(ホロ),DD/WE23-15,220 円,remaining:×
0,好戦的 ガウル(ホロ),DD/WE23-16,120 円,remaining:◯
0,木漏れ日の中 ヒナ(ホロ),DD/WE23-27,220 円,remaining:2pcs
0,双剣の使い手 エクレ(ホロ),DD/WE23-28,180 円,remaining:2pcs
0,姫様の休息 ミルヒ(ホロ),DD/WE23-29,120 円,remaining:◯
0,ビスコッティの勇者 シンク(ホロ),DD/WE23-30,180 円,remaining:◯
0,迷子の少女 アリア(ホロ),DD/WE23-41,180 円,remaining:◯
0,人見知り シャル(ホロ),DD/WE23-42,180 円,remaining:◯
0,英雄結晶(ホロ),DD/WE23-49,180 円,remaining:◯
0,魔王ヴァレリー(ホロ),DD/WE23-06,80 円,remaining:◯
0,英雄姫 フィー(ホロ),DD/WE23-07,180 円,remaining:◯
0,伝説の勇者召喚(ホロ),DD/WE23-10,120 円,remaining:10pcs
0,リーフの親戚 ベール(ホロ),DD/WE23-17,120 円,remaining:1pcs
0,勇者捜索 ガウル(ホロ),DD/WE23-18,120 円,remaining:9pcs
0,勇者の休息 ナナミ(ホロ),DD/WE23-19,320 円,remaining:×
0,獅子姫の見合い(ホロ),DD/WE23-23,220 円,remaining:×
0,学術探索? リコ(ホロ),DD/WE23-31,80 円,remaining:◯
0,通りすがりの腕自慢 ヒナ(ホロ),DD/WE23-32,120 円,remaining:◯
0,フロニャルドの秋 ユキカゼ(ホロ),DD/WE23-33,80 円,remaining:×
0,竜の巫女 シャル(ホロ),DD/WE23-43,80 円,remaining:◯
0,地上への憧れ アリア(ホロ),DD/WE23-44,80 円,remaining:◯
0,英雄姫の銃 アデル(ホロ),DD/WE23-08,50 円,remaining:◯
0,英雄王の子孫 クーベル(ホロ),DD/WE23-09,50 円,remaining:◯
0,獅子のお見合い レオ(ホロ),DD/WE23-20,50 円,remaining:5pcs
0,空海探索 ジョーヌ(ホロ),DD/WE23-21,50 円,remaining:◯
0,ガウルの親衛隊 ノワール(ホロ),DD/WE23-22,50 円,remaining:3pcs
0,勇者推参! シンク(ホロ),DD/WE23-34,120 円,remaining:6pcs
0,通りすがりの腕自慢 イスカ(ホロ),DD/WE23-35,50 円,remaining:◯
0,活発な性格 シンク(ホロ),DD/WE23-36,80 円,remaining:◯
0,臨戦態勢 リコ(ホロ),DD/WE23-37,50 円,remaining:◯
0,巫女 ファリーヌ(ホロ),DD/WE23-45,50 円,remaining:2pcs
0,空からの来訪 シャル(ホロ),DD/WE23-46,50 円,remaining:◯
0,空海の歌姫 アリア(ホロ),DD/WE23-47,50 円,remaining:◯
0,病の使徒 ベルデ(ホロ),DD/WE23-48,50 円,remaining:◯
0,魔神結晶(ホロ),DD/WE23-11,220 円,remaining:2pcs
0,勇者と姫の物語(ホロ),DD/WE23-12,120 円,remaining:◯
0,道標(ホロ),DD/WE23-24,220 円,remaining:9pcs
0,空海での決闘(ホロ),DD/WE23-25,120 円,remaining:◯
0,癒しの歌(ホロ),DD/WE23-38,120 円,remaining:◯
0,英雄モード(ホロ),DD/WE23-39,120 円,remaining:◯
0,竜の森(ホロ),DD/WE23-50,120 円,remaining:◯
