,card_name,card_num,price,status
0,神に創られた新たな命 キングゥ(サイン入り),FGO/S75-001SP,"4,980 円",remaining:×
0,決戦の時 ギルガメッシュ(サイン入り),FGO/S75-027SP,"5,980 円",remaining:×
0,冥界の女主人 エレシュキガル(サイン入り),FGO/S75-052SP,"24,800 円",remaining:2pcs
0,金星を司る女神 イシュタル(サイン入り),FGO/S75-053SP,"29,800 円",remaining:×
0,最後の特異点へ マシュ(サイン入り),FGO/S75-076SP,"12,800 円",remaining:×
0,堅固な勇気 マシュ(サイン入り),FGO/S75-T12SP,"6,980 円",remaining:1pcs
0,共に歩む旅 マシュ(サイン入り),FGO/S75-078SEC,"24,800 円",remaining:×
0,生じた故障,FGO/S75-021R,220 円,remaining:2pcs
0,戦い続けるウルクの意志,FGO/S75-049R,980 円,remaining:×
0,過去を想う戦い,FGO/S75-050R,220 円,remaining:×
0,冥界に咲いた花と共に,FGO/S75-073R,"1,980 円",remaining:×
0,母との決戦,FGO/S75-074R,680 円,remaining:2pcs
0,母との決戦,FGO/S75-075R,220 円,remaining:×
0,信じると決めた『選択』,FGO/S75-098R,"1,480 円",remaining:2pcs
0,ウルクの賢王 ギルガメッシュ,FGO/S75-T01R,500 円,remaining:6pcs
0,豊穣と戦いの女神 イシュタル,FGO/S75-T02R,500 円,remaining:×
0,万能の才人 ダ・ヴィンチ,FGO/S75-T15R,420 円,remaining:1pcs
0,自由を手にする時 エレシュキガル,FGO/S75-002S,"1,280 円",remaining:×
0,真っ向勝負 ケツァル・コアトル,FGO/S75-005S,180 円,remaining:×
0,復讐の女神 ゴルゴーン,FGO/S75-007S,220 円,remaining:×
0,問答無用! イシュタル,FGO/S75-025S,"1,480 円",remaining:4pcs
0,民を導く王 ギルガメッシュ,FGO/S75-026S,500 円,remaining:2pcs
0,みなぎる力 アナ,FGO/S75-029S,220 円,remaining:×
0,砂塵舞う戦い ギルガメッシュ,FGO/S75-030S,420 円,remaining:3pcs
0,ただ望むことを キングゥ,FGO/S75-032S,180 円,remaining:×
0,グランド・キャスター マーリン,FGO/S75-033S,420 円,remaining:1pcs
0,華麗な登場 エレシュキガル,FGO/S75-055S,320 円,remaining:×
0,心強い味方 イシュタル,FGO/S75-056S,780 円,remaining:×
0,冥界をウルクの地下へ! エレシュキガル,FGO/S75-057S,500 円,remaining:×
0,神を射る一撃 イシュタル,FGO/S75-059S,320 円,remaining:×
0,強敵との交戦 マシュ,FGO/S75-079S,420 円,remaining:×
0,仲間との連携 マシュ,FGO/S75-080S,320 円,remaining:1pcs
0,カルデア技術局特別名誉顧問 レオナルド・ダ・ヴィンチ,FGO/S75-081S,220 円,remaining:×
0,くじけない心 ロマニ・アーキマン,FGO/S75-084S,180 円,remaining:×
0,盾の乙女 マシュ,FGO/S75-T18S,180 円,remaining:×
0,刹那の攻防,FGO/S75-T20S,180 円,remaining:×
0,神に創られた新たな命 キングゥ,FGO/S75-001,320 円,remaining:◯
0,自由を手にする時 エレシュキガル,FGO/S75-002,500 円,remaining:4pcs
0,問答無用! イシュタル,FGO/S75-025,320 円,remaining:◯
0,民を導く王 ギルガメッシュ,FGO/S75-026,120 円,remaining:◯
0,決戦の時 ギルガメッシュ,FGO/S75-027,220 円,remaining:◯
0,冥界の女主人 エレシュキガル,FGO/S75-052,580 円,remaining:1pcs
0,金星を司る女神 イシュタル,FGO/S75-053,320 円,remaining:◯
0,最後の特異点へ マシュ,FGO/S75-076,780 円,remaining:◯
0,マスターへの信頼 マシュ・キリエライト,FGO/S75-077,680 円,remaining:×
0,共に歩む旅 マシュ,FGO/S75-078,"1,280 円",remaining:◯
0,切り払われる契 エレシュキガル,FGO/S75-003,80 円,remaining:◯
0,絶対の戦術 キングゥ,FGO/S75-004,80 円,remaining:◯
0,真っ向勝負 ケツァル・コアトル,FGO/S75-005,80 円,remaining:◯
0,戦局を見る者 キングゥ,FGO/S75-006,80 円,remaining:◯
0,復讐の女神 ゴルゴーン,FGO/S75-007,80 円,remaining:◯
0,ウルクの祭祀長 シドゥリ,FGO/S75-028,80 円,remaining:◯
0,みなぎる力 アナ,FGO/S75-029,80 円,remaining:◯
0,砂塵舞う戦い ギルガメッシュ,FGO/S75-030,80 円,remaining:◯
0,賢王の号令 ギルガメッシュ,FGO/S75-031,80 円,remaining:◯
0,ただ望むことを キングゥ,FGO/S75-032,80 円,remaining:◯
0,グランド・キャスター マーリン,FGO/S75-033,80 円,remaining:◯
0,女神式の契約 イシュタル,FGO/S75-054,80 円,remaining:◯
0,華麗な登場 エレシュキガル,FGO/S75-055,80 円,remaining:◯
0,心強い味方 イシュタル,FGO/S75-056,120 円,remaining:◯
0,冥界をウルクの地下へ! エレシュキガル,FGO/S75-057,120 円,remaining:◯
0,地道な積み重ね エレシュキガル,FGO/S75-058,80 円,remaining:◯
0,神を射る一撃 イシュタル,FGO/S75-059,80 円,remaining:◯
0,強敵との交戦 マシュ,FGO/S75-079,120 円,remaining:◯
0,仲間との連携 マシュ,FGO/S75-080,80 円,remaining:◯
