,card_name,card_num,price,status
0,清廉なる騎士王 セイバー(サイン入り),FS/S64-001SP,"7,980 円",remaining:×
0,誰が為の正義 士郎(サイン入り),FS/S64-002SP,"3,980 円",remaining:×
0,“presage flower”桜(サイン入り),FS/S64-023SP,"108,000 円",remaining:×
0,怪物の一睨 ライダー(サイン入り),FS/S64-026SP,"7,980 円",remaining:×
0,酷薄の騎士王 セイバーオルタ(サイン入り),FS/S64-056SP,"17,800 円",remaining:×
0,“冬木の管理者”凛(サイン入り),FS/S64-057SP,"12,800 円",remaining:×
0,ミステリアスな少女 イリヤスフィール(サイン入り),FS/S64-082SP,"12,800 円",remaining:×
0,風王鉄槌,FS/S64-021R,500 円,remaining:×
0,思い出語り,FS/S64-052R,"2,980 円",remaining:×
0,石化の魔眼,FS/S64-053R,"1,480 円",remaining:3pcs
0,離れた時間の距離,FS/S64-079R,680 円,remaining:×
0,最善の選択,FS/S64-080R,420 円,remaining:×
0,約束された勝利の剣,FS/S64-081R,"2,480 円",remaining:×
0,熾烈な闘争,FS/S64-098R,320 円,remaining:1pcs
0,雪下のローレライ,FS/S64-099R,500 円,remaining:◯
0,託された弓兵の腕 士郎,FS/S64-003S,"1,280 円",remaining:×
0,杯に伸ばす手 セイバー,FS/S64-004S,320 円,remaining:×
0,抑え込まれた英霊の力,FS/S64-020S,320 円,remaining:1pcs
0,かけがえのない存在 桜,FS/S64-024S,"2,980 円",remaining:×
0,華やぐ笑顔 桜,FS/S64-025S,980 円,remaining:×
0,狙いすますライダー,FS/S64-027S,780 円,remaining:×
0,歪みゆく日常 桜,FS/S64-029S,"1,980 円",remaining:2pcs
0,しなやかな体躯 ライダー,FS/S64-030S,320 円,remaining:×
0,FLUFFY 桜,FS/S64-031S,320 円,remaining:×
0,曰くの英霊 アーチャー,FS/S64-058S,320 円,remaining:4pcs
0,多彩な戦法 アーチャー,FS/S64-059S,320 円,remaining:1pcs
0,夢のようなひととき 凛,FS/S64-060S,500 円,remaining:×
0,ぎこちない関係 凛,FS/S64-062S,320 円,remaining:3pcs
0,HEROIC 凛＆アーチャー,FS/S64-063S,"2,480 円",remaining:×
0,真っ直ぐな正義感 凛,FS/S64-065S,500 円,remaining:×
0,昼間の一面 イリヤスフィール,FS/S64-084S,680 円,remaining:◯
0,狂戦士の咆哮 バーサーカー,FS/S64-085S,980 円,remaining:5pcs
0,勇猛なる戦士 バーサーカー,FS/S64-087S,220 円,remaining:4pcs
0,清廉なる騎士王 セイバー,FS/S64-001,320 円,remaining:◯
0,誰が為の正義 士郎,FS/S64-002,220 円,remaining:◯
0,“presage flower”桜,FS/S64-023,"2,480 円",remaining:◯
0,かけがえのない存在 桜,FS/S64-024,780 円,remaining:◯
0,華やぐ笑顔 桜,FS/S64-025,420 円,remaining:◯
0,怪物の一睨 ライダー,FS/S64-026,500 円,remaining:◯
0,酷薄の騎士王 セイバーオルタ,FS/S64-056,"1,980 円",remaining:◯
0,“冬木の管理者”凛,FS/S64-057,500 円,remaining:9pcs
0,曰くの英霊 アーチャー,FS/S64-058,120 円,remaining:◯
0,ミステリアスな少女 イリヤスフィール,FS/S64-082,"1,280 円",remaining:◯
0,託された弓兵の腕 士郎,FS/S64-003,500 円,remaining:2pcs
0,杯に伸ばす手 セイバー,FS/S64-004,120 円,remaining:◯
0,風纏う聖剣 セイバー,FS/S64-005,120 円,remaining:◯
0,抑え込まれた英霊の力,FS/S64-020,80 円,remaining:◯
0,狙いすますライダー,FS/S64-027,220 円,remaining:◯
0,平和な朝 桜,FS/S64-028,220 円,remaining:◯
0,歪みゆく日常 桜,FS/S64-029,320 円,remaining:◯
0,しなやかな体躯 ライダー,FS/S64-030,80 円,remaining:◯
0,FLUFFY 桜,FS/S64-031,80 円,remaining:◯
0,“矢避けの加護”ランサー,FS/S64-032,80 円,remaining:◯
0,妖美 ライダー,FS/S64-033,80 円,remaining:◯
0,多彩な戦法 アーチャー,FS/S64-059,120 円,remaining:◯
0,夢のようなひととき 凛,FS/S64-060,120 円,remaining:◯
0,黒い影,FS/S64-061,80 円,remaining:◯
0,ぎこちない関係 凛,FS/S64-062,80 円,remaining:◯
0,HEROIC 凛＆アーチャー,FS/S64-063,"1,280 円",remaining:◯
0,圧倒する力 セイバーオルタ,FS/S64-064,120 円,remaining:◯
0,真っ直ぐな正義感 凛,FS/S64-065,120 円,remaining:◯
0,闇色の攻防 真アサシン,FS/S64-083,120 円,remaining:◯
0,昼間の一面 イリヤスフィール,FS/S64-084,180 円,remaining:◯
0,狂戦士の咆哮 バーサーカー,FS/S64-085,180 円,remaining:◯
0,不敵な笑み イリヤスフィール,FS/S64-086,80 円,remaining:◯
0,勇猛なる戦士 バーサーカー,FS/S64-087,80 円,remaining:◯
0,照れ気味の表情 士郎,FS/S64-006,120 円,remaining:◯
0,苛烈な英雄王 ギルガメッシュ,FS/S64-007,80 円,remaining:◯
0,マスターとして 士郎,FS/S64-008,50 円,remaining:×
0,“レイン”士郎,FS/S64-009,50 円,remaining:◯
0,ケガの具合 士郎,FS/S64-010,50 円,remaining:◯
0,できること 士郎,FS/S64-011,50 円,remaining:◯
0,託されたもの 士郎,FS/S64-012,80 円,remaining:◯
0,帰り待つ桜,FS/S64-034,50 円,remaining:◯
0,持たざる者の苦悩 慎二,FS/S64-035,50 円,remaining:◯
0,真意のありか ライダー,FS/S64-036,50 円,remaining:◯
0,マスターの力量 ライダー,FS/S64-037,50 円,remaining:◯
0,“レイン”桜,FS/S64-038,50 円,remaining:◯
0,反英雄の騎兵 ライダー,FS/S64-039,180 円,remaining:◯
0,最後の一画 桜,FS/S64-040,120 円,remaining:◯
0,アルスターの勇士 ランサー,FS/S64-041,50 円,remaining:◯
0,疑臣の書,FS/S64-051,50 円,remaining:◯
0,驚愕の表情 凛,FS/S64-066,50 円,remaining:◯
0,雨中の対峙 アーチャー,FS/S64-067,80 円,remaining:◯
0,英断 アーチャー,FS/S64-068,80 円,remaining:◯
0,譲らぬ攻防 セイバーオルタ,FS/S64-069,50 円,remaining:◯
0,桜のリボン,FS/S64-077,50 円,remaining:◯
0,英霊を飲む影,FS/S64-078,50 円,remaining:◯
0,“破戒すべき全ての符”キャスター,FS/S64-088,80 円,remaining:◯
0,戦局を見据える イリヤスフィール,FS/S64-089,80 円,remaining:◯
0,不撓不屈 バーサーカー,FS/S64-090,50 円,remaining:◯
0,御三家の一角 イリヤスフィール,FS/S64-091,50 円,remaining:◯
0,言峰の食事,FS/S64-097,50 円,remaining:◯
0,気さくな先生 大河,FS/S64-013,30 円,remaining:◯
0,海外の知り合い? セイバー,FS/S64-014,30 円,remaining:◯
0,生徒会長 一成,FS/S64-015,30 円,remaining:◯
0,強い正義感 士郎,FS/S64-016,30 円,remaining:◯
0,弓道部の部長 綾子,FS/S64-017,30 円,remaining:◯
0,黄金の慈悲 ギルガメッシュ,FS/S64-018,30 円,remaining:◯
0,朝焼けの微笑み セイバー,FS/S64-019,80 円,remaining:◯
0,仮初めのマスター 慎二,FS/S64-042,30 円,remaining:◯
0,お勉強モード 桜,FS/S64-043,80 円,remaining:◯
0,衛宮邸でお手伝い 桜,FS/S64-044,30 円,remaining:◯
0,好戦的な笑み ランサー,FS/S64-045,30 円,remaining:◯
0,“サーヴァントチェイス”ランサー,FS/S64-046,50 円,remaining:◯
0,“怪力”ライダー,FS/S64-047,50 円,remaining:◯
0,気骨ある槍兵 ランサー,FS/S64-048,30 円,remaining:◯
0,うなされる 桜,FS/S64-049,50 円,remaining:◯
0,幽玄の騎兵 ライダー,FS/S64-050,30 円,remaining:◯
0,猫かぶりの才媛 凛,FS/S64-070,50 円,remaining:◯
0,明かされる素顔 セイバーオルタ,FS/S64-071,30 円,remaining:◯
0,臨戦態勢 アーチャー,FS/S64-072,80 円,remaining:◯
0,黒衣の剣士 セイバーオルタ,FS/S64-073,30 円,remaining:◯
0,保護の提案 凛,FS/S64-074,30 円,remaining:◯
0,一対の刃 アーチャー,FS/S64-075,30 円,remaining:◯
0,今後の方針 凛,FS/S64-076,30 円,remaining:◯
