,card_name,card_num,price,status
0,妖精の尻尾の魔導士 ルーシィ(サイン入り),FT/S09-027SP,"9,980 円",remaining:×
0,妖精の尻尾の魔導士 ナツ(サイン入り),FT/S09-052SP,"5,980 円",remaining:×
0,“黒羽の鎧”エルザ,FT/S09-004R,320 円,remaining:×
0,“天輪の鎧”エルザ,FT/S09-006R,320 円,remaining:×
0,ハートフィリア財閥令嬢 ルーシィ,FT/S09-028R,220 円,remaining:×
0,ドラゴンの力 ナツ,FT/S09-056R,180 円,remaining:×
0,グレイ・フルバスター,FT/S09-077R,320 円,remaining:×
0,妖精の尻尾の魔導士 グレイ,FT/S09-082R,680 円,remaining:×
0,妖精女王のエルザ,FT/S09-002S,780 円,remaining:×
0,超近接タイプ エルザ,FT/S09-003S,220 円,remaining:×
0,新人魔導士 ルーシィ,FT/S09-026S,220 円,remaining:×
0,まだまだ新人 ルーシィ,FT/S09-030S,180 円,remaining:×
0,本能のままに生きるナツ,FT/S09-051S,220 円,remaining:×
0,ナツ&ハッピー,FT/S09-053S,420 円,remaining:×
0,ジュビア・ロクサー,FT/S09-076S,320 円,remaining:×
0,ウルの弟子 グレイ,FT/S09-078S,180 円,remaining:×
0,魔法剣士 エルザ,FT/S09-001,220 円,remaining:5pcs
0,妖精女王のエルザ,FT/S09-002,320 円,remaining:3pcs
0,新人魔導士 ルーシィ,FT/S09-026,180 円,remaining:4pcs
0,妖精の尻尾の魔導士 ルーシィ,FT/S09-027,180 円,remaining:×
0,本能のままに生きるナツ,FT/S09-051,180 円,remaining:◯
0,妖精の尻尾の魔導士 ナツ,FT/S09-052,180 円,remaining:×
0,ジュビア・ロクサー,FT/S09-076,220 円,remaining:×
0,グレイ・フルバスター,FT/S09-077,180 円,remaining:2pcs
0,超近接タイプ エルザ,FT/S09-003,120 円,remaining:◯
0,“黒羽の鎧”エルザ,FT/S09-004,120 円,remaining:4pcs
0,“炎帝の鎧”エルザ,FT/S09-005,120 円,remaining:2pcs
0,“天輪の鎧”エルザ,FT/S09-006,120 円,remaining:1pcs
0,マカロフの孫 ラクサス,FT/S09-007,120 円,remaining:×
0,ハートフィリア財閥令嬢 ルーシィ,FT/S09-028,120 円,remaining:×
0,文学少女 ルーシィ,FT/S09-029,120 円,remaining:3pcs
0,まだまだ新人 ルーシィ,FT/S09-030,120 円,remaining:×
0,ハートフィリア家の娘 ルーシィ,FT/S09-031,120 円,remaining:×
0,所有系魔導士 ルーシィ,FT/S09-032,120 円,remaining:2pcs
0,ナツ&ハッピー,FT/S09-053,120 円,remaining:8pcs
0,エルザ・スカーレット,FT/S09-054,120 円,remaining:2pcs
0,鉄竜のガジル,FT/S09-055,120 円,remaining:8pcs
0,ドラゴンの力 ナツ,FT/S09-056,80 円,remaining:×
0,幽鬼の支配者最強の男 ガジル,FT/S09-057,80 円,remaining:4pcs
0,ウルの弟子 グレイ,FT/S09-078,120 円,remaining:×
0,“ウルの教え”グレイ,FT/S09-079,220 円,remaining:◯
0,グレイの師匠 ウル,FT/S09-080,220 円,remaining:◯
0,脱ぎ癖 グレイ,FT/S09-081,220 円,remaining:×
0,妖精の尻尾の魔導士 グレイ,FT/S09-082,320 円,remaining:3pcs
0,S級魔導士 エルザ,FT/S09-008,80 円,remaining:9pcs
0,大空のアリア,FT/S09-009,80 円,remaining:◯
0,大荷物 エルザ,FT/S09-010,80 円,remaining:3pcs
0,治癒魔導士 ポーリュシカ,FT/S09-011,80 円,remaining:◯
0,幽鬼の支配者のマスター・ジョゼ,FT/S09-012,50 円,remaining:◯
0,月を破壊!?,FT/S09-021,50 円,remaining:◯
0,妖精の法律,FT/S09-022,50 円,remaining:◯
0,リサーナ,FT/S09-033,50 円,remaining:6pcs
0,宝瓶宮のアクエリアス,FT/S09-034,180 円,remaining:1pcs
0,元・S級魔導士 ミラジェーン,FT/S09-035,50 円,remaining:3pcs
0,指輪魔法 ロキ,FT/S09-036,50 円,remaining:×
0,星霊魔導士 ルーシィ,FT/S09-037,120 円,remaining:×
0,門の鍵,FT/S09-046,80 円,remaining:◯
0,チェンジリング,FT/S09-047,80 円,remaining:◯
