,card_name,card_num,price,status
0,治癒の少女 アーシア(サイン入り),FDD/W65-043SP,"6,980 円",remaining:×
0,狂華の＜ナイトメア＞狂三(サイン入り),FDL/W65-074SP,"29,800 円",remaining:2pcs
0,謎の少女 十香(サイン入り),FDL/W65-T16SP,"34,800 円",remaining:3pcs
0,ツンデレ魔装少女 ハルナ(サイン入り),FKZ/W65-002SP,"3,480 円",remaining:2pcs
0,受け継がれし魔術の才能 システィーナ(サイン入り),FRA/W65-073SP,"19,800 円",remaining:5pcs
0,碧陽学園生徒会会計 真冬(サイン入り),FSI/W65-042SP,"5,980 円",remaining:×
0,高らかな宣言 くりむ(サイン入り),FSI/W65-T11SP,"12,800 円",remaining:×
0,魔性の微笑み リアス(サイン入り),FDD/W65-052FBR,"59,800 円",remaining:×
0,Elegant Clockwork 狂三(サイン入り),FDL/W65-077FBR,"12,800 円",remaining:×
0,銀髪のネクロマンサー ユー(サイン入り),FKZ/W65-003FBR,"4,980 円",remaining:×
0,優しさと強さ ルミア(サイン入り),FRA/W65-081FBR,"5,980 円",remaining:1pcs
0,碧陽学園生徒会書紀 知弦(サイン入り)(エラッタ前),FSI/W65-051FBR,"2,980 円",remaining:×
0,碧陽学園生徒会書記 知弦(サイン入り)(エラッタ後),FSI/W65-051FBR,"2,980 円",remaining:×
0,ようこそ 甘城ブリリアントパークへ!,FAB/W65-040R,320 円,remaining:×
0,初めてのお友達,FDD/W65-071R,980 円,remaining:◯
0,高貴なる魅力 リアス,FDD/W65-T09R,"1,480 円",remaining:×
0,死出の旅,FDL/W65-101R,"1,980 円",remaining:×
0,戦いの幕開け,FFP/W65-041R,320 円,remaining:3pcs
0,『姫』のラブストーリー,FII/W65-105R,220 円,remaining:×
0,ハチャメチャな日常,FKZ/W65-020R,780 円,remaining:×
0,リフレイン年ライジング組 ハルナ,FKZ/W65-T05R,500 円,remaining:2pcs
0,母子相伝の極意,FMR/W65-039R,220 円,remaining:2pcs
0,野望を叶える者,FOY/W65-022R,220 円,remaining:5pcs
0,織田家当主 信奈,FOY/W65-T06R,420 円,remaining:×
0,常夏の『楽園』,FRA/W65-102R,680 円,remaining:×
0,まどろみの中で,FSI/W65-069R,420 円,remaining:4pcs
0,かけがえのない生徒会,FSI/W65-070R,980 円,remaining:4pcs
0,支配人代理補佐 いすず,FAB/W65-025S,500 円,remaining:3pcs
0,メープルランド第一王女 ラティファ,FAB/W65-026S,320 円,remaining:7pcs
0,紅髪の滅殺姫 リアス,FDD/W65-044S,500 円,remaining:×
0,究極のS 朱乃,FDD/W65-048S,780 円,remaining:×
0,ご褒美の時間 リアス,FDD/W65-049S,780 円,remaining:×
0,オカルト研究部部長 リアス,FDD/W65-T10S,320 円,remaining:×
0,白翼の＜エンジェル＞ 折紙,FDL/W65-076S,"12,800 円",remaining:×
0,純真の＜プリンセス＞十香,FDL/W65-080S,"1,280 円",remaining:8pcs
0,陣代高校の女子高生 かなめ,FFP/W65-023S,500 円,remaining:1pcs
0,トゥアハー・デ・ダナン艦長 テレサ,FFP/W65-028S,500 円,remaining:2pcs
0,お兄ちゃん想い 涼花,FII/W65-072S,"1,480 円",remaining:2pcs
0,永遠野誓のライバル 舞,FII/W65-082S,420 円,remaining:×
0,吸血忍者 セラ,FKZ/W65-006S,500 円,remaining:×
0,健康系アウトドア少女 トモノリ,FKZ/W65-007S,980 円,remaining:2pcs
0,一途な魔術師 夕菜,FMR/W65-024S,420 円,remaining:3pcs
0,剣術の達人 凜,FMR/W65-027S,500 円,remaining:6pcs
0,天下布武 信奈,FOY/W65-001S,500 円,remaining:×
0,か弱き陰陽師 半兵衛,FOY/W65-004S,980 円,remaining:◯
0,やわらかな笑顔 ルミア,FRA/W65-075S,"3,980 円",remaining:×
0,異色の魔導士 リィエル,FRA/W65-079S,500 円,remaining:◯
0,覚悟を決めた システィーナ,FRA/W65-T18S,320 円,remaining:◯
0,碧陽学園生徒会長 くりむ(エラッタ前),FSI/W65-045S,980 円,remaining:×
0,碧陽学園生徒会長 くりむ(エラッタ後),FSI/W65-045S,980 円,remaining:×
0,絶対神 くりむ,FSI/W65-047S,780 円,remaining:×
0,碧陽学園生徒会副会長 深夏,FSI/W65-050S,500 円,remaining:1pcs
0,支配人代理補佐 いすず,FAB/W65-025,180 円,remaining:◯
0,治癒の少女 アーシア,FDD/W65-043,320 円,remaining:◯
0,狂華の＜ナイトメア＞狂三,FDL/W65-074,420 円,remaining:◯
0,陣代高校の女子高生 かなめ,FFP/W65-023,120 円,remaining:◯
0,お兄ちゃん想い 涼花,FII/W65-072,220 円,remaining:◯
0,ツンデレ魔装少女 ハルナ,FKZ/W65-002,120 円,remaining:◯
0,一途な魔術師 夕菜,FMR/W65-024,120 円,remaining:◯
0,天下布武 信奈,FOY/W65-001,180 円,remaining:◯
0,受け継がれし魔術の才能 システィーナ,FRA/W65-073,420 円,remaining:◯
0,碧陽学園生徒会会計 真冬,FSI/W65-042,120 円,remaining:◯
0,メープルランド第一王女 ラティファ,FAB/W65-026,120 円,remaining:◯
0,紅髪の滅殺姫 リアス,FDD/W65-044,80 円,remaining:×
0,究極のS 朱乃,FDD/W65-048,120 円,remaining:×
0,ご褒美の時間 リアス,FDD/W65-049,120 円,remaining:×
0,魔性の微笑み リアス,FDD/W65-052,80 円,remaining:×
0,白翼の＜エンジェル＞ 折紙,FDL/W65-076,220 円,remaining:◯
0,Elegant Clockwork 狂三,FDL/W65-077,220 円,remaining:◯
0,純真の＜プリンセス＞十香,FDL/W65-080,180 円,remaining:◯
0,トゥアハー・デ・ダナン艦長 テレサ,FFP/W65-028,120 円,remaining:◯
0,永遠野誓のライバル 舞,FII/W65-082,80 円,remaining:◯
0,銀髪のネクロマンサー ユー,FKZ/W65-003,180 円,remaining:◯
0,それぞれの祭 ユー,FKZ/W65-005,180 円,remaining:◯
0,吸血忍者 セラ,FKZ/W65-006,120 円,remaining:◯
0,健康系アウトドア少女 トモノリ,FKZ/W65-007,220 円,remaining:◯
0,剣術の達人 凜,FMR/W65-027,120 円,remaining:◯
0,か弱き陰陽師 半兵衛,FOY/W65-004,180 円,remaining:◯
0,やわらかな笑顔 ルミア,FRA/W65-075,120 円,remaining:◯
0,一つ屋根の下 ルミア&システィーナ,FRA/W65-078,120 円,remaining:◯
0,異色の魔導士 リィエル,FRA/W65-079,80 円,remaining:◯
0,優しさと強さ ルミア,FRA/W65-081,320 円,remaining:◯
0,碧陽学園生徒会長 くりむ(エラッタ前),FSI/W65-045,220 円,remaining:◯
0,碧陽学園生徒会長 くりむ(エラッタ後),FSI/W65-045,220 円,remaining:◯
0,絶対神 くりむ,FSI/W65-047,120 円,remaining:◯
0,碧陽学園生徒会副会長 深夏,FSI/W65-050,80 円,remaining:◯
0,碧陽学園生徒会書紀 知弦(エラッタ前),FSI/W65-051,80 円,remaining:◯
0,碧陽学園生徒会書記 知弦(エラッタ後),FSI/W65-051,80 円,remaining:10pcs
0,天才魔道士にして剣士 リナ,FSL/W65-046,120 円,remaining:◯
0,水の妖精 ミュース,FAB/W65-029,50 円,remaining:◯
0,初めての文化祭 いすず＆ラティファ,FAB/W65-032,50 円,remaining:◯
0,女装のハーフヴァンパイア ギャスパー,FDD/W65-054,50 円,remaining:◯
0,無口な白猫 小猫,FDD/W65-056,80 円,remaining:◯
0,銀髪の元ヴァルキリー ロスヴァイセ,FDD/W65-059,50 円,remaining:◯
0,共に信じる夢,FDD/W65-068,50 円,remaining:◯
0,灼愛の＜イフリート＞ 琴里,FDL/W65-083,80 円,remaining:◯
0,臆病な＜ハーミット＞ 四糸乃,FDL/W65-086,80 円,remaining:×
0,誘惑の＜ディーヴァ＞美九,FDL/W65-088,220 円,remaining:◯
0,魔王の愛,FDL/W65-099,220 円,remaining:◯
0,コールサイン ウルズ７ 宗介,FFP/W65-030,50 円,remaining:◯
0,ARX-8 レーバテイン,FFP/W65-031,50 円,remaining:◯
0,バレンタインの取材? 涼花,FII/W65-085,50 円,remaining:◯
0,恥じらう妹 涼花,FII/W65-087,50 円,remaining:◯
0,ブロークンハートマグナム ハルナ,FKZ/W65-008,50 円,remaining:◯
0,理想の目覚め セラ,FKZ/W65-011,50 円,remaining:◯
0,はだけたワイシャツ ユー,FKZ/W65-012,80 円,remaining:◯
0,踏み込めない間合い,FKZ/W65-019,80 円,remaining:◯
0,気高き令嬢 玖里子,FMR/W65-033,50 円,remaining:◯
0,乱世の渦中 信奈,FOS/W65-010,50 円,remaining:◯
0,ジパングのクイーン 信奈,FOY/W65-009,50 円,remaining:◯
0,咄嗟の判断 グレン,FRA/W65-084,50 円,remaining:◯
0,純白のドレス システィーナ,FRA/W65-089,50 円,remaining:◯
0,黒の破壊魔術,FRA/W65-100,50 円,remaining:◯
0,ツンデレメイド 深夏,FSI/W65-053,50 円,remaining:◯
0,鏡花風月 知弦,FSI/W65-055,80 円,remaining:◯
0,天真爛漫 くりむ,FSI/W65-057,50 円,remaining:◯
0,花顔雪膚 真冬,FSI/W65-058,50 円,remaining:◯
0,孤高の理由 桜花,F35/W65-034,30 円,remaining:◯
0,『エレメンタリオ』の四人娘 ミュース・サーラマ・シルフィー・コボリー,FAB/W65-036,30 円,remaining:◯
0,主従の関係 リアス&一誠,FDD/W65-060,30 円,remaining:◯
0,黄金龍君の契約者 アーシア,FDD/W65-062,30 円,remaining:◯
0,聖剣の使い手 ゼノヴィア,FDD/W65-064,30 円,remaining:◯
0,神速の剣技 祐斗,FDD/W65-065,30 円,remaining:◯
0,舞風の＜ベルセルク＞ 耶倶矢＆夕弦,FDL/W65-091,50 円,remaining:◯
0,彼女たちの救精主 士道,FDL/W65-093,50 円,remaining:◯
0,抱え込んだ過去 折紙,FDL/W65-094,30 円,remaining:◯
0,「勇者の遺物」を探す旅 ライナ＆フェリス,FDY/W65-035,80 円,remaining:◯
0,棺担ぐ魔法師 チャイカ,FHC/W65-090,30 円,remaining:◯
0,イギリス出身のイラストレーター アへ顔Wピース先生,FII/W65-096,30 円,remaining:◯
0,魔砲剣士の卵 ミソラ,FKM/W65-095,30 円,remaining:◯
0,氷禍の魔女 アリスリーゼ,FKS/W65-015,30 円,remaining:◯
0,学年トップの優等生 妙子,FKZ/W65-014,30 円,remaining:◯
0,カワ気持ち悪い 歩,FKZ/W65-016,30 円,remaining:◯
0,２つの顔を持つ吸血忍者 サラス,FKZ/W65-018,30 円,remaining:◯
0,秘めたる素質 和樹,FMR/W65-038,30 円,remaining:◯
0,勇者のお母さん 真々子,FOS/W65-037,30 円,remaining:◯
0,天上天下唯我独尊 政宗,FOY/W65-013,30 円,remaining:◯
0,星の瞬き アルベルト,FRA/W65-092,30 円,remaining:◯
0,じゃれあう二人 ルミア&システィーナ,FRA/W65-097,50 円,remaining:◯
0,大陸屈指の魔術師 セリカ,FRA/W65-098,30 円,remaining:◯
0,碧陽学園生徒会副会長 鍵,FSI/W65-061,30 円,remaining:◯
0,オタク少女 真冬,FSI/W65-063,30 円,remaining:◯
0,百合の香り 知弦,FSI/W65-066,50 円,remaining:◯
0,光彩陸離 深夏,FSI/W65-067,30 円,remaining:◯
0,果たされた約束 夏目&春虎,FTR/W65-017,30 円,remaining:◯
0,死出の旅,FDL/W65-101,220 円,remaining:6pcs
