,card_name,card_num,price,status
0,純朴で無邪気 アイリスフィール(サイン入り),FZ/SE13-01,"2,980 円",remaining:×
0,鋼色の疾風 セイバー(サイン入り),FZ/SE13-02,"5,980 円",remaining:×
0,英霊の少女 セイバー(サイン入り),FZ/SE13-06,"2,480 円",remaining:×
0,純朴で無邪気 アイリスフィール,FZ/SE13-01,180 円,remaining:◯
0,鋼色の疾風 セイバー,FZ/SE13-02,120 円,remaining:10pcs
0,“器の護り手”アイリスフィール,FZ/SE13-03,80 円,remaining:◯
0,女兵士 舞弥,FZ/SE13-04,80 円,remaining:◯
0,二本の魔槍 ランサー,FZ/SE13-10,80 円,remaining:◯
0,呪いの黄槍 ランサー,FZ/SE13-11,80 円,remaining:◯
0,伝説の征服王 ライダー,FZ/SE13-12,120 円,remaining:◯
0,葛藤を抱える神父 綺礼,FZ/SE13-20,80 円,remaining:◯
0,聖堂教会の求道者 綺礼,FZ/SE13-21,120 円,remaining:◯
0,アインツベルンの切り札 桐嗣,FZ/SE13-05,50 円,remaining:◯
0,英霊の少女 セイバー,FZ/SE13-06,50 円,remaining:◯
0,高貴な宝石 アイリスフィール,FZ/SE13-07,50 円,remaining:◯
0,冷酷非情の猟犬 切嗣,FZ/SE13-08,50 円,remaining:◯
0,世界征服の野望 ライダー,FZ/SE13-13,50 円,remaining:◯
0,生まれついての貴族 ケイネス,FZ/SE13-14,50 円,remaining:◯
0,“月霊髄液”ケイネス,FZ/SE13-15,50 円,remaining:◯
0,自称天才魔術師 ウェイバー,FZ/SE13-16,50 円,remaining:◯
0,我が王道 ライダー,FZ/SE13-17,50 円,remaining:◯
0,聖杯問答,FZ/SE13-18,50 円,remaining:◯
0,龍之介の師 キャスター,FZ/SE13-22,50 円,remaining:◯
0,“アーティスト”龍之介,FZ/SE13-23,80 円,remaining:◯
0,“妄想幻像”アサシン,FZ/SE13-24,120 円,remaining:◯
0,言峰 璃正,FZ/SE13-25,50 円,remaining:◯
0,“妄想幻像”アサシン,FZ/SE13-26,80 円,remaining:◯
0,雨生 龍之介,FZ/SE13-27,50 円,remaining:◯
0,風王鉄槌,FZ/SE13-09,580 円,remaining:◯
0,必滅の黄薔薇,FZ/SE13-19,50 円,remaining:◯
0,純朴で無邪気 アイリスフィール(ホロ),FZ/SE13-01,220 円,remaining:◯
0,鋼色の疾風 セイバー(ホロ),FZ/SE13-02,180 円,remaining:◯
0,“器の護り手”アイリスフィール(ホロ),FZ/SE13-03,120 円,remaining:◯
0,女兵士 舞弥(ホロ),FZ/SE13-04,120 円,remaining:◯
0,二本の魔槍 ランサー(ホロ),FZ/SE13-10,120 円,remaining:◯
0,呪いの黄槍 ランサー(ホロ),FZ/SE13-11,120 円,remaining:◯
0,伝説の征服王 ライダー(ホロ),FZ/SE13-12,180 円,remaining:◯
0,葛藤を抱える神父 綺礼(ホロ),FZ/SE13-20,120 円,remaining:◯
0,聖堂教会の求道者 綺礼(ホロ),FZ/SE13-21,180 円,remaining:◯
0,アインツベルンの切り札 桐嗣(ホロ),FZ/SE13-05,80 円,remaining:◯
0,英霊の少女 セイバー(ホロ),FZ/SE13-06,80 円,remaining:1pcs
0,高貴な宝石 アイリスフィール(ホロ),FZ/SE13-07,80 円,remaining:◯
0,冷酷非情の猟犬 切嗣(ホロ),FZ/SE13-08,80 円,remaining:◯
0,世界征服の野望 ライダー(ホロ),FZ/SE13-13,80 円,remaining:◯
0,生まれついての貴族 ケイネス(ホロ),FZ/SE13-14,80 円,remaining:◯
0,“月霊髄液”ケイネス(ホロ),FZ/SE13-15,80 円,remaining:◯
0,自称天才魔術師 ウェイバー(ホロ),FZ/SE13-16,80 円,remaining:◯
0,我が王道 ライダー(ホロ),FZ/SE13-17,80 円,remaining:◯
0,聖杯問答(ホロ),FZ/SE13-18,80 円,remaining:◯
0,龍之介の師 キャスター(ホロ),FZ/SE13-22,80 円,remaining:◯
0,“アーティスト”龍之介(ホロ),FZ/SE13-23,120 円,remaining:◯
0,“妄想幻像”アサシン(ホロ),FZ/SE13-24,120 円,remaining:◯
0,言峰 璃正(ホロ),FZ/SE13-25,80 円,remaining:◯
0,“妄想幻像”アサシン(ホロ),FZ/SE13-26,120 円,remaining:◯
0,雨生 龍之介(ホロ),FZ/SE13-27,80 円,remaining:◯
0,風王鉄槌(ホロ),FZ/SE13-09,980 円,remaining:◯
0,必滅の黄薔薇(ホロ),FZ/SE13-19,80 円,remaining:◯
