,card_name,card_num,price,status
0,マシンキャリバー チェインバー(サイン入り),GG/S23-027SP,"4,980 円",remaining:1pcs
0,気付いた想い エイミー(サイン入り),GG/S23-052SP,"4,980 円",remaining:×
0,人類銀河同盟との訣別 レド(サイン入り),GG/S23-077SP,"3,480 円",remaining:×
0,大空の下 レド&チェインバー(サイン入り),GG/S23-078SP,"1,980 円",remaining:×
0,好奇心旺盛 エイミー(サイン入り),GG/S23-103SP,"3,480 円",remaining:×
0,ブリキの大将 チェインバー,GG/S23-031R,320 円,remaining:5pcs
0,メッセンジャー エイミー,GG/S23-051R,500 円,remaining:×
0,明るい笑顔 エイミー,GG/S23-053R,320 円,remaining:×
0,宇宙から来た少年 レド,GG/S23-076R,780 円,remaining:10pcs
0,漂流者 レド,GG/S23-101R,780 円,remaining:◯
0,いたずらっ子 メルティ,GG/S23-T02R,420 円,remaining:×
0,船団代表補佐 リジット,GG/S23-003S,220 円,remaining:×
0,応答するチェインバー,GG/S23-036S,120 円,remaining:×
0,クジライカ討伐 チェインバー,GG/S23-038S,120 円,remaining:6pcs
0,驚きの出会い エイミー,GG/S23-054S,120 円,remaining:×
0,踊り子 エイミー,GG/S23-057S,180 円,remaining:×
0,微笑む エイミー,GG/S23-061S,320 円,remaining:1pcs
0,精神統一 レド,GG/S23-079S,180 円,remaining:3pcs
0,見知らぬ土地 レド,GG/S23-080S,180 円,remaining:5pcs
0,好奇心旺盛 エイミー,GG/S23-103S,180 円,remaining:5pcs
0,追悼するリジット,GG/S23-001,180 円,remaining:◯
0,サルベージ屋 ベローズ,GG/S23-002,420 円,remaining:10pcs
0,独自の判断 チェインバー,GG/S23-026,220 円,remaining:◯
0,マシンキャリバー チェインバー,GG/S23-027,500 円,remaining:◯
0,メッセンジャー エイミー,GG/S23-051,220 円,remaining:◯
0,気付いた想い エイミー,GG/S23-052,320 円,remaining:◯
0,宇宙から来た少年 レド,GG/S23-076,420 円,remaining:◯
0,人類銀河同盟との訣別 レド,GG/S23-077,500 円,remaining:◯
0,船団代表補佐 リジット,GG/S23-003,180 円,remaining:◯
0,驚きの目 ベローズ,GG/S23-004,120 円,remaining:◯
0,水着のリジット,GG/S23-005,180 円,remaining:◯
0,助言するベローズ,GG/S23-006,180 円,remaining:◯
0,謝肉祭 ベローズ,GG/S23-007,120 円,remaining:◯
0,交戦態勢 ストライカー,GG/S23-028,120 円,remaining:◯
0,漁に出るチェインバー,GG/S23-029,120 円,remaining:◯
