,card_name,card_num,price,status
0,“繋ぐ希望”ユウコ・タニ(サイン入り),GZL/S54-T17SP,"3,980 円",remaining:3pcs
0,轟く咆哮,GZL/S54-T05R,"3,980 円",remaining:×
0,“希望を託して”メトフィエス,GZL/S54-T07R,780 円,remaining:◯
0,“希望の先導者”ハルオ,GZL/S54-T16R,"1,980 円",remaining:2pcs
0,“破壊の王”ゴジラ,GZL/S54-T04S,180 円,remaining:3pcs
0,“戦いの最前線”ハルオ,GZL/S54-T12S,120 円,remaining:5pcs
0,“翼竜型生物”セルヴァム,GZL/S54-T01,500 円,remaining:8pcs
0,“突然変異”セルヴァム,GZL/S54-T02,220 円,remaining:◯
0,“野生動物”セルヴァム,GZL/S54-T03,320 円,remaining:4pcs
0,“破壊の王”ゴジラ,GZL/S54-T04,180 円,remaining:7pcs
0,轟く咆哮,GZL/S54-T05,180 円,remaining:10pcs
0,“対ゴジラ戦術”ハルオ,GZL/S54-T06,80 円,remaining:◯
0,“希望を託して”メトフィエス,GZL/S54-T07,80 円,remaining:◯
0,“惑星の沿革”ガルグ,GZL/S54-T08,80 円,remaining:◯
0,“不安な眼差し”ユウコ・タニ,GZL/S54-T09,80 円,remaining:◯
0,“影の協力者”メトフィエス,GZL/S54-T10,50 円,remaining:◯
0,“絶望と希望”ガルグ,GZL/S54-T11,50 円,remaining:◯
0,“戦いの最前線”ハルオ,GZL/S54-T12,120 円,remaining:◯
0,“パワードスーツ部隊”ユウコ・タニ,GZL/S54-T13,50 円,remaining:◯
0,“任務継続”メトフィエス,GZL/S54-T14,50 円,remaining:◯
0,“収監者の告解”ハルオ,GZL/S54-T15,50 円,remaining:◯
0,“希望の先導者”ハルオ,GZL/S54-T16,120 円,remaining:◯
0,“繋ぐ希望”ユウコ・タニ,GZL/S54-T17,80 円,remaining:◯
0,ゴジラ完全殲滅の可能性と新戦術について,GZL/S54-T18,80 円,remaining:◯
0,俺は、貴様を……,GZL/S54-T19,80 円,remaining:◯
0,恒星間移民船アラトラム号,GZL/S54-T20,50 円,remaining:◯
0,世界を蹂躙せしもの,GZL/S54-P01,180 円,remaining:×
0,“不屈の闘志”ハルオ,GZL/S54-P02,220 円,remaining:◯
