,card_name,card_num,price,status
0,星の海、たゆたうフォーチュンテラー 桜庭 星羅(サイン入り),HBR/W103-001SP,"8,980 円",remaining:1pcs
0,Ebon Knight 山脇・ボン・イヴァール(サイン入り),HBR/W103-002SP,"14,800 円",remaining:2pcs
0,Awakening Iris 白河 ユイナ(サイン入り),HBR/W103-003SP,"49,800 円",remaining:2pcs
0,甘美のMuzzle 佐月 マリ(サイン入り),HBR/W103-004SP,"6,980 円",remaining:1pcs
0,朧月夜のバレット 小笠原 緋雨(サイン入り),HBR/W103-005SP,"14,800 円",remaining:1pcs
0,エクスペリメンタルなキミ 天音 巫呼(サイン入り),HBR/W103-006SP,"6,980 円",remaining:×
0,星林遣らずの雨 桐生 美也(サイン入り),HBR/W103-007SP,"19,800 円",remaining:×
0,終末ロリータ白書 菅原 千恵(サイン入り),HBR/W103-008SP,"14,800 円",remaining:×
0,此に期するは豊穣の御霊 蔵 里見(サイン入り),HBR/W103-009SP,"19,800 円",remaining:×
0,ごちゃまぜ忍法大乱闘 神崎 アーデルハイド(サイン入り),HBR/W103-010SP,"7,980 円",remaining:×
0,夜空のShining Star 豊後 弥生(サイン入り),HBR/W103-011SP,"6,980 円",remaining:×
0,真宵晴るれば、一閃心静 月城 最中(サイン入り),HBR/W103-012SP,"9,980 円",remaining:×
0,勝利への鍵 大島 五十鈴(サイン入り),HBR/W103-029SP,"19,800 円",remaining:2pcs
0,果てなき慈愛の守護者 大島 一千子(サイン入り),HBR/W103-030SP,"19,800 円",remaining:2pcs
0,Realize Your Mind 大島 三野里(サイン入り),HBR/W103-031SP,"7,980 円",remaining:2pcs
0,疾走エクスタシー 大島 六宇亜(サイン入り),HBR/W103-032SP,"6,980 円",remaining:2pcs
0,Brand New Mind 大島 二以奈(サイン入り),HBR/W103-033SP,"12,800 円",remaining:2pcs
0,Lollipop Break 大島 四ツ葉(サイン入り),HBR/W103-034SP,"7,980 円",remaining:1pcs
0,深き海の学び手 瑞原 あいな(サイン入り),HBR/W103-035SP,"4,980 円",remaining:1pcs
0,お気楽カラフル 石井 色葉(サイン入り),HBR/W103-037SP,"3,980 円",remaining:1pcs
0,ネガティブエース 伊達 朱里(サイン入り),HBR/W103-039SP,"5,980 円",remaining:×
0,最年少名人 二階堂 三郷(サイン入り),HBR/W103-040SP,"4,980 円",remaining:1pcs
0,Metal Crazy 命 吹雪(サイン入り),HBR/W103-041SP,"9,980 円",remaining:1pcs
0,親愛のレシーバー 室伏 理沙(サイン入り),HBR/W103-042SP,"3,980 円",remaining:×
0,Wild Rose 柳 美音(サイン入り),HBR/W103-052SP,"8,980 円",remaining:2pcs
0,気合一閃エンジェルセイラー 國見 タマ(サイン入り),HBR/W103-053SP,"34,800 円",remaining:1pcs
0,黎明のエモーショナル・ソウル 茅森 月歌(サイン入り),HBR/W103-054SP,"39,800 円",remaining:2pcs
0,ハレの日の仏恥義理 黒沢 真希(サイン入り),HBR/W103-055SP,"8,980 円",remaining:2pcs
0,メメント・モリの美少女 東城 つかさ(サイン入り),HBR/W103-056SP,"17,800 円",remaining:1pcs
0,エボリューションな感受性 丸山 奏多(サイン入り),HBR/W103-057SP,"6,980 円",remaining:2pcs
0,剣の冷徹 夏目 祈(サイン入り),HBR/W103-058SP,"12,800 円",remaining:×
0,終いのSpitfire 和泉 ユキ(サイン入り),HBR/W103-059SP,"14,800 円",remaining:2pcs
0,疾風迅速滅亡の狼煙 松岡 チロル(サイン入り),HBR/W103-060SP,"6,980 円",remaining:1pcs
0,紅蓮月華のKillrazor 朝倉 可憐(サイン入り),HBR/W103-061SP,"24,800 円",remaining:3pcs
0,Ikki Burst Strike 逢川 めぐみ(サイン入り),HBR/W103-062SP,"14,800 円",remaining:×
0,君のUnisono 華村 詩紀(サイン入り),HBR/W103-063SP,"5,980 円",remaining:1pcs
0,残光 水瀬 すもも(サイン入り),HBR/W103-083SP,"12,800 円",remaining:1pcs
0,ココロ・Inspire 蒼井 えりか(サイン入り),HBR/W103-084SP,"49,800 円",remaining:1pcs
0,蒼きノクターン 柊木 梢(サイン入り),HBR/W103-085SP,"12,800 円",remaining:×
0,生者のホメオスタシス 樋口 聖華(サイン入り),HBR/W103-086SP,"6,980 円",remaining:×
0,嬉々迫るフォール・イン・ラヴ 水瀬 いちご(サイン入り),HBR/W103-087SP,"6,980 円",remaining:1pcs
0,星の継承者 キャロル・リーパー(サイン入り),HBR/W103-091SP,"3,980 円",remaining:×
0,くれないのシスター マリア・デ・アンジェリス(サイン入り),HBR/W103-092SP,"4,980 円",remaining:×
0,臥龍の代弁者 李 映夏(サイン入り),HBR/W103-093SP,"6,980 円",remaining:1pcs
0,不可思議の探求者 アイリーン・レドメイン(サイン入り),HBR/W103-095SP,"4,980 円",remaining:2pcs
