,card_name,card_num,price,status
0,“鉄壁クルセイダー”ダクネス(サイン入り),KS/W75-001SP,"2,980 円",remaining:×
0,ダクネス(サイン入り),KS/W75-002SP,"2,980 円",remaining:×
0,“スティール成功…？”クリス(サイン入り),KS/W75-003SP,"9,980 円",remaining:×
0,“バニーガール”ゆんゆん(サイン入り),KS/W75-034SP,"6,980 円",remaining:×
0,めぐみん(サイン入り),KS/W75-035SP,"6,980 円",remaining:×
0,“爆裂娘”めぐみん(サイン入り),KS/W75-044SP,"4,980 円",remaining:×
0,“氷の魔女”ウィズ(サイン入り),KS/W75-046SP,"2,980 円",remaining:×
0,“麗しき水の女神”アクア(サイン入り),KS/W75-071SP,"14,800 円",remaining:×
0,“良き出会いのあらんことを”エリス(サイン入り),KS/W75-072SP,"9,980 円",remaining:×
0,アクア(サイン入り),KS/W75-073SP,"5,980 円",remaining:×
0,私の心までは屈し……,KS/W75-029R,680 円,remaining:×
0,本物の爆裂魔法,KS/W75-066R,"3,980 円",remaining:10pcs
0,ライト・オブ・セイバー！,KS/W75-067R,980 円,remaining:×
0,新・爆裂魔法,KS/W75-069R,220 円,remaining:×
0,女神の名において,KS/W75-097R,320 円,remaining:2pcs
0,リザレクション,KS/W75-098R,500 円,remaining:2pcs
0,“ソゲキッ”カズマ,KS/W75-004S,"1,480 円",remaining:×
0,“地獄の公爵”バニル,KS/W75-007S,220 円,remaining:1pcs
0,“羞恥責め”ダクネス,KS/W75-012S,500 円,remaining:×
0,紅魔族一の天才 めぐみん,KS/W75-032S,"2,480 円",remaining:×
0,水着のめぐみん,KS/W75-033S,420 円,remaining:×
0,“うなされる”ウィズ,KS/W75-036S,320 円,remaining:5pcs
0,“ボードゲーム”めぐみん,KS/W75-037S,780 円,remaining:×
0,“待ち伏せ”ゆんゆん,KS/W75-038S,"1,280 円",remaining:×
0,“迷惑行為”めぐみん,KS/W75-039S,320 円,remaining:×
0,“おうちに帰ろう”アクア＆めぐみん,KS/W75-041S,320 円,remaining:×
0,“さらなる高みへ”めぐみん,KS/W75-042S,320 円,remaining:×
0,“ちょっと恥ずかしい”ゆんゆん,KS/W75-050S,220 円,remaining:×
0,“トラブルメーカー”アクア,KS/W75-074S,220 円,remaining:×
0,“魂の救済”アクア,KS/W75-075S,780 円,remaining:4pcs
0,“日本担当のエリートな女神…？”アクア,KS/W75-076S,"1,980 円",remaining:3pcs
0,私財差し押さえ,KS/W75-095S,"3,980 円",remaining:×
0,“鉄壁クルセイダー”ダクネス,KS/W75-001,220 円,remaining:◯
0,ダクネス,KS/W75-002,120 円,remaining:◯
0,“スティール成功…？”クリス,KS/W75-003,220 円,remaining:◯
0,紅魔族一の天才 めぐみん,KS/W75-032,"1,480 円",remaining:◯
0,水着のめぐみん,KS/W75-033,220 円,remaining:×
0,“バニーガール”ゆんゆん,KS/W75-034,500 円,remaining:◯
0,めぐみん,KS/W75-035,500 円,remaining:◯
0,“麗しき水の女神”アクア,KS/W75-071,"1,480 円",remaining:×
0,“良き出会いのあらんことを”エリス,KS/W75-072,180 円,remaining:◯
0,アクア,KS/W75-073,220 円,remaining:1pcs
0,“ソゲキッ”カズマ,KS/W75-004,320 円,remaining:◯
0,“見送る”クリス,KS/W75-005,120 円,remaining:◯
0,“露払い役”ダクネス,KS/W75-006,80 円,remaining:◯
0,“地獄の公爵”バニル,KS/W75-007,120 円,remaining:◯
0,“走り出せ”ダクネス,KS/W75-008,120 円,remaining:◯
0,“仮面の力”ダクネス,KS/W75-009,80 円,remaining:◯
0,“うなされる”ウィズ,KS/W75-036,120 円,remaining:◯
0,“ボードゲーム”めぐみん,KS/W75-037,180 円,remaining:◯
0,“待ち伏せ”ゆんゆん,KS/W75-038,180 円,remaining:6pcs
0,“迷惑行為”めぐみん,KS/W75-039,180 円,remaining:1pcs
0,“お茶汲み”ウィズ,KS/W75-040,80 円,remaining:◯
0,“おうちに帰ろう”アクア＆めぐみん,KS/W75-041,180 円,remaining:8pcs
0,“さらなる高みへ”めぐみん,KS/W75-042,120 円,remaining:4pcs
0,“永遠のライバル”ゆんゆん,KS/W75-043,80 円,remaining:◯
0,“爆裂娘”めぐみん,KS/W75-044,120 円,remaining:×
0,“パワーアップする爆裂魔法”めぐみん,KS/W75-045,120 円,remaining:◯
0,“氷の魔女”ウィズ,KS/W75-046,120 円,remaining:◯
0,“トラブルメーカー”アクア,KS/W75-074,120 円,remaining:◯
0,“魂の救済”アクア,KS/W75-075,180 円,remaining:10pcs
0,“日本担当のエリートな女神…？”アクア,KS/W75-076,680 円,remaining:◯
0,“雪精討伐の意味とは？”アクア,KS/W75-077,120 円,remaining:◯
0,“走り出せ”アクア,KS/W75-078,120 円,remaining:◯
0,盗賊クリス,KS/W75-010,50 円,remaining:◯
0,カズマ,KS/W75-011,50 円,remaining:◯
0,“羞恥責め”ダクネス,KS/W75-012,50 円,remaining:◯
0,“筋金入りのド変態”ダクネス,KS/W75-013,50 円,remaining:◯
0,“特技は妄想”ダクネス,KS/W75-014,50 円,remaining:×
0,“アルカンレティア観光”ダクネス,KS/W75-015,50 円,remaining:◯
0,水着のダクネス,KS/W75-016,50 円,remaining:×
0,ダスティネス家の令嬢 ダクネス,KS/W75-017,50 円,remaining:◯
0,“両手を広げて仁王立ち”ダクネス,KS/W75-018,50 円,remaining:◯
0,フリーズ,KS/W75-028,50 円,remaining:◯
0,“もぐもぐ”めぐみん,KS/W75-047,50 円,remaining:◯
0,“スキル習得の心得”めぐみん,KS/W75-048,50 円,remaining:◯
0,紅魔族族長の娘 ゆんゆん,KS/W75-049,80 円,remaining:◯
0,“ちょっと恥ずかしい”ゆんゆん,KS/W75-050,50 円,remaining:◯
0,“私たちがプレゼント”めぐみん＆アクア,KS/W75-051,50 円,remaining:×
0,めぐみん&ゆんゆん,KS/W75-052,50 円,remaining:◯
0,“同時発射!!”ウィズ,KS/W75-053,50 円,remaining:◯
0,“先生のお呼び出し”めぐみん,KS/W75-054,50 円,remaining:◯
0,“走り出せ”めぐみん,KS/W75-055,50 円,remaining:◯
0,“紅魔族”めぐみん,KS/W75-056,50 円,remaining:◯
0,“リッチー”ウィズ,KS/W75-057,50 円,remaining:◯
0,水着のエリス,KS/W75-079,50 円,remaining:◯
0,水着のアクア,KS/W75-080,50 円,remaining:×
0,“優しい微笑み”エリス,KS/W75-081,50 円,remaining:◯
0,“セイクリッド・クリエイトウォーター”アクア,KS/W75-082,50 円,remaining:◯
0,“恥ずかしがる”エリス,KS/W75-083,50 円,remaining:◯
0,“怒れる拳”アクア,KS/W75-084,50 円,remaining:◯
0,私財差し押さえ,KS/W75-095,120 円,remaining:◯
0,“クリエイトウォーター”カズマ,KS/W75-019,30 円,remaining:◯
0,“騎士のカガミ？”ダクネス,KS/W75-020,30 円,remaining:◯
0,“不安でいっぱい”カズマ,KS/W75-021,50 円,remaining:◯
