,card_name,card_num,price,status
0,届けたい詩 五十鈴,LH/SP02-01S,420 円,remaining:4pcs
0,美少女アイドル?てとら,LH/SP02-02S,320 円,remaining:◯
0,<影遁>アカツキ,LH/SP02-03S,320 円,remaining:×
0,シロエの弟子 ミノリ,LH/SP02-04S,780 円,remaining:×
0,“2刀流”にゃん太,LH/SP02-05S,320 円,remaining:×
0,ウィリアム=マサチューセッツ,LH/SP02-06S,420 円,remaining:×
0,“フルレイド”シロエ,LH/SP02-07S,320 円,remaining:1pcs
0,ゲーマーの意地,LH/SP02-08S,580 円,remaining:6pcs
0,届けたい詩 五十鈴,LH/SP02-01,220 円,remaining:◯
0,美少女アイドル?てとら,LH/SP02-02,120 円,remaining:◯
0,<影遁>アカツキ,LH/SP02-03,180 円,remaining:8pcs
0,シロエの弟子 ミノリ,LH/SP02-04,320 円,remaining:◯
0,“2刀流”にゃん太,LH/SP02-05,180 円,remaining:7pcs
0,ウィリアム=マサチューセッツ,LH/SP02-06,220 円,remaining:5pcs
0,“フルレイド”シロエ,LH/SP02-07,180 円,remaining:◯
0,ゲーマーの意地,LH/SP02-08,320 円,remaining:◯
0,武闘家 カナミ,LH/SP02-09,980 円,remaining:◯
