,card_name,card_num,price,status
0,神話最強のヒーロー ソー(箔押し入り),MAR/S89-T03SP,"14,800 円",remaining:×
0,世界最高の戦闘兵器 アイアンマン(箔押し入り),MAR/S89-T13SP,"39,800 円",remaining:×
0,国家究極の武器 キャプテン・アメリカ(箔押し入り),MAR/S89-T17SP,"79,800 円",remaining:1pcs
0,超人 ハルク(箔押し入り),MAR/S89-002A,"14,800 円",remaining:2pcs
0,“アスガルド”の王子 ソー(箔押し入り),MAR/S89-003A,"7,980 円",remaining:3pcs
0,世界最高のエージェント ブラック・ウィドウ(箔押し入り),MAR/S89-030A,"9,980 円",remaining:4pcs
0,セレブヒーロー アイアンマン(箔押し入り),MAR/S89-032A,"89,800 円",remaining:4pcs
0,史上最高のアーチャー ホークアイ(箔押し入り),MAR/S89-073A,"4,980 円",remaining:2pcs
0,生ける伝説 キャプテン・アメリカ(箔押し入り),MAR/S89-074A,"39,800 円",remaining:3pcs
0,地球生まれ銀河育ち スター・ロード(箔押し入り),MAR/S89-001MR,"9,980 円",remaining:7pcs
0,心が読める不思議ちゃん マンティス(箔押し入り),MAR/S89-004MR,"4,980 円",remaining:3pcs
0,樹木型ヒューマノイド グルート(箔押し入り),MAR/S89-005MR,"4,980 円",remaining:×
0,ハルク(箔押し入り),MAR/S89-006MR,"3,980 円",remaining:×
0,武器製造のエキスパート ロケット・ラクーン(箔押し入り),MAR/S89-007MR,"4,980 円",remaining:1pcs
0,ソー・オーディンソン(箔押し入り),MAR/S89-008MR,"3,980 円",remaining:1pcs
0,マッチョな破壊王 ドラックス(箔押し入り),MAR/S89-009MR,"2,980 円",remaining:2pcs
0,宇宙一危険な女性 ガモーラ(箔押し入り),MAR/S89-010MR,"3,480 円",remaining:×
0,あなたの親愛なる隣人 スパイダーマン(箔押し入り),MAR/S89-031MR,"29,800 円",remaining:2pcs
0,不屈のヒーロー キャプテン・マーベル(箔押し入り),MAR/S89-033MR,"7,980 円",remaining:7pcs
0,最凶最悪のラスボス サノス(箔押し入り),MAR/S89-034MR,"7,980 円",remaining:2pcs
0,ワカンダの王 ブラックパンサー(箔押し入り),MAR/S89-035MR,"39,800 円",remaining:1pcs
0,アイアンマン(箔押し入り),MAR/S89-036MR,"9,980 円",remaining:1pcs
0,ウォーマシン最高!(箔押し入り),MAR/S89-037MR,"5,980 円",remaining:4pcs
0,ソーサラー・スプリーム ドクター・ストレンジ(箔押し入り),MAR/S89-038MR,"5,980 円",remaining:×
0,究極の人造人間 ヴィジョン(箔押し入り),MAR/S89-039MR,"3,980 円",remaining:×
0,ブラック・ウィドウ(箔押し入り),MAR/S89-042MR,"3,980 円",remaining:×
0,ホークアイ(箔押し入り),MAR/S89-075MR,"2,480 円",remaining:×
0,サイドキック ファルコン(箔押し入り),MAR/S89-076MR,"6,980 円",remaining:×
0,パワフルな超能力者 スカーレット・ウィッチ(箔押し入り),MAR/S89-077MR,"9,980 円",remaining:×
0,最小最強のヒロイン ワスプ(箔押し入り),MAR/S89-078MR,"2,980 円",remaining:×
0,最小最強のヒーロー アントマン(箔押し入り),MAR/S89-079MR,"12,800 円",remaining:1pcs
0,ヴィブラニウム製左腕 ウィンター・ソルジャー(箔押し入り),MAR/S89-080MR,"2,480 円",remaining:×
0,キャプテン・アメリカ(箔押し入り),MAR/S89-081MR,"9,980 円",remaining:1pcs
0,北欧の伝説 ソー,MAR/S89-026R,420 円,remaining:2pcs
0,苦悩の天才科学者 ハルク,MAR/S89-027R,320 円,remaining:3pcs
0,音速飛行 アイアンマン,MAR/S89-068R,"2,480 円",remaining:3pcs
0,超一流のエージェント ブラック・ウィドウ,MAR/S89-069R,500 円,remaining:5pcs
0,宇宙のバランス サノス,MAR/S89-070R,500 円,remaining:×
0,スーパーヒーロー スパイダーマン,MAR/S89-072R,420 円,remaining:2pcs
0,弓矢の達人 ホークアイ,MAR/S89-098R,320 円,remaining:2pcs
0,伝説のソルジャー キャプテン・アメリカ,MAR/S89-099R,"1,780 円",remaining:3pcs
0,ハルクスマッシュ!,MAR/S89-T06R,980 円,remaining:×
0,スーパー・スパイ ブラック・ウィドウ,MAR/S89-T10R,"1,280 円",remaining:×
0,世界で最も偉大な射手 ホークアイ,MAR/S89-T15R,"1,280 円",remaining:×
0,雷神 ソー・オーディンソン,MAR/S89-011S,500 円,remaining:5pcs
0,ロキ,MAR/S89-012S,220 円,remaining:2pcs
0,ベビー・グルート,MAR/S89-013S,980 円,remaining:◯
0,ドラックス,MAR/S89-014S,220 円,remaining:3pcs
0,マンティス,MAR/S89-015S,220 円,remaining:1pcs
0,ガモーラ,MAR/S89-016S,220 円,remaining:1pcs
0,超アドレナリンのヒーロー ハルク,MAR/S89-017S,420 円,remaining:×
0,ロケット・ラクーン,MAR/S89-018S,220 円,remaining:3pcs
0,スター・ロード,MAR/S89-019S,220 円,remaining:2pcs
0,サノス,MAR/S89-040S,220 円,remaining:1pcs
0,スパイダーマン,MAR/S89-041S,"3,480 円",remaining:2pcs
0,ヴィジョン,MAR/S89-043S,220 円,remaining:4pcs
0,ゴースト・スパイダー,MAR/S89-044S,"2,980 円",remaining:2pcs
0,最重要エージェント ブラック・ウィドウ,MAR/S89-046S,320 円,remaining:5pcs
0,ドクター・ストレンジ,MAR/S89-047S,220 円,remaining:×
0,キャプテン・マーベル,MAR/S89-048S,420 円,remaining:5pcs
0,ブラックパンサー,MAR/S89-049S,220 円,remaining:2pcs
0,ウォーマシン,MAR/S89-050S,220 円,remaining:2pcs
0,最新鋭のパワードスーツ アイアンマン,MAR/S89-052S,320 円,remaining:2pcs
0,アントマン,MAR/S89-083S,500 円,remaining:7pcs
0,史上最強の兵士 キャプテン・アメリカ,MAR/S89-084S,320 円,remaining:2pcs
0,ワスプ,MAR/S89-085S,320 円,remaining:5pcs
0,スカーレット・ウィッチ,MAR/S89-086S,320 円,remaining:×
0,ダークヒーロー ヴェノム,MAR/S89-087S,420 円,remaining:×
0,ファルコン,MAR/S89-088S,220 円,remaining:3pcs
0,ウィンター・ソルジャー,MAR/S89-089S,220 円,remaining:2pcs
0,神級の弓の使い手 ホークアイ,MAR/S89-090S,500 円,remaining:5pcs
0,世界最高の戦闘兵器 アイアンマン,MAR/S89-T13S,220 円,remaining:4pcs
0,無敵のアイアンマン,MAR/S89-T14S,220 円,remaining:◯
0,地球生まれ銀河育ち スター・ロード,MAR/S89-001,500 円,remaining:◯
0,超人 ハルク,MAR/S89-002,320 円,remaining:5pcs
0,“アスガルド”の王子 ソー,MAR/S89-003,120 円,remaining:◯
0,世界最高のエージェント ブラック・ウィドウ,MAR/S89-030,420 円,remaining:8pcs
0,あなたの親愛なる隣人 スパイダーマン,MAR/S89-031,220 円,remaining:◯
0,セレブヒーロー アイアンマン,MAR/S89-032,"1,980 円",remaining:◯
0,不屈のヒーロー キャプテン・マーベル,MAR/S89-033,500 円,remaining:2pcs
0,最凶最悪のラスボス サノス,MAR/S89-034,180 円,remaining:◯
0,史上最高のアーチャー ホークアイ,MAR/S89-073,120 円,remaining:◯
0,生ける伝説 キャプテン・アメリカ,MAR/S89-074,980 円,remaining:◯
0,心が読める不思議ちゃん マンティス,MAR/S89-004,120 円,remaining:◯
0,樹木型ヒューマノイド グルート,MAR/S89-005,120 円,remaining:◯
0,ハルク,MAR/S89-006,120 円,remaining:◯
0,武器製造のエキスパート ロケット・ラクーン,MAR/S89-007,120 円,remaining:◯
0,ソー・オーディンソン,MAR/S89-008,80 円,remaining:◯
0,マッチョな破壊王 ドラックス,MAR/S89-009,80 円,remaining:◯
0,宇宙一危険な女性 ガモーラ,MAR/S89-010,80 円,remaining:◯
0,ワカンダの王 ブラックパンサー,MAR/S89-035,500 円,remaining:◯
0,アイアンマン,MAR/S89-036,180 円,remaining:◯
0,ウォーマシン最高!,MAR/S89-037,120 円,remaining:◯
0,ソーサラー・スプリーム ドクター・ストレンジ,MAR/S89-038,80 円,remaining:◯
0,究極の人造人間 ヴィジョン,MAR/S89-039,80 円,remaining:◯
0,サノス,MAR/S89-040,120 円,remaining:◯
0,スパイダーマン,MAR/S89-041,120 円,remaining:◯
0,ブラック・ウィドウ,MAR/S89-042,80 円,remaining:◯
0,ホークアイ,MAR/S89-075,120 円,remaining:◯
0,サイドキック ファルコン,MAR/S89-076,220 円,remaining:4pcs
0,パワフルな超能力者 スカーレット・ウィッチ,MAR/S89-077,50 円,remaining:◯
0,最小最強のヒロイン ワスプ,MAR/S89-078,120 円,remaining:◯
0,最小最強のヒーロー アントマン,MAR/S89-079,320 円,remaining:◯
0,ヴィブラニウム製左腕 ウィンター・ソルジャー,MAR/S89-080,80 円,remaining:◯
