,card_name,card_num,price,status
0,“黒うさぎ”シェリル(サイン入り),MF/S13-001SP,"7,980 円",remaining:×
0,天真爛漫 ランカ(サイン入り),MF/S13-026SP,"9,980 円",remaining:×
0,パイロットのプライド アルト(サイン入り),MF/S13-055SP,"1,980 円",remaining:×
0,いつもの笑顔 クラン(サイン入り),MF/S13-082SP,"2,480 円",remaining:×
0,“ピンキーナース”シェリル,MF/S13-004R,500 円,remaining:×
0,“恋はドッグファイト”ランカ,MF/S13-028R,420 円,remaining:×
0,本物の空を求めるアルト,MF/S13-051R,500 円,remaining:1pcs
0,マイクローン化 クラン,MF/S13-077R,980 円,remaining:1pcs
0,“白うさぎ”シェリル,MF/S13-005S,500 円,remaining:×
0,美しき小悪魔 シェリル,MF/S13-006S,180 円,remaining:×
0,“歌は祈命”シェリル,MF/S13-007S,780 円,remaining:×
0,“歌は魔法” ランカ,MF/S13-027S,"1,480 円",remaining:×
0,恋のライバル ランカ&シェリル,MF/S13-029S,220 円,remaining:×
0,清純派セーラー服 ランカ,MF/S13-032S,180 円,remaining:×
0,マクロス・クォーター強攻型,MF/S13-056S,180 円,remaining:1pcs
0,LOVELY BOMBER クラン,MF/S13-076S,220 円,remaining:2pcs
0,“黒うさぎ”シェリル,MF/S13-001,320 円,remaining:2pcs
0,幼い日の決意 シェリル,MF/S13-002,180 円,remaining:×
0,天真爛漫 ランカ,MF/S13-026,180 円,remaining:◯
0,“歌は魔法” ランカ,MF/S13-027,500 円,remaining:×
0,本物の空を求めるアルト,MF/S13-051,180 円,remaining:×
0,歌を届ける使命 アルト,MF/S13-052,180 円,remaining:8pcs
0,LOVELY BOMBER クラン,MF/S13-076,180 円,remaining:◯
0,マイクローン化 クラン,MF/S13-077,320 円,remaining:◯
0,最期の願い グレイス,MF/S13-003,120 円,remaining:◯
0,“ピンキーナース”シェリル,MF/S13-004,120 円,remaining:×
0,“白うさぎ”シェリル,MF/S13-005,180 円,remaining:×
0,美しき小悪魔 シェリル,MF/S13-006,80 円,remaining:2pcs
0,“歌は祈命”シェリル,MF/S13-007,180 円,remaining:×
0,“恋はドッグファイト”ランカ,MF/S13-028,120 円,remaining:×
0,恋のライバル ランカ&シェリル,MF/S13-029,120 円,remaining:5pcs
0,無事を祈るランカ&アルト,MF/S13-030,120 円,remaining:×
0,アルトの背中を押すランカ,MF/S13-031,120 円,remaining:1pcs
0,清純派セーラー服 ランカ,MF/S13-032,80 円,remaining:◯
0,至近距離 アルト&ランカ,MF/S13-053,80 円,remaining:2pcs
0,バジュラから逃げるアルト&シェリル,MF/S13-054,80 円,remaining:8pcs
0,パイロットのプライド アルト,MF/S13-055,80 円,remaining:7pcs
0,マクロス・クォーター強攻型,MF/S13-056,80 円,remaining:6pcs
0,三角関係 アルト,MF/S13-057R,180 円,remaining:9pcs
0,三角関係 アルト,MF/S13-057S,180 円,remaining:8pcs
0,優しく見守るクラン,MF/S13-078,120 円,remaining:◯
0,ルカ・アンジェローニ,MF/S13-079,80 円,remaining:◯
0,悲しみに暮れるクラン,MF/S13-080,120 円,remaining:10pcs
0,命懸けで守りたいもの オズマ,MF/S13-081,120 円,remaining:◯
0,いつもの笑顔 クラン,MF/S13-082,120 円,remaining:◯
0,グレイス・オコナー,MF/S13-008,50 円,remaining:◯
0,真夏のビーチ シェリル&ランカ,MF/S13-009,120 円,remaining:×
0,VF-27ルシファー(ブレラ機),MF/S13-010,50 円,remaining:◯
0,銀河の妖精 シェリル・ノーム,MF/S13-011,50 円,remaining:7pcs
0,“ダイアモンド クレバス”シェリル,MF/S13-012,50 円,remaining:◯
0,燃え尽くした命,MF/S13-021,50 円,remaining:×
0,SHERYL ARREST,MF/S13-022,50 円,remaining:3pcs
0,松浦 ナナセ,MF/S13-033,50 円,remaining:×
0,バジュラ(大),MF/S13-034,180 円,remaining:7pcs
0,歌姫に憧れる少女 ランカ,MF/S13-035,80 円,remaining:×
0,バジュラ・クィーン,MF/S13-036,50 円,remaining:◯
0,開拓重機 ランカ,MF/S13-037,220 円,remaining:×
0,救出されるランカ,MF/S13-046,50 円,remaining:×
0,謎のスカウトマン,MF/S13-047,50 円,remaining:◯
0,ゴスロリ女装 アルト,MF/S13-058,120 円,remaining:×
0,カナリア・ベルシュタイン,MF/S13-059,180 円,remaining:2pcs
0,ジェフリー・ワイルダー,MF/S13-060,50 円,remaining:◯
0,VB-6ケーニッヒモンスター(カナリア機),MF/S13-061,50 円,remaining:×
0,トライアングラーの結末 アルト,MF/S13-062,120 円,remaining:2pcs
0,アルカトラズからの脱獄,MF/S13-071,50 円,remaining:×
0,バジュラとの共生へ,MF/S13-072,180 円,remaining:1pcs
0,ミハエル・ブラン,MF/S13-083,50 円,remaining:◯
0,チャーシュー横どり クラン,MF/S13-084,50 円,remaining:8pcs
0,マヤン島のクラン,MF/S13-085,50 円,remaining:◯
0,VF-25Gメサイア(ミハエル機),MF/S13-086,50 円,remaining:5pcs
0,コックピットのルカ,MF/S13-087,50 円,remaining:◯
0,娘娘ラーメン,MF/S13-096,50 円,remaining:×
0,三島の陰謀,MF/S13-097,50 円,remaining:×
0,ミッションコード“銀河の妖精”シェリル,MF/S13-013,30 円,remaining:◯
0,アルトのお見舞い シェリル,MF/S13-014,30 円,remaining:×
0,ブレラ・スターン,MF/S13-015,30 円,remaining:◯
0,湖畔のシェリル,MF/S13-016,30 円,remaining:◯
0,ジャイロバイクデート シェリル&アルト,MF/S13-017,30 円,remaining:7pcs
0,“ライバルの予感”シェリル,MF/S13-018,30 円,remaining:◯
0,ラブスリンガー シェリル,MF/S13-019,30 円,remaining:9pcs
0,ランカの実兄 ブレラ,MF/S13-020,30 円,remaining:◯
0,マヤン島のランカ,MF/S13-038,30 円,remaining:◯
0,アイ君,MF/S13-039,50 円,remaining:◯
0,バジュラ(小),MF/S13-040,180 円,remaining:◯
0,スターライト納豆 ランカ,MF/S13-041,30 円,remaining:◯
0,“星間飛行”ランカ,MF/S13-042,30 円,remaining:3pcs
0,はじめてのCMソング ランカ,MF/S13-043,30 円,remaining:◯
0,超時空シンデレラ ランカ・リー,MF/S13-044,50 円,remaining:9pcs
0,独りのランカ,MF/S13-045,30 円,remaining:◯
0,早乙女 アルト,MF/S13-063,30 円,remaining:◯
0,マヤン島のアルト,MF/S13-064,80 円,remaining:4pcs
0,リンゴのバルキリー アルト,MF/S13-065,30 円,remaining:◯
0,想いを寄せるモニカ,MF/S13-066,30 円,remaining:◯
0,シェリルに翻弄されるアルト,MF/S13-067,30 円,remaining:◯
0,幼い女形 アルト,MF/S13-068,30 円,remaining:◯
0,ボビー・マルゴ,MF/S13-069,30 円,remaining:◯
0,YF-29デュランダル(アルト機),MF/S13-070,30 円,remaining:◯
0,キャサリン・グラス,MF/S13-088,30 円,remaining:◯
0,オズマ・リー,MF/S13-089,30 円,remaining:◯
0,ランカの義兄 オズマ,MF/S13-090,30 円,remaining:◯
0,出前の娘娘ラーメン ルカ,MF/S13-091,30 円,remaining:◯
0,レオン・三島,MF/S13-092,30 円,remaining:◯
0,LOVELY BOMBER ミシェル,MF/S13-093,30 円,remaining:◯
0,S.M.Sのアイドル小隊!? クラン,MF/S13-094,30 円,remaining:◯
0,VF-25Sメサイア(オズマ機),MF/S13-095,30 円,remaining:◯
0,ユニバーサル・バニー,MF/S13-023,120 円,remaining:◯
0,放課後オーバーフロウ,MF/S13-048,80 円,remaining:◯
0,サヨナラノツバサ,MF/S13-073,180 円,remaining:1pcs
0,ギター狙撃,MF/S13-098,80 円,remaining:◯
0,ノーザンクロス,MF/S13-024,120 円,remaining:×
0,オベリスク,MF/S13-025,30 円,remaining:◯
0,アイモ,MF/S13-049,50 円,remaining:7pcs
0,虹色 クマクマ,MF/S13-050,120 円,remaining:2pcs
0,マクロス・アタック,MF/S13-074,30 円,remaining:9pcs
0,ライオン,MF/S13-075,30 円,remaining:◯
0,奇跡の生還,MF/S13-099,30 円,remaining:◯
0,アルカトラズ慰問ライブ,MF/S13-100,30 円,remaining:◯
0,あの日のランカ,MF/S13-101,80 円,remaining:7pcs
0,おねだりバニー シェリル,MF/S13-102,50 円,remaining:9pcs
0,お忍びデート シェリル,MF/S13-103,50 円,remaining:◯
0,イツワリノウタヒメ シェリル,MF/S13-104,180 円,remaining:2pcs
0,看板娘 ランカ,MF/S13-105,50 円,remaining:◯
0,ミッションコード“銀河の妖精”シェリル,MF/S13-T01,30 円,remaining:◯
0,湖畔のシェリル,MF/S13-T02,30 円,remaining:◯
0,“ライバルの予感”シェリル,MF/S13-T03,30 円,remaining:◯
0,ラブスリンガー シェリル,MF/S13-T04,50 円,remaining:◯
0,銀河の妖精 シェリル・ノーム,MF/S13-T05,30 円,remaining:◯
0,“ダイアモンド クレバス”シェリル,MF/S13-T06,30 円,remaining:◯
0,オベリスク,MF/S13-T07,30 円,remaining:◯
0,ユニバーサル・バニー,MF/S13-T08,80 円,remaining:×
0,スターライト納豆 ランカ,MF/S13-T09,30 円,remaining:◯
0,はじめてのCMソング ランカ,MF/S13-T10,30 円,remaining:◯
0,超時空シンデレラ ランカ・リー,MF/S13-T11,50 円,remaining:1pcs
0,独りのランカ,MF/S13-T12,30 円,remaining:◯
0,救出されるランカ,MF/S13-T13,30 円,remaining:◯
0,アイモ,MF/S13-T14,50 円,remaining:2pcs
0,銀河の妖精 シェリル・ノーム(サイン入り),MF/S13-T05,"1,480 円",remaining:×
0,超時空シンデレラ ランカ・リー(サイン入り),MF/S13-T11,"1,480 円",remaining:×
0,ちびクラン,MF/S13-106,120 円,remaining:◯
0,ユニバーサル・ランカ,MF/S13-107,180 円,remaining:6pcs
0,ユニバーサル・シェリル,MF/S13-108,180 円,remaining:2pcs
0,ちびアルト,MF/S13-109,120 円,remaining:◯
0,ダイナム超合金 ランカ,MF/S13-110,180 円,remaining:×
0,エルボックス シェリル,MF/S13-111,500 円,remaining:◯
0,エルボックス ランカ,MF/S13-112,500 円,remaining:◯
0,デビューショット シェリル,MF/S13-113,180 円,remaining:×
0,射手座 シェリル,MF/S13-114,500 円,remaining:◯
0,ハートマーク ランカ,MF/S13-115,180 円,remaining:6pcs
0,思い出の歌 ランカ,MF/S13-116,120 円,remaining:◯
0,巫女装束のシェリル,MF/S13-117,180 円,remaining:×
