,card_name,card_num,price,status
0,実戦担当 阿良々木火憐(サイン入り),NM/S24-023SP,"5,980 円",remaining:×
0,“囲い火蜂”阿良々木火憐(サイン入り),NM/S24-027SP,"5,980 円",remaining:×
0,ホトトギスの少女 阿良々木月火(サイン入り),NM/S24-046SP,"9,980 円",remaining:×
0,不死の怪異 阿良々木月火(サイン入り),NM/S24-047SP,"7,980 円",remaining:×
0,月の恩恵 忍野忍,NM/S24-004R,420 円,remaining:2pcs
0,蜂を贈られた少女 阿良々木火憐,NM/S24-025R,180 円,remaining:1pcs
0,守りたい人 戦場ヶ原ひたぎ,NM/S24-026R,320 円,remaining:2pcs
0,“しでの鳥”阿良々木月火,NM/S24-049R,220 円,remaining:×
0,おまじない 千石撫子,NM/S24-001S,420 円,remaining:2pcs
0,主従関係 忍野忍,NM/S24-002S,"1,480 円",remaining:1pcs
0,“ファイヤーシスターズ”阿良々木火憐,NM/S24-021S,420 円,remaining:5pcs
0,恋人として 戦場ヶ原ひたぎ,NM/S24-022S,180 円,remaining:×
0,恩人の忠告 羽川翼,NM/S24-024S,320 円,remaining:6pcs
0,開放感 神原駿河,NM/S24-050S,120 円,remaining:×
0,栂の木二中の有名人 阿良々木月火,NM/S24-051S,420 円,remaining:×
0,いつもの別れ 八九寺真宵,NM/S24-052S,180 円,remaining:×
0,おまじない 千石撫子,NM/S24-001,180 円,remaining:◯
0,主従関係 忍野忍,NM/S24-002,580 円,remaining:◯
0,“ファイヤーシスターズ”阿良々木火憐,NM/S24-021,120 円,remaining:◯
0,恋人として 戦場ヶ原ひたぎ,NM/S24-022,120 円,remaining:◯
0,ホトトギスの少女 阿良々木月火,NM/S24-046,180 円,remaining:3pcs
0,不死の怪異 阿良々木月火,NM/S24-047,320 円,remaining:5pcs
0,戦いに赴く 阿良々木暦,NM/S24-071,120 円,remaining:◯
0,帰路 忍野忍,NM/S24-003,120 円,remaining:◯
0,月の恩恵 忍野忍,NM/S24-004,120 円,remaining:◯
0,“勇気”という言葉 八九寺真宵,NM/S24-005,80 円,remaining:◯
0,本気モード 忍野忍,NM/S24-006,80 円,remaining:◯
0,実戦担当 阿良々木火憐,NM/S24-023,120 円,remaining:◯
0,恩人の忠告 羽川翼,NM/S24-024,80 円,remaining:5pcs
0,蜂を贈られた少女 阿良々木火憐,NM/S24-025,80 円,remaining:◯
0,守りたい人 戦場ヶ原ひたぎ,NM/S24-026,120 円,remaining:◯
0,“囲い火蜂”阿良々木火憐,NM/S24-027,120 円,remaining:◯
0,過去との決別 戦場ヶ原ひたぎ,NM/S24-048,120 円,remaining:◯
0,“しでの鳥”阿良々木月火,NM/S24-049,80 円,remaining:◯
0,開放感 神原駿河,NM/S24-050,80 円,remaining:◯
0,栂の木二中の有名人 阿良々木月火,NM/S24-051,120 円,remaining:8pcs
0,いつもの別れ 八九寺真宵,NM/S24-052,80 円,remaining:10pcs
0,カチューシャ 千石撫子,NM/S24-072,80 円,remaining:◯
0,協力のため 忍野忍,NM/S24-007,80 円,remaining:◯
0,おめかし 千石撫子,NM/S24-008,50 円,remaining:◯
0,吸血鬼の貫禄 忍野忍,NM/S24-009,50 円,remaining:◯
0,影の住人 忍野忍,NM/S24-010,80 円,remaining:◯
0,お花畑の忍野忍,NM/S24-011,50 円,remaining:◯
0,一段階上の儀式,NM/S24-018,50 円,remaining:◯
0,でっかいほうの妹 阿良々木火憐,NM/S24-028,50 円,remaining:◯
0,“偽物”貝木泥舟,NM/S24-029,120 円,remaining:◯
0,鋭い勘 戦場ヶ原ひたぎ,NM/S24-030,120 円,remaining:◯
0,歯みがき中 阿良々木火憐,NM/S24-031,50 円,remaining:8pcs
0,軽い気持ち 阿良々木火憐,NM/S24-032,50 円,remaining:◯
0,花札遊び 神原駿河,NM/S24-033,50 円,remaining:◯
0,朝の光景 阿良々木火憐,NM/S24-034,80 円,remaining:◯
0,交わす約束 八九寺真宵,NM/S24-053,120 円,remaining:×
0,加速装置 神原駿河,NM/S24-054,50 円,remaining:◯
0,妹のこと 阿良々木暦,NM/S24-055,50 円,remaining:◯
0,“ファイヤーシスターズ”阿良々木月火,NM/S24-056,50 円,remaining:◯
0,参謀担当 阿良々木月火,NM/S24-057,50 円,remaining:◯
0,激情的な性格 阿良々木月火,NM/S24-058,120 円,remaining:◯
0,お約束,NM/S24-066,50 円,remaining:◯
0,妹たちの助け人 羽川翼,NM/S24-073,50 円,remaining:◯
0,憑喪神 斧乃木余接,NM/S24-074,50 円,remaining:◯
0,敗者の強がり,NM/S24-079,50 円,remaining:◯
0,突然の襲撃 阿良々木暦,NM/S24-012,30 円,remaining:◯
0,影の中の忍野忍,NM/S24-013,30 円,remaining:◯
0,初めての来客 千石撫子,NM/S24-014,30 円,remaining:◯
0,機嫌の良い 忍野忍,NM/S24-015,30 円,remaining:◯
0,金髪金眼 忍野忍,NM/S24-016,30 円,remaining:◯
0,はにかむ八九寺真宵,NM/S24-017,30 円,remaining:◯
0,家庭教師 羽川翼,NM/S24-035,30 円,remaining:◯
0,兄の誇り 阿良々木暦,NM/S24-036,30 円,remaining:◯
0,栂の木二中の有名人 阿良々木火憐,NM/S24-037,30 円,remaining:◯
0,“正義とは”阿良々木火憐,NM/S24-038,30 円,remaining:◯
0,家族の絆 阿良々木火憐,NM/S24-039,30 円,remaining:◯
