,card_name,card_num,price,status
0,龍騎招来,NS/W04-024SP,420 円,remaining:×
0,ディバインバスター,NS/W04-049SP,420 円,remaining:×
0,スターライトブレイカー,NS/W04-073SP,680 円,remaining:×
0,フレースヴェルグ,NS/W04-098SP,500 円,remaining:×
0,なのは&フェイト,NS/W04-006R,420 円,remaining:×
0,スバル&ティアナ,NS/W04-036R,420 円,remaining:×
0,“エース・オブ・エース”なのは,NS/W04-052R,500 円,remaining:×
0,“最後の夜天の主”はやて,NS/W04-081R,220 円,remaining:×
0,キャロ・ル・ルシエ,NS/W04-001S,180 円,remaining:5pcs
0,“真ソニックフォーム”フェイト,NS/W04-002S,180 円,remaining:×
0,センターガード ティアナ,NS/W04-026S,180 円,remaining:1pcs
0,フロントアタッカー スバル,NS/W04-027S,180 円,remaining:2pcs
0,ヴィヴィオ,NS/W04-051S,180 円,remaining:×
0,鉄槌の騎士ヴィータ,NS/W04-056S,320 円,remaining:1pcs
0,“祝福の風”リインフォースII,NS/W04-076S,180 円,remaining:5pcs
0,はやて&リイン,NS/W04-077S,180 円,remaining:5pcs
0,キャロ・ル・ルシエ,NS/W04-001,120 円,remaining:◯
0,“真ソニックフォーム”フェイト,NS/W04-002,120 円,remaining:◯
0,センターガード ティアナ,NS/W04-026,120 円,remaining:◯
0,フロントアタッカー スバル,NS/W04-027,120 円,remaining:◯
0,ヴィヴィオ,NS/W04-051,120 円,remaining:◯
0,“エース・オブ・エース”なのは,NS/W04-052,120 円,remaining:◯
0,“祝福の風”リインフォースII,NS/W04-076,120 円,remaining:◯
0,はやて&リイン,NS/W04-077,120 円,remaining:◯
0,槍騎士見習いエリオ,NS/W04-003,80 円,remaining:◯
0,竜召喚士キャロ,NS/W04-004,120 円,remaining:◯
0,キャロ&フリードリヒ,NS/W04-005,120 円,remaining:◯
0,なのは&フェイト,NS/W04-006,80 円,remaining:◯
0,早朝訓練,NS/W04-019,120 円,remaining:◯
0,スバル・ナカジマ,NS/W04-028,80 円,remaining:◯
0,ルーテシア・アルピーノ,NS/W04-029,80 円,remaining:◯
0,スカリエッティの秘書ウーノ,NS/W04-030,80 円,remaining:◯
0,ギンガ・ナカジマ,NS/W04-031,80 円,remaining:◯
0,ひとりぼっちはいやだ!,NS/W04-044,80 円,remaining:◯
0,高町 ヴィヴィオ,NS/W04-053,120 円,remaining:10pcs
0,幻惑の使い手クアットロ,NS/W04-054,120 円,remaining:◯
0,次元犯罪者スカリエッティ,NS/W04-055,80 円,remaining:◯
0,鉄槌の騎士ヴィータ,NS/W04-056,120 円,remaining:◯
0,WAS,NS/W04-069,120 円,remaining:◯
0,風の癒し手シャマル,NS/W04-078,80 円,remaining:◯
0,カリム・グラシア(エラッタ前),NS/W04-079,120 円,remaining:◯
0,カリム・グラシア(エラッタ後),NS/W04-079,120 円,remaining:6pcs
0,守護騎士シャマル&守護獣ザフィーラ,NS/W04-080,180 円,remaining:◯
0,“最後の夜天の主”はやて,NS/W04-081,120 円,remaining:◯
0,協力してくれへんかな?,NS/W04-094,120 円,remaining:◯
0,使い魔アルフ,NS/W04-007,80 円,remaining:◯
0,エリオ・モンディアル,NS/W04-008,50 円,remaining:◯
0,金の閃光フェイト,NS/W04-009,50 円,remaining:◯
0,烈火の将シグナム,NS/W04-010,50 円,remaining:◯
0,キャロ&ヴォルテール,NS/W04-011,80 円,remaining:◯
0,Fの遺産,NS/W04-020,120 円,remaining:◯
0,ちょっと一工夫してまして,NS/W04-021,50 円,remaining:◯
0,ゲンヤ・ナカジマ,NS/W04-032,80 円,remaining:◯
0,刃舞う爆撃手チンク,NS/W04-033,50 円,remaining:◯
0,無限書庫司書長ユーノ,NS/W04-034,80 円,remaining:◯
0,なのは&スバル,NS/W04-035,50 円,remaining:◯
0,スバル&ティアナ,NS/W04-036,50 円,remaining:◯
0,勝手にすれば?,NS/W04-045,50 円,remaining:◯
0,ウィングロード,NS/W04-046,80 円,remaining:◯
0,戦闘教官ヴィータ,NS/W04-057,120 円,remaining:◯
0,烈火の剣精アギト,NS/W04-058,50 円,remaining:◯
0,放浪の騎士ゼスト,NS/W04-059,50 円,remaining:◯
0,高町 なのは,NS/W04-060,50 円,remaining:◯
0,聖王ヴィヴィオ,NS/W04-061,80 円,remaining:◯
0,シルバーカーテン,NS/W04-070,50 円,remaining:◯
0,ユニゾンイン,NS/W04-071,50 円,remaining:◯
0,メカニックデザイナー シャリオ,NS/W04-082,80 円,remaining:◯
0,通信士 アルト&ルキノ,NS/W04-083,50 円,remaining:◯
0,リインフォースII,NS/W04-084,50 円,remaining:◯
0,猛き守護獣ザフィーラ,NS/W04-085,80 円,remaining:◯
0,ヴェロッサ&シャッハ,NS/W04-086,50 円,remaining:◯
0,アルトの誓い,NS/W04-095,50 円,remaining:◯
0,守るべきもの,NS/W04-096,420 円,remaining:◯
0,二児の母エイミィ,NS/W04-012,30 円,remaining:◯
0,フェイト&アルフ,NS/W04-013,50 円,remaining:◯
0,副隊長シグナム,NS/W04-014,30 円,remaining:◯
0,総務統括官リンディ,NS/W04-015,30 円,remaining:◯
0,クラウディア艦長クロノ,NS/W04-016,30 円,remaining:◯
0,シグナム&リイン,NS/W04-017,30 円,remaining:◯
0,エリオ&キャロ,NS/W04-018,30 円,remaining:◯
0,着地失敗,NS/W04-022,30 円,remaining:◯
0,メカニックマイスター マリエル,NS/W04-037,30 円,remaining:◯
0,ティアナ・ランスター,NS/W04-038,30 円,remaining:◯
0,狙撃する砲撃手ディエチ,NS/W04-039,30 円,remaining:◯
0,オットー&ディード,NS/W04-040,30 円,remaining:◯
0,キャリバーズ スバル&ギンガ,NS/W04-041,30 円,remaining:◯
0,ルーテシア&白天王,NS/W04-042,30 円,remaining:◯
0,ノーヴェ&ウェンディ,NS/W04-043,30 円,remaining:◯
0,『練習通りです』,NS/W04-047,30 円,remaining:◯
0,姿偽る諜報者ドゥーエ,NS/W04-062,30 円,remaining:◯
0,潜行する密偵セイン,NS/W04-063,30 円,remaining:◯
0,戦技教導官なのは,NS/W04-064,30 円,remaining:◯
0,トーレ&セッテ,NS/W04-065,30 円,remaining:◯
0,なのは&ヴィヴィオ,NS/W04-066,30 円,remaining:◯
0,なのは&ヴィータ,NS/W04-067,30 円,remaining:◯
0,ゼスト・グランガイツ,NS/W04-068,30 円,remaining:◯
0,ママ、いい子,NS/W04-072,50 円,remaining:◯
0,ラグナ・グランセニック,NS/W04-087,30 円,remaining:◯
0,八神 はやて,NS/W04-088,50 円,remaining:◯
0,グリフィス・ロウラン,NS/W04-089,30 円,remaining:◯
0,狙撃手ヴァイス,NS/W04-090,30 円,remaining:◯
0,査察官ヴェロッサ,NS/W04-091,30 円,remaining:◯
0,シャッハ・ヌエラ,NS/W04-092,30 円,remaining:◯
0,修道女シャッハ,NS/W04-093,30 円,remaining:◯
0,預言者の著書,NS/W04-097,30 円,remaining:◯
0,迷いが晴れた時,NS/W04-023,80 円,remaining:◯
0,最後の模擬戦,NS/W04-048,50 円,remaining:◯
0,スターライトブレイカー,NS/W04-073,80 円,remaining:9pcs
0,フレースヴェルグ,NS/W04-098,80 円,remaining:◯
0,龍騎招来,NS/W04-024,30 円,remaining:◯
0,火龍・一閃!!,NS/W04-025,30 円,remaining:◯
0,ディバインバスター,NS/W04-049,30 円,remaining:◯
0,助けに来ました!,NS/W04-050,30 円,remaining:◯
0,ぶち抜けー!,NS/W04-074,50 円,remaining:◯
0,ママと約束ね,NS/W04-075,30 円,remaining:◯
0,砕けないものなんて,NS/W04-099,30 円,remaining:◯
0,限定解除,NS/W04-100,30 円,remaining:◯
