,card_name,card_num,price,status
0,鬼召集!,VA/W30-55,780 円,remaining:◯
0,あくのぐんだん! ドン様,AG/SPR-P01,120 円,remaining:◯
0,奈々菜パル子役 徳井青空,BF/SPR-P01,120 円,remaining:1pcs
0,“PRINNY CLUB 看板娘”プリンちゃん(サイン入り),DG/SPR-P01,980 円,remaining:×
0,カードゲーム大好き! しよ子,SI/WPR-001,220 円,remaining:×
0,応援しよ子,SI/WPR-002,980 円,remaining:◯
0,放課後のしよ子,SI/WPR-003,420 円,remaining:×
0,しろくろフェス しよ子,SI/WPR-004,"12,800 円",remaining:4pcs
0,しろくろフェス しよ子 2014,SI/WPR-005,220 円,remaining:1pcs
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005A,"3,980 円",remaining:×
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005B,"2,980 円",remaining:×
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005C,"2,480 円",remaining:×
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005D,"2,480 円",remaining:×
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005E,"1,980 円",remaining:2pcs
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005F,"1,980 円",remaining:1pcs
0,しろくろフェス しよ子 2014(箔押し入り),SI/WPR-005G,"1,980 円",remaining:×
0,しろくろフェス しよ子 2015,SI/WPR-006,680 円,remaining:1pcs
0,しろくろフェス しよ子 2015(箔押し入り),SI/WPR-006A,"1,980 円",remaining:×
0,しろくろフェス しよ子 2015(箔押し入り),SI/WPR-006B,"2,980 円",remaining:×
0,カードゲーム大好きマンの娘 しよ子,SI/WPR-007,420 円,remaining:3pcs
0,熊狩りしよ子,SI/WPR-008,320 円,remaining:◯
0,vavaしゃちょー,VA/WPR-P01,320 円,remaining:◯
0,vavaしゃちょー(ホロ),VA/WPR-P01,420 円,remaining:1pcs
0,“金髪ツンデレ好き”樋上いたる,VA/WPR-P02,180 円,remaining:7pcs
0,“金髪ツンデレ好き”樋上いたる(ホロ),VA/WPR-P02,220 円,remaining:×
0,“殺伐”の麻枝准,VA/WPR-P03,180 円,remaining:×
0,“殺伐”の麻枝准(ホロ),VA/WPR-P03,220 円,remaining:×
0,“JFK”折戸伸治,VA/WPR-P04,180 円,remaining:◯
0,“JFK”折戸伸治(ホロ),VA/WPR-P04,220 円,remaining:10pcs
0,“炎のグラフィッカー”Na-Ga,VA/WPR-P05,180 円,remaining:9pcs
0,“炎のグラフィッカー”Na-Ga(ホロ),VA/WPR-P05,220 円,remaining:4pcs
0,“50cc・ライダー”都乃河勇人,VA/WPR-P06,180 円,remaining:7pcs
0,“50cc・ライダー”都乃河勇人(ホロ),VA/WPR-P06,220 円,remaining:×
0,“お腹がすいたら干し梅”しのり〜,VA/WPR-P07,180 円,remaining:8pcs
0,“デバッグ大好き”yonie,VA/WPR-P08,180 円,remaining:◯
0,“鳥が好き”餅介,VA/WPR-P09,220 円,remaining:9pcs
0,“最弱の実力を持つ”yucchi,VA/WPR-P10,320 円,remaining:7pcs
0,“高レベル雑用”藤井知貴,VA/WPR-P11,180 円,remaining:1pcs
0,“エグゼクティブ・クド公”編集長,VA/WPR-P12,180 円,remaining:◯
0,“七つの傷を持つ男”魁,VA/WPR-P13,180 円,remaining:◯
0,“ピンクパンダー”丘野塔也,VA/WPR-P14,180 円,remaining:◯
0,“だいたい荒ぶってる”恋泉天音,VA/WPR-P15,220 円,remaining:2pcs
0,“シャレオツ業界人()”どんまる,VA/WPR-P16,120 円,remaining:◯
0,“無類のL好き”池パン,VA/WPR-P17,120 円,remaining:◯
0,“近距離パワー型”兎塚エイジ,VA/WPR-P18,120 円,remaining:9pcs
0,“草食系動物”伊倉ナギサ,VA/WPR-P19,180 円,remaining:3pcs
0,“ダブルフェイス”せなかさん,VA/WPR-P20,220 円,remaining:×
0,“雑用王”D坂本,VA/WPR-P21,120 円,remaining:◯
0,“カスケーディングスタイル”しばP,VA/WPR-P22,180 円,remaining:◯
0,“オヤヂ魂”たまち露,VA/WPR-P23,180 円,remaining:◯
0,“笑顔の押し売り”竹下智博,VA/WPR-P24,180 円,remaining:6pcs
0,“きまぐれスナイパー”鳴瀬静,VA/WPR-P25,320 円,remaining:8pcs
0,“万年化粧品貧乏”なかおよしえ,VA/WPR-P26,180 円,remaining:9pcs
0,“voix”西邑在処,VA/WPR-P27,120 円,remaining:◯
0,君と奏でる明日へのうた,VA/WPR-P28,320 円,remaining:◯
0,鬼召集!,VA/WPR-P29,320 円,remaining:◯
0,差し入れきましたっ!,VA/WPR-P30,180 円,remaining:◯
0,“七変化・歌使いのドワーフ”KOTOKO,VA/WPR-P31,"1,280 円",remaining:3pcs
0,“Top of the あげまん”島みやえい子,VA/WPR-P32,"1,280 円",remaining:◯
0,“情熱＝クール・ビューティー”川田まみ,VA/WPR-P33,"1,280 円",remaining:◯
0,“天使と毒舌小悪魔”詩月カオリ,VA/WPR-P34,"1,280 円",remaining:10pcs
0,“クリスタルヴォイスの歌姫”Lia,VA/WPR-P35,"1,480 円",remaining:3pcs
0,“SMiLE”LiSA,VA/WPR-P36,"1,280 円",remaining:1pcs
0,“エンディングの女王”多田葵,VA/WPR-P37,"1,280 円",remaining:5pcs
0,“着ぐるみ幻想”鈴田美夜子,VA/WPR-P38,"1,980 円",remaining:2pcs
0,先導 アイチ,VG/SPR-001,120 円,remaining:10pcs
0,スタンドアップ!,VG/SPR-002,320 円,remaining:1pcs
0,雀ヶ森 レン,VG/SPR-003,500 円,remaining:1pcs
0,ほんわか全開幼なじみ 涼花,WS/PSP-P01,120 円,remaining:1pcs
0,安城トコハ役 新田恵海,WS/SPR-004,120 円,remaining:8pcs
0,戸倉ミサキ役 橘田いずみ,WS/SPR-005,120 円,remaining:3pcs
0,『Love』愛美,WS/SPR-P01,"24,800 円",remaining:×
0,愛美,WS/SPR-P02,"1,480 円",remaining:◯
0,“私服でお出かけ”三森すずこ,WS/SPR-P03,220 円,remaining:×
0,爆騰!!,WS/SPR-P04,"4,980 円",remaining:◯
0,BUSHIROAD EXPO 2023 -ASIA-,WS/SPR-P05,"1,980 円",remaining:×
0,学園のアイドルミチ,WS/TBS-001,320 円,remaining:×
0,選ばれし戦士 タケシ,WS/TBS-002,780 円,remaining:×
0,平成巨乳娘 しずる,WS/TBS-003,180 円,remaining:◯
0,笑顔満開 えみつん,WS/WPR-P01,180 円,remaining:1pcs
0,えみゅーじっく♪,WS/WPR-P02,"5,980 円",remaining:×
0,“ぷよと一緒”凛,WS/WPR-P03,220 円,remaining:◯
0,つなぐメロディー 新田恵海,WS/WPR-P04,420 円,remaining:2pcs
0,ちょこたん,WS/WPR-P05,"24,800 円",remaining:1pcs
0,一緒に頑張ろう!! 尾崎由香,WS/WPR-P06,320 円,remaining:10pcs
0,一緒に頑張ろう!! 愛美,WS/WPR-P07,420 円,remaining:5pcs
0,2020年も頑張ろう! 愛美,WS/WPR-P08,320 円,remaining:8pcs
0,Happy 13th Anniversary !!,WS/WSPR-P01,500 円,remaining:◯
0,Happy 14th Anniversary !!,WS/WSPR-P02,780 円,remaining:◯
0,Happy 14th Anniversary !!(箔押し入り),WS/WSPR-P02S,"99,800 円",remaining:×
0,Happy 15th Anniversary !! [桜],WS/WSPR-P03,500 円,remaining:×
0,Happy 15th Anniversary !! [Spring],WS/WSPR-P04,780 円,remaining:◯
0,Happy 15th Anniversary !! [愛],WS/WSPR-P05,320 円,remaining:◯
0,Happy 15th Anniversary !! [愛](箔押し入り),WS/WSPR-P05S,"1,980 円",remaining:×
