,card_name,card_num,price,status
0,《閃光》のアスナ(サイン入り),SAO/S20-002SP,"19,800 円",remaining:×
0,頼りになる案内役 リーファ(サイン入り),SAO/S20-028SP,"4,980 円",remaining:×
0,まっすぐな信頼 シリカ(サイン入り),SAO/S20-051SP,"3,480 円",remaining:×
0,決意の告白 リズベット(サイン入り),SAO/S20-053SP,"2,980 円",remaining:×
0,人工知能 ユイ(サイン入り),SAO/S20-081SP,"3,980 円",remaining:×
0,《攻略組》アスナ(サイン入り),SAO/S20-101SP,"9,980 円",remaining:×
0,まどろむアスナ,SAO/S20-006R,"1,280 円",remaining:×
0,凛とした強さ アスナ,SAO/S20-007R,780 円,remaining:1pcs
0,魔法剣士 リーファ,SAO/S20-026R,500 円,remaining:×
0,純粋な願い リーファ,SAO/S20-027R,980 円,remaining:×
0,妹のような存在 シリカ,SAO/S20-047R,420 円,remaining:2pcs
0,かわいい悪戯 シリカ,SAO/S20-059R,420 円,remaining:×
0,《黒の剣士》キリト,SAO/S20-077R,780 円,remaining:2pcs
0,戦場に身を置くキリト,SAO/S20-079R,420 円,remaining:×
0,戦いのはじまり アスナ,SAO/S20-T02R,"4,980 円",remaining:×
0,戦いのはじまり キリト,SAO/S20-T07R,980 円,remaining:1pcs
0,パーティーの誘い アスナ,SAO/S20-001S,320 円,remaining:×
0,ソファに横たわるアスナ,SAO/S20-003S,"4,980 円",remaining:×
0,揺れる気持ち 直葉,SAO/S20-029S,320 円,remaining:×
0,《シルフ》の少女 リーファ,SAO/S20-030S,220 円,remaining:×
0,《フラワーガーデン》のシリカ,SAO/S20-049S,120 円,remaining:×
0,着替え中のリズベット,SAO/S20-052S,220 円,remaining:×
0,謎の少女 ユイ,SAO/S20-076S,120 円,remaining:×
0,大切な人のために キリト,SAO/S20-080S,120 円,remaining:1pcs
0,キリト&アスナ,SAO/S20-104S,120 円,remaining:×
0,パーティーの誘い アスナ,SAO/S20-001,120 円,remaining:5pcs
0,《閃光》のアスナ,SAO/S20-002,120 円,remaining:2pcs
0,魔法剣士 リーファ,SAO/S20-026,120 円,remaining:×
0,純粋な願い リーファ,SAO/S20-027,180 円,remaining:1pcs
0,探し続けたもの リズベット,SAO/S20-046,120 円,remaining:9pcs
0,妹のような存在 シリカ,SAO/S20-047,120 円,remaining:7pcs
0,謎の少女 ユイ,SAO/S20-076,120 円,remaining:3pcs
0,《黒の剣士》キリト,SAO/S20-077,120 円,remaining:6pcs
0,ソファに横たわる アスナ,SAO/S20-003,80 円,remaining:6pcs
0,囚われの女王 アスナ,SAO/S20-004,80 円,remaining:6pcs
0,着替え中のアスナ,SAO/S20-005,80 円,remaining:1pcs
0,まどろむアスナ,SAO/S20-006,80 円,remaining:8pcs
0,凛とした強さ アスナ,SAO/S20-007,120 円,remaining:◯
0,頼りになる案内役 リーファ,SAO/S20-028,80 円,remaining:◯
0,揺れる気持ち 直葉,SAO/S20-029,80 円,remaining:◯
0,《シルフ》の少女 リーファ,SAO/S20-030,80 円,remaining:◯
0,制服の直葉,SAO/S20-031,80 円,remaining:◯
0,親友を祝福するリズベット,SAO/S20-048,80 円,remaining:◯
