,card_name,card_num,price,status
0,恐怖の克服 アスナ(サイン入り),SAO/S51-003SP,"19,800 円",remaining:×
0,兄想いな妹 リーファ(サイン入り),SAO/S51-021SP,"5,980 円",remaining:2pcs
0,≪歌姫≫ユナ(サイン入り),SAO/S51-022SP,"14,800 円",remaining:×
0,折れない意思 リズベット(サイン入り),SAO/S51-051SP,"2,480 円",remaining:×
0,“連携攻撃”シリカ(サイン入り),SAO/S51-052SP,"5,980 円",remaining:×
0,“本気になる時”キリト(サイン入り),SAO/S51-071SP,"4,980 円",remaining:×
0,“連携攻撃”シノン(サイン入り),SAO/S51-072SP,"7,980 円",remaining:×
0,元気いっぱい ユイ(サイン入り),SAO/S51-079SP,"2,980 円",remaining:×
0,《マザーズ・ロザリオ》,SAO/S51-019R,500 円,remaining:×
0,年季入りのパーティプレイ,SAO/S51-069R,320 円,remaining:3pcs
0,非道な罠,SAO/S51-070R,780 円,remaining:3pcs
0,≪黒の剣士≫再び,SAO/S51-097R,320 円,remaining:8pcs
0,オン・ステージ アスナ,SAO/S51-001S,500 円,remaining:×
0,流星の約束 アスナ,SAO/S51-002S,680 円,remaining:8pcs
0,水着の直葉,SAO/S51-024S,"3,980 円",remaining:3pcs
0,不在の歯がゆさ リーファ,SAO/S51-028S,320 円,remaining:9pcs
0,オン・ステージ シリカ,SAO/S51-053S,680 円,remaining:◯
0,さっぱりとした性格 リズベット,SAO/S51-054S,180 円,remaining:4pcs
0,“連携攻撃”リズベット,SAO/S51-057S,320 円,remaining:5pcs
0,“連携攻撃”キリト,SAO/S51-073S,220 円,remaining:2pcs
0,頼れる助っ人 シノン,SAO/S51-076S,320 円,remaining:×
0,ARでの戦い キリト,SAO/S51-077S,220 円,remaining:1pcs
0,オン・ステージ アスナ,SAO/S51-001,320 円,remaining:◯
0,流星の約束 アスナ,SAO/S51-002,320 円,remaining:◯
0,恐怖の克服 アスナ,SAO/S51-003,420 円,remaining:×
0,兄想いな妹 リーファ,SAO/S51-021,780 円,remaining:◯
0,《歌姫》ユナ,SAO/S51-022,420 円,remaining:◯
0,折れない意思 リズベット,SAO/S51-051,120 円,remaining:5pcs
0,“連携攻撃”シリカ,SAO/S51-052,500 円,remaining:◯
0,“本気になる時”キリト,SAO/S51-071,980 円,remaining:◯
0,“連携攻撃”シノン,SAO/S51-072,220 円,remaining:◯
0,“連携攻撃”キリト,SAO/S51-073,120 円,remaining:3pcs
0,公園デート 明日奈,SAO/S51-004,80 円,remaining:◯
0,キリトの恋人 アスナ,SAO/S51-005,120 円,remaining:◯
0,おやつタイム 明日奈,SAO/S51-006,120 円,remaining:◯
0,《閃光》アスナ&《黒の剣士》キリト,SAO/S51-007,80 円,remaining:◯
0,剣道合宿 直葉,SAO/S51-023,120 円,remaining:◯
0,水着の直葉,SAO/S51-024,120 円,remaining:◯
0,“ARアイドル”ユナ,SAO/S51-025,80 円,remaining:◯
0,意味深な言動 ユナ,SAO/S51-026,80 円,remaining:◯
0,誘いの挑発 エイジ,SAO/S51-027,80 円,remaining:◯
0,不在の歯がゆさ リーファ,SAO/S51-028,120 円,remaining:◯
0,盾による対抗,SAO/S51-044,"1,480 円",remaining:◯
0,オン・ステージ シリカ,SAO/S51-053,180 円,remaining:◯
0,さっぱりとした性格 リズベット,SAO/S51-054,80 円,remaining:◯
0,にぎやかな放課後 里香,SAO/S51-055,80 円,remaining:◯
0,身構えるシリカ,SAO/S51-056,420 円,remaining:◯
0,“連携攻撃”リズベット,SAO/S51-057,120 円,remaining:◯
0,半信半疑 シノン,SAO/S51-074,120 円,remaining:◯
0,《SAO生還者》明日奈&和人,SAO/S51-075,80 円,remaining:◯
0,頼れる助っ人 シノン,SAO/S51-076,120 円,remaining:◯
0,ARでの戦い キリト,SAO/S51-077,120 円,remaining:◯
0,願ってもない援護 ユイ,SAO/S51-078,80 円,remaining:◯
0,元気いっぱい ユイ,SAO/S51-079,120 円,remaining:◯
0,“連携攻撃”アスナ,SAO/S51-008,50 円,remaining:◯
0,待ち遠しい約束の日 アスナ,SAO/S51-009,50 円,remaining:◯
0,約束を胸に アスナ&キリト,SAO/S51-010,50 円,remaining:◯
0,今日のMVP アスナ,SAO/S51-011,120 円,remaining:◯
0,不意の呟き,SAO/S51-018,50 円,remaining:◯
0,瞬刻の身ごなし エイジ,SAO/S51-029,50 円,remaining:◯
0,記憶の欠片 ユナ,SAO/S51-030,50 円,remaining:◯
0,自信に満ちた横顔 エイジ,SAO/S51-031,50 円,remaining:◯
0,《血盟騎士団》ノーチラス,SAO/S51-032,50 円,remaining:◯
0,《オーグマー》開発者 重村,SAO/S51-033,120 円,remaining:◯
0,スペシャルステージ ユナ,SAO/S51-034,50 円,remaining:◯
0,《An Incarnate of the Radius》,SAO/S51-035,50 円,remaining:◯
0,オーディナル・スケール,SAO/S51-045,80 円,remaining:◯
0,SAO事件記録全集,SAO/S51-046,50 円,remaining:◯
0,危機一髪 シリカ,SAO/S51-058,120 円,remaining:◯
0,反撃の狼煙 リズベット,SAO/S51-059,120 円,remaining:◯
0,弾む切込み シリカ,SAO/S51-060,80 円,remaining:◯
0,歌ってご機嫌,SAO/S51-067,50 円,remaining:◯
0,かつての強敵,SAO/S51-068,50 円,remaining:◯
0,アスナの恋人 キリト,SAO/S51-080,50 円,remaining:◯
0,ARに馴染めない和人,SAO/S51-081,120 円,remaining:◯
0,デレデレなクライン,SAO/S51-082,50 円,remaining:◯
0,おやつタイム ユイ,SAO/S51-083,50 円,remaining:◯
0,“連携攻撃”エギル,SAO/S51-084,50 円,remaining:◯
0,データ収集 ユイ,SAO/S51-085,50 円,remaining:◯
0,寄り添う二人 和人&明日奈,SAO/S51-086,50 円,remaining:◯
0,調査の報告,SAO/S51-095,50 円,remaining:◯
0,オーディナル・ナンバー1,SAO/S51-096,50 円,remaining:◯
0,魅惑の渚 アスナ,SAO/S51-012,30 円,remaining:◯
0,ボスバトルに挑戦 アスナ,SAO/S51-013,30 円,remaining:◯
0,大切な習慣 明日奈,SAO/S51-014,30 円,remaining:◯
0,疾風の刺突 アスナ,SAO/S51-015,30 円,remaining:◯
0,戦闘準備 アスナ,SAO/S51-016,30 円,remaining:◯
0,“天才ゲームデザイナー”茅場,SAO/S51-017,30 円,remaining:◯
0,謎の青年剣士 エイジ,SAO/S51-036,30 円,remaining:◯
0,一人の乾杯 鋭二,SAO/S51-037,30 円,remaining:◯
0,歌が好き ユナ,SAO/S51-038,30 円,remaining:◯
0,大歓声の中 ユナ,SAO/S51-039,30 円,remaining:◯
0,東都工業大学教授 重村,SAO/S51-040,80 円,remaining:◯
0,守りたかった笑顔 ユナ,SAO/S51-041,30 円,remaining:◯
0,魔法攻撃 リーファ,SAO/S51-042,30 円,remaining:◯
0,しっかり者の妹 リーファ,SAO/S51-043,30 円,remaining:◯
0,ボスバトルに挑戦 リズベット,SAO/S51-061,30 円,remaining:◯
0,あきれ顔の珪子,SAO/S51-062,30 円,remaining:◯
0,嬉し気な仕草 シリカ,SAO/S51-063,30 円,remaining:◯
0,ボスバトルに挑戦 シリカ,SAO/S51-064,30 円,remaining:◯
0,あきれ顔の里香,SAO/S51-065,30 円,remaining:◯
0,乗り気なリズベット,SAO/S51-066,120 円,remaining:◯
0,苦戦に滲む汗 エギル,SAO/S51-087,30 円,remaining:◯
0,怒りの対面 キリト,SAO/S51-088,30 円,remaining:◯
0,鬼神の気迫 キリト,SAO/S51-089,30 円,remaining:◯
0,手掛かりを求めるキリト,SAO/S51-090,30 円,remaining:◯
0,柔らかな表情 キリト,SAO/S51-091,30 円,remaining:◯
0,クールに論駁 シノン,SAO/S51-092,30 円,remaining:◯
0,緊急参戦 クライン,SAO/S51-093,30 円,remaining:◯
0,どこか寂しげ 和人,SAO/S51-094,30 円,remaining:◯
0,《マザーズ・ロザリオ》,SAO/S51-019,220 円,remaining:9pcs
0,夢だった大舞台,SAO/S51-047,50 円,remaining:◯
0,年季入りのパーティプレイ,SAO/S51-069,120 円,remaining:◯
0,《黒の剣士》再び,SAO/S51-097,80 円,remaining:◯
0,変わらない気持ち,SAO/S51-020,30 円,remaining:◯
0,オーディナル・ナンバー2,SAO/S51-048,30 円,remaining:◯
0,白の聖大樹,SAO/S51-049,30 円,remaining:◯
0,妖精たちの援護,SAO/S51-050,50 円,remaining:◯
0,非道な罠,SAO/S51-070,120 円,remaining:◯
0,信頼の射撃,SAO/S51-098,80 円,remaining:2pcs
0,お待たせしました!,SAO/S51-099,30 円,remaining:◯
0,約束の続き,SAO/S51-100,30 円,remaining:◯
0,2年ぶりの対面 アスナ,SAO/S51-101,120 円,remaining:5pcs
0,魅惑の渚 リーファ,SAO/S51-102,220 円,remaining:×
0,ボーナスタイム! ユナ,SAO/S51-103,120 円,remaining:7pcs
0,負けられない理由 キリト,SAO/S51-104,220 円,remaining:◯
0,現実の体感覚 キリト,SAO/S51-P01,120 円,remaining:◯
0,的確な戦闘指揮 アスナ,SAO/S51-P02,80 円,remaining:◯
0,メイド服のアスナ,SAO/S51-P03,220 円,remaining:×
0,水着の明日奈,SAO/S51-P04,"1,980 円",remaining:×
0,戦闘態勢 アスナ＆ユイ,SAO/S51-P05,500 円,remaining:◯
0,過ぎし日の姿 キリト＆アスナ,SAO/S51-P06,980 円,remaining:◯
0,過ぎし日の姿 キリト＆アスナ(ホロ),SAO/S51-P06S,"1,980 円",remaining:7pcs
