,card_name,card_num,price,status
0,超能力者の少女 アーニャ(サイン入り),SPY/S106-001SP,"17,800 円",remaining:3pcs
0,おそろいのキーホルダー ベッキー(サイン入り),SPY/S106-002SP,"3,980 円",remaining:×
0,〈いばら姫〉ヨル(サイン入り),SPY/S106-059SP,"17,800 円",remaining:3pcs
0,〈夜帷〉フィオナ・フロスト(サイン入り),SPY/S106-079SP,"7,980 円",remaining:5pcs
0,諜報員〈黄昏〉(サイン入り),SPY/S106-080SP,"4,980 円",remaining:1pcs
0,管理者 シルヴィア・シャーウッド(サイン入り),SPY/S106-081SP,"2,980 円",remaining:3pcs
0,超能力者 アーニャ(サイン入り),SPY/S106-T05SP,"19,800 円",remaining:1pcs
0,殺し屋 ヨル(サイン入り),SPY/S106-T12SP,"49,800 円",remaining:×
0,クールな諜報員〈黄昏〉(サイン入り),SPY/S106-T14SP,"4,980 円",remaining:1pcs
0,仮初めの家族 ロイド＆アーニャ＆ヨル(サイン入り),SPY/S106-T19SP,"14,800 円",remaining:×
0,イーデン校の生徒 アーニャ・フォージャー(箔押し入り),SPY/S106-008SPY,780 円,remaining:1pcs
0,同級生 アーニャ＆ダミアン(箔押し入り),SPY/S106-009SPY,500 円,remaining:◯
0,はは仕込みの必殺パンチ(箔押し入り),SPY/S106-022SPY,"1,280 円",remaining:2pcs
0,涙の謝罪(箔押し入り),SPY/S106-026SPY,500 円,remaining:2pcs
0,秘密だらけの家族 ロイド＆アーニャ＆ヨル(箔押し入り),SPY/S106-030SPY,"2,480 円",remaining:×
0,元気な娘 アーニャ(箔押し入り),SPY/S106-035SPY,"2,980 円",remaining:×
0,ちちとむすめ ロイド＆アーニャ(箔押し入り),SPY/S106-037SPY,500 円,remaining:×
0,バーでのできごと ロイド＆ヨル(箔押し入り),SPY/S106-052SPY,680 円,remaining:5pcs
0,受け入れてくれた瞬間(箔押し入り),SPY/S106-054SPY,500 円,remaining:1pcs
0,誓いは爆発と共に(箔押し入り),SPY/S106-055SPY,780 円,remaining:×
0,凄腕の殺し屋 ヨル(箔押し入り),SPY/S106-058SPY,"9,980 円",remaining:×
0,漆黒のドレス ヨル(箔押し入り),SPY/S106-062SPY,"1,280 円",remaining:×
