,card_name,card_num,price,status
0,変わった“トーチ”悠二(サイン入り),SS/WE41-10SP,"6,980 円",remaining:×
0,吉田 一美(サイン入り),SS/WE41-12SP,"2,980 円",remaining:×
0,マージョリー&マルコシアス(サイン入り),SS/WE41-21SP,"1,980 円",remaining:4pcs
0,屈せぬ心 シャナ(サイン入り),SS/WE41-25SP,"34,800 円",remaining:1pcs
0,シャナ&悠二(サイン入り),SS/WE41-38SP,"9,980 円",remaining:2pcs
0,ティアマトーの契約者 ヴィルヘルミナ(サイン入り),SS/WE41-40SP,"3,980 円",remaining:3pcs
0,対峙の時 ヘカテー(サイン入り),SS/WE41-53SP,"5,980 円",remaining:6pcs
0,この街での成長 シャナ(箔押し入り),SS/WE41-01SHP,"3,480 円",remaining:×
0,メイド服のシャナ(箔押し入り),SS/WE41-02SHP,180 円,remaining:◯
0,戸惑うシャナ(箔押し入り),SS/WE41-03SHP,320 円,remaining:◯
0,水着のシャナ(箔押し入り),SS/WE41-04SHP,"1,280 円",remaining:1pcs
0,チャイナドレスのシャナ(箔押し入り),SS/WE41-05SHP,780 円,remaining:5pcs
0,おめかし シャナ(箔押し入り),SS/WE41-06SHP,320 円,remaining:3pcs
0,囚われのシャナ(箔押し入り),SS/WE41-07SHP,220 円,remaining:◯
0,近衛 史菜(箔押し入り),SS/WE41-08SHP,120 円,remaining:4pcs
0,不器用なシャナ(箔押し入り),SS/WE41-09SHP,220 円,remaining:◯
0,変わった“トーチ”悠二(箔押し入り),SS/WE41-10SHP,680 円,remaining:×
0,御崎高校の生徒 シャナ(箔押し入り),SS/WE41-11SHP,120 円,remaining:◯
0,吉田 一美(箔押し入り),SS/WE41-12SHP,180 円,remaining:9pcs
0,初めての気持ち シャナ(箔押し入り),SS/WE41-13SHP,220 円,remaining:◯
0,夏服のシャナ(箔押し入り),SS/WE41-14SHP,"1,980 円",remaining:×
0,“フレイムヘイズ”シャナ(箔押し入り),SS/WE41-15SHP,320 円,remaining:5pcs
0,清秋祭始まる(箔押し入り),SS/WE41-16SHP,180 円,remaining:6pcs
0,悠二の消えた日(箔押し入り),SS/WE41-17SHP,220 円,remaining:◯
0,どうしようもない気持ち(箔押し入り),SS/WE41-18SHP,980 円,remaining:×
0,確かめたい気持ち(箔押し入り),SS/WE41-19SHP,320 円,remaining:7pcs
0,シャナ&アラストール(箔押し入り),SS/WE41-20SHP,"1,780 円",remaining:2pcs
0,マージョリー&マルコシアス(箔押し入り),SS/WE41-21SHP,220 円,remaining:◯
0,討滅の使徒 シャナ(箔押し入り),SS/WE41-22SHP,220 円,remaining:◯
0,無類のメロンパン好き シャナ(箔押し入り),SS/WE41-23SHP,220 円,remaining:×
0,愛がすべて シャナ(箔押し入り),SS/WE41-24SHP,180 円,remaining:◯
0,屈せぬ心 シャナ(箔押し入り),SS/WE41-25SHP,"1,480 円",remaining:1pcs
0,“戦技無双”の美姫 ヴィルヘルミナ(箔押し入り),SS/WE41-26SHP,180 円,remaining:◯
0,『儀装の駆り手』カムシン・ネブハーウ(箔押し入り),SS/WE41-27SHP,120 円,remaining:◯
0,“屠殺の即興詩”マージョリー(箔押し入り),SS/WE41-28SHP,180 円,remaining:◯
0,アラストールの契約者 シャナ(箔押し入り),SS/WE41-29SHP,180 円,remaining:1pcs
0,この刃に懸けて シャナ(箔押し入り),SS/WE41-30SHP,320 円,remaining:×
0,“フレイムヘイズ”ヴィルヘルミナ(箔押し入り),SS/WE41-31SHP,180 円,remaining:4pcs
0,紅蓮の双翼 シャナ(箔押し入り),SS/WE41-32SHP,220 円,remaining:◯
0,守るべきもの シャナ(箔押し入り),SS/WE41-33SHP,980 円,remaining:10pcs
0,『万条の仕手』ヴィルヘルミナ・カルメル(箔押し入り),SS/WE41-34SHP,120 円,remaining:9pcs
0,『弔詞の詠み手』マージョリー・ドー(箔押し入り),SS/WE41-35SHP,120 円,remaining:7pcs
0,誇り高き者 シャナ(箔押し入り),SS/WE41-36SHP,180 円,remaining:5pcs
0,悠二と歩む道 シャナ(箔押し入り),SS/WE41-37SHP,"1,480 円",remaining:×
0,シャナ&悠二(箔押し入り),SS/WE41-38SHP,320 円,remaining:6pcs
0,大いなる器 シャナ(箔押し入り),SS/WE41-39SHP,320 円,remaining:◯
0,ティアマトーの契約者 ヴィルヘルミナ(箔押し入り),SS/WE41-40SHP,220 円,remaining:◯
0,“麗しのゴブレット”マージョリー(箔押し入り),SS/WE41-41SHP,180 円,remaining:◯
0,揺るがぬ心(箔押し入り),SS/WE41-42SHP,220 円,remaining:5pcs
0,新世界へ(箔押し入り),SS/WE41-43SHP,320 円,remaining:◯
0,何でもできる(箔押し入り),SS/WE41-44SHP,180 円,remaining:2pcs
0,想いの力(箔押し入り),SS/WE41-45SHP,780 円,remaining:◯
0,天破壌砕(箔押し入り),SS/WE41-46SHP,420 円,remaining:7pcs
0,浴衣のヘカテー(箔押し入り),SS/WE41-47SHP,180 円,remaining:◯
0,“頂の座”ヘカテー(箔押し入り),SS/WE41-48SHP,420 円,remaining:◯
0,からっぽの存在 ヘカテー(箔押し入り),SS/WE41-49SHP,320 円,remaining:4pcs
0,“彩飄”フィレス(箔押し入り),SS/WE41-50SHP,420 円,remaining:6pcs
0,『参謀』ベルペオル(箔押し入り),SS/WE41-51SHP,180 円,remaining:◯
0,理屈と気持ち 悠二(箔押し入り),SS/WE41-52SHP,120 円,remaining:◯
0,対峙の時 ヘカテー(箔押し入り),SS/WE41-53SHP,180 円,remaining:◯
0,託宣の巫女 ヘカテー(箔押し入り),SS/WE41-54SHP,120 円,remaining:9pcs
0,幾万の願いの結晶 ヘカテー(箔押し入り),SS/WE41-55SHP,120 円,remaining:◯
0,『将軍』シュドナイ(箔押し入り),SS/WE41-56SHP,120 円,remaining:◯
0,『巫女』ヘカテー(箔押し入り),SS/WE41-57SHP,180 円,remaining:◯
0,神威召還 ヘカテー(箔押し入り),SS/WE41-58SHP,220 円,remaining:◯
0,直接対決！(箔押し入り),SS/WE41-59SHP,180 円,remaining:7pcs
0,次の願いの結実まで(箔押し入り),SS/WE41-60SHP,220 円,remaining:◯
0,この街での成長 シャナ,SS/WE41-01,"1,980 円",remaining:◯
0,メイド服のシャナ,SS/WE41-02,120 円,remaining:◯
0,戸惑うシャナ,SS/WE41-03,120 円,remaining:◯
0,水着のシャナ,SS/WE41-04,680 円,remaining:7pcs
0,チャイナドレスのシャナ,SS/WE41-05,500 円,remaining:2pcs
0,おめかし シャナ,SS/WE41-06,180 円,remaining:3pcs
0,囚われのシャナ,SS/WE41-07,80 円,remaining:◯
0,近衛 史菜,SS/WE41-08,80 円,remaining:◯
0,不器用なシャナ,SS/WE41-09,120 円,remaining:◯
0,変わった“トーチ”悠二,SS/WE41-10,420 円,remaining:◯
0,御崎高校の生徒 シャナ,SS/WE41-11,80 円,remaining:◯
0,吉田 一美,SS/WE41-12,120 円,remaining:◯
0,初めての気持ち シャナ,SS/WE41-13,120 円,remaining:◯
0,夏服のシャナ,SS/WE41-14,"1,280 円",remaining:10pcs
0,“フレイムヘイズ”シャナ,SS/WE41-15,180 円,remaining:◯
0,清秋祭始まる,SS/WE41-16,120 円,remaining:◯
0,悠二の消えた日,SS/WE41-17,120 円,remaining:◯
0,どうしようもない気持ち,SS/WE41-18,420 円,remaining:3pcs
0,確かめたい気持ち,SS/WE41-19,220 円,remaining:◯
0,シャナ&アラストール,SS/WE41-20,980 円,remaining:6pcs
0,マージョリー&マルコシアス,SS/WE41-21,180 円,remaining:◯
0,討滅の使徒 シャナ,SS/WE41-22,120 円,remaining:◯
0,無類のメロンパン好き シャナ,SS/WE41-23,120 円,remaining:1pcs
0,愛がすべて シャナ,SS/WE41-24,120 円,remaining:◯
0,屈せぬ心 シャナ,SS/WE41-25,780 円,remaining:◯
0,“戦技無双”の美姫 ヴィルヘルミナ,SS/WE41-26,120 円,remaining:◯
0,『儀装の駆り手』カムシン・ネブハーウ,SS/WE41-27,80 円,remaining:◯
0,“屠殺の即興詩”マージョリー,SS/WE41-28,120 円,remaining:◯
0,アラストールの契約者 シャナ,SS/WE41-29,120 円,remaining:◯
0,この刃に懸けて シャナ,SS/WE41-30,220 円,remaining:2pcs
0,“フレイムヘイズ”ヴィルヘルミナ,SS/WE41-31,120 円,remaining:◯
0,紅蓮の双翼 シャナ,SS/WE41-32,180 円,remaining:◯
0,守るべきもの シャナ,SS/WE41-33,780 円,remaining:◯
0,『万条の仕手』ヴィルヘルミナ・カルメル,SS/WE41-34,80 円,remaining:◯
0,『弔詞の詠み手』マージョリー・ドー,SS/WE41-35,80 円,remaining:◯
0,誇り高き者 シャナ,SS/WE41-36,120 円,remaining:◯
0,悠二と歩む道 シャナ,SS/WE41-37,980 円,remaining:◯
0,シャナ&悠二,SS/WE41-38,220 円,remaining:◯
0,大いなる器 シャナ,SS/WE41-39,220 円,remaining:◯
0,ティアマトーの契約者 ヴィルヘルミナ,SS/WE41-40,180 円,remaining:◯
0,“麗しのゴブレット”マージョリー,SS/WE41-41,120 円,remaining:◯
0,揺るがぬ心,SS/WE41-42,120 円,remaining:◯
0,新世界へ,SS/WE41-43,120 円,remaining:◯
0,何でもできる,SS/WE41-44,80 円,remaining:◯
0,想いの力,SS/WE41-45,320 円,remaining:◯
0,天破壌砕,SS/WE41-46,220 円,remaining:◯
0,浴衣のヘカテー,SS/WE41-47,120 円,remaining:◯
0,“頂の座”ヘカテー,SS/WE41-48,220 円,remaining:◯
0,からっぽの存在 ヘカテー,SS/WE41-49,180 円,remaining:8pcs
0,“彩飄”フィレス,SS/WE41-50,320 円,remaining:◯
0,『参謀』ベルペオル,SS/WE41-51,120 円,remaining:◯
0,理屈と気持ち 悠二,SS/WE41-52,80 円,remaining:◯
0,対峙の時 ヘカテー,SS/WE41-53,120 円,remaining:◯
0,託宣の巫女 ヘカテー,SS/WE41-54,80 円,remaining:◯
0,幾万の願いの結晶 ヘカテー,SS/WE41-55,80 円,remaining:◯
0,『将軍』シュドナイ,SS/WE41-56,80 円,remaining:◯
0,『巫女』ヘカテー,SS/WE41-57,120 円,remaining:◯
0,神威召還 ヘカテー,SS/WE41-58,180 円,remaining:◯
0,直接対決！,SS/WE41-59,120 円,remaining:◯
0,次の願いの結実まで,SS/WE41-60,180 円,remaining:◯
0,メロンパン大好き シャナ,SS/WE41-P01,"3,980 円",remaining:×
0,闘争の渦 シャナ,SS/WE41-P02,680 円,remaining:◯
0,闘争の渦 シャナ(箔押し入り),SS/WE41-P02S,"1,780 円",remaining:7pcs
