,card_name,card_num,price,status
0,“撃槍・ガングニール”響(サイン入り),SG/W27-002SP,"5,980 円",remaining:×
0,暖かい世界のため 未来(サイン入り),SG/W27-015SP,"5,980 円",remaining:×
0,“レセプターチルドレン”切歌(サイン入り),SG/W27-034SP,"7,980 円",remaining:×
0,“レセプターチルドレン”調(サイン入り),SG/W27-035SP,"12,800 円",remaining:×
0,“長射程広域攻撃”クリス(サイン入り),SG/W27-053SP,"5,980 円",remaining:×
0,“輪廻するフィーネ”マリア(サイン入り),SG/W27-054SP,"6,980 円",remaining:×
0,抜身の刀身 翼(サイン入り),SG/W27-082SP,"5,980 円",remaining:×
0,みなぎる力 響,SG/W27-001R,420 円,remaining:9pcs
0,自分の役目 クリス,SG/W27-055R,"1,280 円",remaining:1pcs
0,“QUEENS of MUSIC”マリア,SG/W27-057R,420 円,remaining:1pcs
0,“QUEENS of MUSIC”翼,SG/W27-084R,420 円,remaining:2pcs
0,水着の響,SG/W27-003S,220 円,remaining:×
0,リディアンの生徒 未来,SG/W27-006S,220 円,remaining:4pcs
0,暁 切歌,SG/W27-031S,500 円,remaining:1pcs
0,月読 調,SG/W27-032S,500 円,remaining:1pcs
0,“烈槍・ガングニール”マリア,SG/W27-051S,320 円,remaining:1pcs
0,圧倒的な火力 クリス,SG/W27-060S,220 円,remaining:3pcs
0,歴戦の手練れ 翼,SG/W27-083S,220 円,remaining:1pcs
0,戦場で歌う翼,SG/W27-089S,220 円,remaining:1pcs
0,みなぎる力 響,SG/W27-001,180 円,remaining:7pcs
0,“撃槍・ガングニール”響,SG/W27-002,320 円,remaining:◯
0,“烈槍・ガングニール”マリア,SG/W27-051,180 円,remaining:◯
0,水着のクリス,SG/W27-052,420 円,remaining:6pcs
0,“長射程広域攻撃”クリス,SG/W27-053,180 円,remaining:4pcs
0,“輪廻するフィーネ”マリア,SG/W27-054,420 円,remaining:◯
0,強化トレーニング 翼,SG/W27-081,180 円,remaining:◯
0,抜身の刀身 翼,SG/W27-082,120 円,remaining:◯
0,水着の響,SG/W27-003,120 円,remaining:◯
0,囚われの未来,SG/W27-004,80 円,remaining:◯
0,託された歌 響,SG/W27-005,220 円,remaining:◯
0,リディアンの生徒 未来,SG/W27-006,120 円,remaining:◯
0,“絶唱”響,SG/W27-007,120 円,remaining:◯
0,ガングニール,SG/W27-024,80 円,remaining:◯
0,暁 切歌,SG/W27-031,180 円,remaining:◯
0,月読 調,SG/W27-032,180 円,remaining:◯
0,“XDモード”切歌,SG/W27-033,120 円,remaining:◯
0,“レセプターチルドレン”切歌,SG/W27-034,180 円,remaining:◯
0,“レセプターチルドレン”調,SG/W27-035,180 円,remaining:◯
0,自分の役目 クリス,SG/W27-055,220 円,remaining:◯
0,マリア・カデンツァヴナ・イヴ,SG/W27-056,120 円,remaining:◯
0,“QUEENS of MUSIC”マリア,SG/W27-057,120 円,remaining:◯
0,“XDモード”マリア,SG/W27-058,120 円,remaining:◯
0,背負った重み クリス,SG/W27-059,120 円,remaining:◯
0,圧倒的な火力 クリス,SG/W27-060,120 円,remaining:◯
0,歴戦の手練れ 翼,SG/W27-083,120 円,remaining:◯
0,“QUEENS of MUSIC”翼,SG/W27-084,120 円,remaining:◯
0,天羽々斬,SG/W27-096,80 円,remaining:◯
0,寺島 詩織,SG/W27-008,50 円,remaining:◯
0,生きる意志 未来,SG/W27-009,50 円,remaining:◯
0,“暴走”響,SG/W27-010,50 円,remaining:◯
0,消耗品の装者 未来,SG/W27-011,50 円,remaining:◯
0,“XDモード”響,SG/W27-012,80 円,remaining:◯
0,心配する未来,SG/W27-013,50 円,remaining:◯
0,まっすぐな瞳 響,SG/W27-014,50 円,remaining:◯
0,暖かい世界のため 未来,SG/W27-015,80 円,remaining:◯
0,二人の流れ星,SG/W27-025,50 円,remaining:◯
0,飛び入り参加 切歌,SG/W27-036,80 円,remaining:◯
0,ウェル博士,SG/W27-037,120 円,remaining:◯
0,明るく元気 切歌,SG/W27-038,120 円,remaining:◯
0,仲良しな二人 切歌&調,SG/W27-039,80 円,remaining:◯
0,フィーネの目覚め,SG/W27-047,50 円,remaining:◯
0,ソロモンの杖,SG/W27-048,120 円,remaining:◯
0,世界の歌姫 マリア,SG/W27-061,80 円,remaining:◯
0,おちゃめなクリス,SG/W27-062,120 円,remaining:◯
0,本当の願い マリア,SG/W27-063,50 円,remaining:◯
0,歌が好きなクリス,SG/W27-064,80 円,remaining:◯
0,もう一つの“ガングニール”マリア,SG/W27-065,50 円,remaining:◯
0,イチイバル,SG/W27-074,80 円,remaining:◯
0,本当にやりたい事,SG/W27-075,320 円,remaining:◯
0,響の師匠 弦十郎,SG/W27-085,50 円,remaining:◯
0,クリスとの対峙 翼,SG/W27-086,50 円,remaining:◯
0,剣であり続けること 翼,SG/W27-087,120 円,remaining:◯
0,不甲斐無い思い 翼,SG/W27-088,50 円,remaining:◯
0,戦場で歌う翼,SG/W27-089,50 円,remaining:◯
0,英雄故事,SG/W27-097,50 円,remaining:◯
0,秋桜祭の響,SG/W27-016,30 円,remaining:◯
0,久々のデート 未来,SG/W27-017,30 円,remaining:◯
0,安藤 創世,SG/W27-018,30 円,remaining:◯
0,解放された未来,SG/W27-019,30 円,remaining:◯
0,“いつもの人助け”響,SG/W27-020,50 円,remaining:◯
0,“融合症例第一号”響,SG/W27-021,30 円,remaining:◯
0,板場 弓美,SG/W27-022,30 円,remaining:◯
0,“凶祓い”の力 未来,SG/W27-023,30 円,remaining:◯
0,神獣鏡,SG/W27-026,30 円,remaining:◯
0,飛び入り参加 調,SG/W27-040,50 円,remaining:◯
0,メガネで変装 調,SG/W27-041,30 円,remaining:◯
0,ナスターシャ教授,SG/W27-042,30 円,remaining:◯
0,ノイズ,SG/W27-043,120 円,remaining:◯
0,“XDモード”調,SG/W27-044,30 円,remaining:◯
0,物静かな少女 調,SG/W27-045,30 円,remaining:◯
0,ネフィリム・ノヴァ,SG/W27-046,30 円,remaining:◯
0,体操着のクリス,SG/W27-066,30 円,remaining:◯
0,セレナ・カデンツァヴナ・イヴ,SG/W27-067,30 円,remaining:◯
0,追いかけるクリス,SG/W27-068,30 円,remaining:◯
0,優しい少女 マリア,SG/W27-069,30 円,remaining:◯
0,“XDモード”クリス,SG/W27-070,50 円,remaining:◯
0,貫く決意 マリア,SG/W27-071,30 円,remaining:◯
