,card_name,card_num,price,status
0,四宮 ひまわり(サイン入り),VR/W22-002SP,"5,980 円",remaining:×
0,三枝 わかば(サイン入り),VR/W22-026SP,"4,980 円",remaining:×
0,一色 あかね(サイン入り),VR/W22-042SP,"7,980 円",remaining:×
0,黒騎 れい(サイン入り),VR/W22-059SP,"7,980 円",remaining:×
0,二葉 あおい(サイン入り),VR/W22-082SP,"4,980 円",remaining:×
0,初めてのドッキング あかね(サイン入り),VR/W22-103SP,"1,980 円",remaining:×
0,心を開いたひまわり,VR/W22-001R,320 円,remaining:2pcs
0,勝気な少女 わかば,VR/W22-021R,780 円,remaining:×
0,そっけない応答 れい,VR/W22-043R,320 円,remaining:1pcs
0,いつでもポジティブ あかね,VR/W22-047R,500 円,remaining:×
0,すっかり元気 あおい,VR/W22-090R,220 円,remaining:×
0,守るための力 あおい,VR/W22-105R,500 円,remaining:3pcs
0,すれ違う心 あかね,VR/W22-T05R,500 円,remaining:◯
0,ビビッドイエロー,VR/W22-006S,180 円,remaining:×
0,好奇心旺盛 ひまわり,VR/W22-011S,180 円,remaining:×
0,免許皆伝 わかば,VR/W22-023S,180 円,remaining:×
0,ビビッドグリーン,VR/W22-025S,180 円,remaining:×
0,天真爛漫 あかね,VR/W22-045S,180 円,remaining:×
0,ビビッドレッド,VR/W22-050S,180 円,remaining:2pcs
0,ビビッドブルー,VR/W22-081S,320 円,remaining:1pcs
0,おしとやかな少女 あおい,VR/W22-083S,180 円,remaining:2pcs
0,初めてのドッキング あかね,VR/W22-103S,120 円,remaining:2pcs
0,心を開いたひまわり,VR/W22-001,180 円,remaining:10pcs
0,四宮 ひまわり,VR/W22-002,180 円,remaining:◯
0,勝気な少女 わかば,VR/W22-021,500 円,remaining:8pcs
0,テクスチャー・オン! わかば,VR/W22-022,180 円,remaining:◯
0,明るくまっすぐ あかね,VR/W22-041,120 円,remaining:◯
0,一色 あかね,VR/W22-042,500 円,remaining:◯
0,ビビッドブルー,VR/W22-081,220 円,remaining:◯
0,二葉 あおい,VR/W22-082,180 円,remaining:7pcs
0,体育の時間 ひまわり,VR/W22-003,180 円,remaining:8pcs
0,ひまわりとドッキング! あかね,VR/W22-004,120 円,remaining:◯
0,工場大好き ひまわり,VR/W22-005,80 円,remaining:◯
