,card_name,card_num,price,status
0,U15チャンピオン アインハルト(サイン入り),VS/W50-002SP,"6,980 円",remaining:×
0,“撃ち抜く一撃”フーカ(サイン入り),VS/W50-003SP,"4,980 円",remaining:×
0,誰より優秀な目 ヴィヴィオ(サイン入り),VS/W50-035SP,"3,980 円",remaining:5pcs
0,“桎梏となる過去”リンネ(サイン入り),VS/W50-069SP,"6,980 円",remaining:1pcs
0,“ギフトの宿る拳”フーカ(サイン入り),VS/W50-T08SP,"14,800 円",remaining:×
0,リンネ・ベルリネッタ(サイン入り),VS/W50-T13SP,"29,800 円",remaining:×
0,常夏の解放感 フーカ,VS/W50-001R,980 円,remaining:×
0,歴史に残るチャンピオン,VS/W50-030R,780 円,remaining:×
0,雨上がりの決着,VS/W50-031R,680 円,remaining:×
0,それでも前向き ヴィヴィオ,VS/W50-034R,320 円,remaining:8pcs
0,必殺の打撃 ミウラ,VS/W50-036R,220 円,remaining:◯
0,アクセルスマッシュ・インフィニティ,VS/W50-064R,420 円,remaining:5pcs
0,常夏の解放感 リンネ,VS/W50-068R,780 円,remaining:×
0,スクーデリア セットアップ,VS/W50-097R,420 円,remaining:5pcs
0,フーカ・レヴェントン,VS/W50-T04R,500 円,remaining:4pcs
0,“純白のトータルファイター”リンネ,VS/W50-T18R,"1,280 円",remaining:3pcs
0,大きな背中 フーカ,VS/W50-005S,420 円,remaining:1pcs
0,一緒にお風呂 アインハルト&フーカ,VS/W50-006S,680 円,remaining:×
0,基本の構え アインハルト,VS/W50-007S,780 円,remaining:1pcs
0,堂々たるリングイン・アインハルト,VS/W50-009S,580 円,remaining:×
0,“覇王流の師弟”アインハルト&フーカ,VS/W50-010S,500 円,remaining:6pcs
0,託された約束 ヴィヴィオ,VS/W50-037S,680 円,remaining:2pcs
0,打撃トレーニング コロナ,VS/W50-039S,500 円,remaining:×
0,冷たい瞳 リンネ,VS/W50-071S,500 円,remaining:4pcs
0,セットアップ! リンネ,VS/W50-073S,680 円,remaining:×
0,強さを求める リンネ,VS/W50-075S,420 円,remaining:5pcs
0,フーカ・レヴェントン,VS/W50-T04S,120 円,remaining:8pcs
0,始まりの一撃,VS/W50-T09S,120 円,remaining:6pcs
0,常夏の解放感 フーカ,VS/W50-001,680 円,remaining:◯
0,U15チャンピオン アインハルト,VS/W50-002,580 円,remaining:◯
0,“撃ち抜く一撃”フーカ,VS/W50-003,420 円,remaining:◯
0,それでも前向き ヴィヴィオ,VS/W50-034,120 円,remaining:◯
0,誰より優秀な目 ヴィヴィオ,VS/W50-035,220 円,remaining:◯
0,必殺の打撃 ミウラ,VS/W50-036,120 円,remaining:◯
0,常夏の解放感 リンネ,VS/W50-068,320 円,remaining:◯
0,“桎梏となる過去”リンネ,VS/W50-069,500 円,remaining:◯
0,ばつの悪いアインハルト,VS/W50-004,180 円,remaining:◯
0,大きな背中 フーカ,VS/W50-005,180 円,remaining:◯
0,一緒にお風呂 アインハルト&フーカ,VS/W50-006,220 円,remaining:◯
0,基本の構え アインハルト,VS/W50-007,180 円,remaining:◯
0,朝のロードワーク フーカ,VS/W50-008,120 円,remaining:◯
0,堂々たるリングイン・アインハルト,VS/W50-009,120 円,remaining:◯
0,“覇王流の師弟”アインハルト&フーカ,VS/W50-010,80 円,remaining:◯
0,託された約束 ヴィヴィオ,VS/W50-037,220 円,remaining:◯
0,ミウラ・リナルディ,VS/W50-038,120 円,remaining:◯
0,打撃トレーニング コロナ,VS/W50-039,180 円,remaining:◯
0,料理が得意 ミウラ,VS/W50-040,80 円,remaining:◯
0,紙一重の攻防 ヴィヴィオ,VS/W50-041,80 円,remaining:◯
0,ノーヴェ・ナカジマ,VS/W50-042,80 円,remaining:◯
0,差し入れでほっこり リンネ,VS/W50-070,120 円,remaining:◯
0,冷たい瞳 リンネ,VS/W50-071,180 円,remaining:◯
0,確固たる育成方針 ジル,VS/W50-072,80 円,remaining:◯
0,セットアップ! リンネ,VS/W50-073,120 円,remaining:◯
0,強引な攻勢 リンネ,VS/W50-074,180 円,remaining:◯
0,強さを求める リンネ,VS/W50-075,120 円,remaining:◯
0,雨に煙る構え リンネ,VS/W50-076,120 円,remaining:◯
0,いつも不機嫌 フーカ,VS/W50-011,50 円,remaining:◯
0,上達の実感 フーカ,VS/W50-012,50 円,remaining:◯
0,差し入れでほっこり フーカ,VS/W50-013,50 円,remaining:◯
0,自慢の後輩たち アインハルト,VS/W50-014,80 円,remaining:◯
0,ハリー・トライベッカ,VS/W50-015,50 円,remaining:◯
0,エルス・タスミン,VS/W50-016,50 円,remaining:◯
0,先輩たちの教え フーカ,VS/W50-017,80 円,remaining:◯
0,セットアップ! アインハルト,VS/W50-018,50 円,remaining:◯
0,ウラカン,VS/W50-028,80 円,remaining:◯
0,電光石火 ヴィヴィオ,VS/W50-043,80 円,remaining:◯
0,シスターセイン,VS/W50-044,50 円,remaining:◯
0,明るく元気 リオ,VS/W50-045,80 円,remaining:◯
0,思い出す昔 ノーヴェ,VS/W50-046,50 円,remaining:◯
0,スポーツドクター志望 ユミナ,VS/W50-047,50 円,remaining:◯
0,“スーパー変身タイム”リオ,VS/W50-048,80 円,remaining:◯
