,card_name,card_num,price,status
0,ひそひそ話 アンリエッタ&サイト,ZM/WE13-T01,120 円,remaining:◯
0,真っ直ぐな目 サイト,ZM/WE13-T02,30 円,remaining:◯
0,友に赦された少女 タバサ,ZM/WE13-T03,50 円,remaining:◯
0,教皇 ヴィットーリオ,ZM/WE13-T04,50 円,remaining:◯
0,サイトの専属メイド シエスタ,ZM/WE13-T05,50 円,remaining:◯
0,勇者の“騎士” タバサ,ZM/WE13-T06,50 円,remaining:◯
0,シャルロット・エレーヌ・オルレアン,ZM/WE13-T07,80 円,remaining:◯
0,わたしのイーヴァルディ,ZM/WE13-T08A,50 円,remaining:◯
0,わたしのイーヴァルディ,ZM/WE13-T08B,50 円,remaining:◯
0,一緒に買い物 ルイズ,ZM/WE13-T09,30 円,remaining:◯
0,ぺったんこなルイズ,ZM/WE13-T10,30 円,remaining:◯
0,秘密兵器 イルククゥ,ZM/WE13-T11,50 円,remaining:◯
0,サモン・サーヴァント,ZM/WE13-T12,50 円,remaining:◯
0,理想のお部屋 ルイズ,ZM/WE13-T13,120 円,remaining:◯
0,聖国のルイズ,ZM/WE13-T14,120 円,remaining:1pcs
0,ディスペル発動!,ZM/WE13-T15,80 円,remaining:◯
0,大いなる槍,ZM/WE13-T16,50 円,remaining:◯
0,サイトの専属メイド シエスタ(サイン入り),ZM/WE13-T05,"2,480 円",remaining:×
0,聖国のルイズ(サイン入り),ZM/WE13-T14,"4,980 円",remaining:×
