,card_name,card_num,price,status
0,陽炎型駆逐艦9番艦 天津風(サイン入り),KC/S31-016SSP,"12,800 円",remaining:×
0,龍驤型軽空母 龍驤改二(サイン入り),KC/S31-036SSP,"4,980 円",remaining:×
0,川内型軽巡2番艦 神通改二(サイン入り),KC/S31-038SSP,"4,980 円",remaining:×
0,金剛型戦艦3番艦 榛名改二(サイン入り),KC/S31-062SSP,"12,800 円",remaining:×
0,飛龍型正規空母 飛龍改二(サイン入り),KC/S31-078SSP,"3,980 円",remaining:×
0,新造工作艦 明石改(サイン入り),KC/S31-081SSP,"3,980 円",remaining:2pcs
0,大和型戦艦2番艦 武蔵改(サイン入り),KC/S31-002SP,"3,980 円",remaining:×
0,利根型航空巡洋艦1番艦 利根改二(サイン入り),KC/S31-007SP,"1,980 円",remaining:×
0,利根型航空巡洋艦2番艦 筑摩改二(サイン入り),KC/S31-008SP,"1,980 円",remaining:×
0,綾波型駆逐艦1番艦 綾波改二(サイン入り),KC/S31-035SP,"1,980 円",remaining:×
0,川内型軽巡1番艦 川内改二(サイン入り)(エラッタ前),KC/S31-037SP,"1,980 円",remaining:×
0,川内型軽巡1番艦 川内改二(サイン入り)(エラッタ後),KC/S31-037SP,"3,480 円",remaining:×
0,川内型軽巡3番艦 那珂改二(サイン入り),KC/S31-039SP,"2,980 円",remaining:2pcs
0,睦月型駆逐艦4番艦 卯月(サイン入り),KC/S31-064SP,"1,980 円",remaining:×
0,蒼龍型正規空母 蒼龍改二(サイン入り),KC/S31-077SP,"1,980 円",remaining:1pcs
0,妙高型重巡4番艦 羽黒改二(サイン入り),KC/S31-086SP,"2,480 円",remaining:1pcs
0,日本最大の軽巡洋艦 大淀改,KC/S31-006R,320 円,remaining:×
0,いい風ね…。撃ち方、始めて!,KC/S31-031R,320 円,remaining:1pcs
0,この武蔵の主砲、伊達ではないぜ。,KC/S31-032R,220 円,remaining:×
0,航空巡洋艦、出撃!,KC/S31-033R,180 円,remaining:1pcs
0,栄光の第一航空戦隊 加賀,KC/S31-034R,320 円,remaining:4pcs
0,那珂ちゃんセンター、一番の見せ場です!,KC/S31-056R,180 円,remaining:2pcs
0,軽空母龍驤、出撃!,KC/S31-057R,220 円,remaining:1pcs
0,綾波が、守ります!,KC/S31-058R,320 円,remaining:×
