,card_name,card_num,price,status
0,“鉄壁クルセイダー”ダクネス(サイン入り),KS/W55-002SP,"2,980 円",remaining:×
0,“バニーガール”ゆんゆん(サイン入り),KS/W55-042SP,"5,980 円",remaining:×
0,“爆裂娘”めぐみん(サイン入り),KS/W55-043SP,"3,980 円",remaining:×
0,“氷の魔女”ウィズ(サイン入り),KS/W55-044SP,"2,480 円",remaining:×
0,“麗しき水の女神”アクア(サイン入り),KS/W55-080SP,"12,800 円",remaining:×
0,私の心までは屈し……,KS/W55-036R,320 円,remaining:×
0,新・爆裂魔法,KS/W55-075R,220 円,remaining:×
0,ライト・オブ・セイバー!,KS/W55-076R,320 円,remaining:×
0,カースド・クリスタルプリズン!,KS/W55-078R,320 円,remaining:6pcs
0,女神の名において,KS/W55-098R,320 円,remaining:8pcs
0,“見送る”クリス,KS/W55-001S,320 円,remaining:1pcs
0,“地獄の公爵”バニル,KS/W55-003S,220 円,remaining:1pcs
0,“走り出せ”ダクネス,KS/W55-004S,320 円,remaining:×
0,水着のダクネス,KS/W55-009S,320 円,remaining:×
0,水着のめぐみん,KS/W55-041S,420 円,remaining:×
0,“もぐもぐ”めぐみん,KS/W55-047S,320 円,remaining:×
0,“走り出せ”めぐみん,KS/W55-051S,220 円,remaining:×
0,“永遠のライバル”ゆんゆん,KS/W55-052S,220 円,remaining:×
0,“走り出せ”アクア,KS/W55-079S,320 円,remaining:9pcs
0,水着のエリス,KS/W55-081S,220 円,remaining:×
0,水着のアクア,KS/W55-084S,220 円,remaining:×
0,“怒れる拳”アクア,KS/W55-085S,220 円,remaining:×
0,“見送る”クリス,KS/W55-001,120 円,remaining:10pcs
0,“鉄壁クルセイダー”ダクネス,KS/W55-002,220 円,remaining:◯
0,“地獄の公爵”バニル,KS/W55-003,120 円,remaining:◯
0,“走り出せ”ダクネス,KS/W55-004,120 円,remaining:◯
0,水着のめぐみん,KS/W55-041,220 円,remaining:×
0,“バニーガール”ゆんゆん,KS/W55-042,500 円,remaining:×
0,“爆裂娘”めぐみん,KS/W55-043,120 円,remaining:1pcs
0,“氷の魔女”ウィズ,KS/W55-044,120 円,remaining:◯
0,“走り出せ”アクア,KS/W55-079,120 円,remaining:×
0,“麗しき水の女神”アクア,KS/W55-080,"1,480 円",remaining:◯
0,“ソゲキッ”カズマ,KS/W55-005,320 円,remaining:5pcs
0,“おとり役”カズマ,KS/W55-006,180 円,remaining:◯
0,“大事なもの”クリス,KS/W55-007,80 円,remaining:◯
0,“アルカンレティア観光”ダクネス,KS/W55-008,80 円,remaining:◯
0,水着のダクネス,KS/W55-009,120 円,remaining:×
0,“露払い役”ダクネス,KS/W55-010,80 円,remaining:◯
0,“仮面の力”ダクネス,KS/W55-011,80 円,remaining:◯
0,“走り出せ”カズマ,KS/W55-012,80 円,remaining:◯
0,“うなされる”ウィズ,KS/W55-045,120 円,remaining:◯
0,“嬉し気な”ウィズ,KS/W55-046,120 円,remaining:◯
0,“もぐもぐ”めぐみん,KS/W55-047,80 円,remaining:◯
0,“待ち伏せ”ゆんゆん,KS/W55-048,180 円,remaining:3pcs
0,“目を輝かせる”めぐみん,KS/W55-049,80 円,remaining:◯
0,“ちょっと恥ずかしい”ゆんゆん,KS/W55-050,80 円,remaining:◯
0,“走り出せ”めぐみん,KS/W55-051,80 円,remaining:◯
0,“永遠のライバル”ゆんゆん,KS/W55-052,80 円,remaining:◯
0,“パワーアップする爆裂魔法”めぐみん,KS/W55-053,120 円,remaining:10pcs
0,水着のエリス,KS/W55-081,80 円,remaining:1pcs
0,“魂の救済”アクア,KS/W55-082,180 円,remaining:◯
0,“魔法の実力も運の内”アクア,KS/W55-083,80 円,remaining:◯
0,水着のアクア,KS/W55-084,80 円,remaining:×
0,“怒れる拳”アクア,KS/W55-085,80 円,remaining:4pcs
0,“当主の威厳”ダクネスの父,KS/W55-013,50 円,remaining:◯
0,“証人尋問”セナ,KS/W55-014,50 円,remaining:◯
0,“名家のお嬢様”ダクネス,KS/W55-015,50 円,remaining:◯
0,“じゃんけん最強”カズマ,KS/W55-016,50 円,remaining:10pcs
0,“新たなクエスト”カズマ,KS/W55-017,50 円,remaining:◯
0,“見送る”荒くれ者,KS/W55-018,50 円,remaining:◯
