,card_name,card_num,price,status
0,レギオン結成 梨璃(サイン入り),ALL/SE37-01SP,"14,800 円",remaining:7pcs
0,“全力少女” 一葉(サイン入り),ALL/SE37-19SP,"14,800 円",remaining:7pcs
0,“グラン・エプレ” 叶星(サイン入り),ALL/SE37-24SP,"34,800 円",remaining:5pcs
0,レギオン結成梨璃,ALL/SE37-01S,420 円,remaining:◯
0,リリィのたしなみ梨璃,ALL/SE37-02S,320 円,remaining:8pcs
0,孤高のリリィ夢結,ALL/SE37-03S,500 円,remaining:◯
0,戦場に舞う夢結,ALL/SE37-04S,420 円,remaining:◯
0,密かな企み楓,ALL/SE37-05S,320 円,remaining:◯
0,戦場に舞う楓,ALL/SE37-06S,320 円,remaining:◯
0,凛々しく咲く二水,ALL/SE37-07S,"1,780 円",remaining:◯
0,くつろぎの時間二水,ALL/SE37-08S,500 円,remaining:◯
0,戦場に舞う鶴紗,ALL/SE37-09S,320 円,remaining:×
0,凛々しく咲く鶴紗,ALL/SE37-10S,780 円,remaining:×
0,戦場に舞う梅,ALL/SE37-11S,680 円,remaining:×
0,凛々しく咲く梅,ALL/SE37-12S,500 円,remaining:×
0,凛々しく咲く神琳,ALL/SE37-13S,"3,480 円",remaining:×
0,強い正義感神琳,ALL/SE37-14S,500 円,remaining:3pcs
0,リリィのたしなみ雨嘉,ALL/SE37-15S,420 円,remaining:◯
0,“旬なリリィ”雨嘉,ALL/SE37-16S,320 円,remaining:10pcs
0,騒々しい日ミリアム,ALL/SE37-17S,320 円,remaining:◯
0,CHARMの鑑定ミリアム,ALL/SE37-18S,320 円,remaining:◯
0,“全力少女”一葉,ALL/SE37-19S,420 円,remaining:◯
0,“嬉々として”藍,ALL/SE37-20S,320 円,remaining:◯
0,“弾に込めた想い”恋花,ALL/SE37-21S,420 円,remaining:◯
0,“旬なリリィ” 瑤,ALL/SE37-22S,320 円,remaining:◯
0,“ヘルヴォル” 千香瑠,ALL/SE37-23S,420 円,remaining:◯
0,“グラン・エプレ” 叶星,ALL/SE37-24S,500 円,remaining:3pcs
0,“旬なリリィ” 高嶺,ALL/SE37-25S,320 円,remaining:3pcs
0,“たまりませんーーっ！” 紅巴,ALL/SE37-26S,320 円,remaining:10pcs
0,“ユニコーンがいてもおかしくない！” 灯莉,ALL/SE37-27S,320 円,remaining:×
0,“グラン・エプレ” 姫歌,ALL/SE37-28S,420 円,remaining:◯
0,レギオン結成梨璃,ALL/SE37-01,320 円,remaining:◯
0,リリィのたしなみ梨璃,ALL/SE37-02,220 円,remaining:◯
0,孤高のリリィ夢結,ALL/SE37-03,420 円,remaining:◯
0,戦場に舞う夢結,ALL/SE37-04,320 円,remaining:◯
0,密かな企み楓,ALL/SE37-05,220 円,remaining:◯
0,戦場に舞う楓,ALL/SE37-06,220 円,remaining:◯
0,凛々しく咲く二水,ALL/SE37-07,"1,480 円",remaining:◯
0,くつろぎの時間二水,ALL/SE37-08,420 円,remaining:◯
0,戦場に舞う鶴紗,ALL/SE37-09,220 円,remaining:◯
0,凛々しく咲く鶴紗,ALL/SE37-10,680 円,remaining:◯
0,戦場に舞う梅,ALL/SE37-11,500 円,remaining:◯
0,凛々しく咲く梅,ALL/SE37-12,420 円,remaining:◯
0,凛々しく咲く神琳,ALL/SE37-13,"1,980 円",remaining:×
0,強い正義感神琳,ALL/SE37-14,420 円,remaining:◯
0,リリィのたしなみ雨嘉,ALL/SE37-15,320 円,remaining:◯
0,“旬なリリィ”雨嘉,ALL/SE37-16,220 円,remaining:◯
0,騒々しい日ミリアム,ALL/SE37-17,220 円,remaining:◯
0,CHARMの鑑定ミリアム,ALL/SE37-18,220 円,remaining:◯
0,“全力少女”一葉,ALL/SE37-19,320 円,remaining:◯
0,“嬉々として”藍,ALL/SE37-20,220 円,remaining:◯
0,“弾に込めた想い”恋花,ALL/SE37-21,320 円,remaining:◯
0,“旬なリリィ”瑤,ALL/SE37-22,220 円,remaining:◯
0,“ヘルヴォル”千香瑠,ALL/SE37-23,320 円,remaining:◯
0,“グラン・エプレ”叶星,ALL/SE37-24,420 円,remaining:◯
0,“旬なリリィ”高嶺,ALL/SE37-25,220 円,remaining:◯
0,“たまりませんーーっ！”紅巴,ALL/SE37-26,220 円,remaining:◯
0,“ユニコーンがいてもおかしくない！”灯莉,ALL/SE37-27,220 円,remaining:◯
0,“グラン・エプレ”姫歌,ALL/SE37-28,320 円,remaining:◯
0,“レギオン、集結” 梨璃,ALL/SE37-P01S,"1,980 円",remaining:◯
0,“レギオン、集結” 一葉,ALL/SE37-P02S,"1,480 円",remaining:×
0,“レギオン、集結” 叶星,ALL/SE37-P03S,"2,480 円",remaining:◯
