,card_name,card_num,price,status
0,美姫 ナーベ(サイン入り),OVL/S62-001SP,"6,980 円",remaining:×
0,英雄の中の英雄 モモン(サイン入り),OVL/S62-002SP,"3,980 円",remaining:1pcs
0,頼りない大自然の使者 マーレ(サイン入り),OVL/S62-027SP,"4,980 円",remaining:2pcs
0,惜しみない狂愛 アルベド(サイン入り),OVL/S62-028SP,"49,800 円",remaining:×
0,負けん気溢れる名調教師 アウラ(サイン入り),OVL/S62-029SP,"5,980 円",remaining:×
0,鮮血の戦乙女 シャルティア(サイン入り),OVL/S62-051SP,"9,980 円",remaining:1pcs
0,超越者 アインズ(サイン入り),OVL/S62-053SP,"5,980 円",remaining:1pcs
0,“蒼の薔薇”イビルアイ(サイン入り),OVL/S62-076SP,"9,980 円",remaining:×
0,黄金の姫 ラナー(サイン入り),OVL/S62-077SP,"5,980 円",remaining:×
0,無窮の献身 アルベド(サイン入り),OVL/S62-T09SP,"248,000 円",remaining:×
0,死の支配者 アインズ(サイン入り),OVL/S62-T17SP,"19,800 円",remaining:×
0,伝説の幕開け,OVL/S62-023R,320 円,remaining:6pcs
0,ゲヘナ,OVL/S62-024R,420 円,remaining:1pcs
0,鋼の執事,OVL/S62-025R,320 円,remaining:×
0,慈悲深き純白の悪魔,OVL/S62-048R,"1,480 円",remaining:4pcs
0,女の本性,OVL/S62-049R,500 円,remaining:5pcs
0,双子の守護者,OVL/S62-050R,500 円,remaining:2pcs
0,〈心臓掌握〉,OVL/S62-073R,680 円,remaining:4pcs
0,シャルティア復活,OVL/S62-074R,"1,480 円",remaining:×
0,スポイトランス,OVL/S62-075R,500 円,remaining:×
0,極大級魔法詠唱者,OVL/S62-098R,"1,280 円",remaining:4pcs
0,漆黒の英雄,OVL/S62-099R,420 円,remaining:1pcs
0,凍河の支配者,OVL/S62-100R,320 円,remaining:×
0,守護者統括 アルベド,OVL/S62-T12R,680 円,remaining:×
0,慈悲深い統治者 アインズ,OVL/S62-T14R,680 円,remaining:×
0,深紅の蹂躙者 シャルティア,OVL/S62-T16R,680 円,remaining:×
0,ナザリックの仮メイド ツアレ,OVL/S62-004S,"1,280 円",remaining:4pcs
0,ツアレ救出作戦 セバス,OVL/S62-006S,220 円,remaining:6pcs
0,ナザリックの価値観 ナーベ,OVL/S62-007S,"1,480 円",remaining:1pcs
0,魔王 ヤルダバオト,OVL/S62-008S,220 円,remaining:×
0,ナザリック地下大墳墓の主人 アインズ,OVL/S62-026S,"1,780 円",remaining:×
0,宝物殿の守護者 パンドラズ・アクター,OVL/S62-031S,220 円,remaining:4pcs
0,デス・ナイト,OVL/S62-032S,220 円,remaining:7pcs
0,女の闘い アルベド,OVL/S62-033S,420 円,remaining:4pcs
0,果てなき忠誠 アルベド,OVL/S62-052S,"3,980 円",remaining:1pcs
0,最強の魔法詠唱者 アインズ,OVL/S62-054S,500 円,remaining:×
0,玉座を守るもの アルベド,OVL/S62-055S,"2,980 円",remaining:2pcs
0,守護者の本領 シャルティア,OVL/S62-057S,420 円,remaining:1pcs
0,白鱗の美女 クルシュ(エラッタ前),OVL/S62-079S,220 円,remaining:3pcs
0,“蒼の薔薇”ラキュース,OVL/S62-080S,320 円,remaining:×
0,誇り高き武人 コキュートス(エラッタ前),OVL/S62-081S,220 円,remaining:1pcs
0,新たな伝説 モモン,OVL/S62-082S,320 円,remaining:4pcs
0,死の支配者 アインズ,OVL/S62-T17S,220 円,remaining:9pcs
0,終幕の時,OVL/S62-T19S,120 円,remaining:◯
0,美姫 ナーベ,OVL/S62-001,220 円,remaining:◯
0,英雄の中の英雄 モモン,OVL/S62-002,220 円,remaining:◯
0,ナザリック地下大墳墓の主人 アインズ,OVL/S62-026,"1,480 円",remaining:3pcs
0,頼りない大自然の使者 マーレ,OVL/S62-027,320 円,remaining:◯
0,惜しみない狂愛 アルベド,OVL/S62-028,320 円,remaining:◯
0,負けん気溢れる名調教師 アウラ,OVL/S62-029,980 円,remaining:4pcs
0,鮮血の戦乙女 シャルティア,OVL/S62-051,"1,480 円",remaining:2pcs
0,果てなき忠誠 アルベド,OVL/S62-052,500 円,remaining:◯
0,超越者 アインズ,OVL/S62-053,220 円,remaining:◯
0,“蒼の薔薇”イビルアイ,OVL/S62-076,420 円,remaining:◯
0,蟲使い エントマ,OVL/S62-003,80 円,remaining:◯
0,ナザリックの仮メイド ツアレ,OVL/S62-004,220 円,remaining:◯
0,人間への称賛 モモン,OVL/S62-005,120 円,remaining:◯
0,ツアレ救出作戦 セバス,OVL/S62-006,80 円,remaining:◯
0,ナザリックの価値観 ナーベ,OVL/S62-007,180 円,remaining:◯
0,魔王 ヤルダバオト,OVL/S62-008,80 円,remaining:◯
0,感情の抑制 アインズ,OVL/S62-030,80 円,remaining:◯
0,宝物殿の守護者 パンドラズ・アクター,OVL/S62-031,80 円,remaining:◯
0,デス・ナイト,OVL/S62-032,120 円,remaining:◯
0,女の闘い アルベド,OVL/S62-033,120 円,remaining:◯
0,凍りつく時,OVL/S62-047,180 円,remaining:◯
0,最強の魔法詠唱者 アインズ,OVL/S62-054,80 円,remaining:◯
0,玉座を守るもの アルベド,OVL/S62-055,220 円,remaining:◯
0,可愛らしい失態 アルベド,OVL/S62-056,120 円,remaining:◯
0,守護者の本領 シャルティア,OVL/S62-057,80 円,remaining:◯
0,流れ星の指輪,OVL/S62-071,120 円,remaining:◯
0,黄金の姫 ラナー,OVL/S62-077,120 円,remaining:◯
0,乙女なココロ イビルアイ,OVL/S62-078,120 円,remaining:◯
0,白鱗の美女 クルシュ(エラッタ前),OVL/S62-079,80 円,remaining:◯
0,“蒼の薔薇”ラキュース,OVL/S62-080,120 円,remaining:◯
0,誇り高き武人 コキュートス(エラッタ前),OVL/S62-081,80 円,remaining:◯
0,新たな伝説 モモン,OVL/S62-082,120 円,remaining:◯
0,王都侵入 シャルティア,OVL/S62-009,420 円,remaining:◯
0,不敗の戦士 モモン,OVL/S62-010,50 円,remaining:◯
0,智謀の悪魔 デミウルゴス,OVL/S62-011,50 円,remaining:◯
0,冷酷な反応 ナーベ,OVL/S62-012,180 円,remaining:◯
0,ゲヘナの全容 デミウルゴス,OVL/S62-013,50 円,remaining:◯
0,幸せなキス,OVL/S62-021,50 円,remaining:◯
0,森の賢王,OVL/S62-022,80 円,remaining:◯
0,黒歴史の発露 パンドラズ・アクター,OVL/S62-034,50 円,remaining:◯
0,大切な時計 アウラ,OVL/S62-035,80 円,remaining:◯
0,ご褒美の指輪 マーレ,OVL/S62-036,50 円,remaining:◯
0,魅惑の爺やポジション コキュートス,OVL/S62-037,180 円,remaining:◯
0,敬愛と恍惚 アルベド,OVL/S62-038,50 円,remaining:◯
0,絶対の忠誠 デミウルゴス,OVL/S62-039,50 円,remaining:◯
0,戦闘メイドたちのお姉さん ユリ,OVL/S62-040,50 円,remaining:◯
0,第8階層の守護者 ヴィクティム,OVL/S62-058,50 円,remaining:◯
0,ヴァンパイア・ブライド,OVL/S62-059,980 円,remaining:◯
0,手加減の正体 アインズ,OVL/S62-060,80 円,remaining:◯
0,女の闘い シャルティア,OVL/S62-061,50 円,remaining:◯
0,吸血鬼の真祖 シャルティア,OVL/S62-062,980 円,remaining:◯
0,第4階層の守護者 ガルガンチュア,OVL/S62-063,50 円,remaining:◯
0,〈失墜する天空〉,OVL/S62-072,50 円,remaining:◯
0,護国の戦い モモン,OVL/S62-083,120 円,remaining:◯
0,異形の多頭水蛇 ロロロ,OVL/S62-084,50 円,remaining:◯
0,蜥蜴人最強の戦士 ザリュース(エラッタ前),OVL/S62-085,50 円,remaining:◯
