,card_name,card_num,price,status
0,ナザリック最高の智者 デミウルゴス(サイン入り),OVL/S99-001SP,"1,980 円",remaining:7pcs
0,本当の力 ナーベラル(サイン入り),OVL/S99-002SP,"3,480 円",remaining:×
0,ダークエルフの魔獣使い アウラ(サイン入り),OVL/S99-026SP,"6,980 円",remaining:2pcs
0,気弱な階層守護者 マーレ(サイン入り),OVL/S99-027SP,"2,980 円",remaining:2pcs
0,魔導王 アインズ(サイン入り),OVL/S99-028SP,"12,800 円",remaining:3pcs
0,可憐な吸血鬼 シャルティア(サイン入り),OVL/S99-053SP,"12,800 円",remaining:×
0,主へと捧ぐ愛 アルベド(サイン入り),OVL/S99-054SP,"24,800 円",remaining:×
0,四腕の武人 コキュートス(サイン入り),OVL/S99-076SP,"3,980 円",remaining:3pcs
0,建国宣言の玉座 アルベド(サイン入り),OVL/S99-025SEC,"69,800 円",remaining:×
0,配下への思い アインズ(サイン入り),OVL/S99-052SEC,"34,800 円",remaining:×
0,作戦の真意,OVL/S99-022R,320 円,remaining:×
0,残忍な素顔,OVL/S99-023R,320 円,remaining:6pcs
0,逃走の果て,OVL/S99-024R,320 円,remaining:×
0,黒き豊穣への貢,OVL/S99-049R,"1,280 円",remaining:2pcs
0,帝国への使者,OVL/S99-050R,180 円,remaining:◯
0,王を守護するもの,OVL/S99-051R,220 円,remaining:4pcs
0,抑えきれない感情,OVL/S99-073R,"1,480 円",remaining:×
0,屈辱の罰,OVL/S99-074R,980 円,remaining:×
0,アインズ・ウール・ゴウン魔導国,OVL/S99-075R,680 円,remaining:2pcs
0,忘れていた感情,OVL/S99-098R,220 円,remaining:3pcs
0,最後の手段,OVL/S99-099R,220 円,remaining:5pcs
0,男性守護者の休息,OVL/S99-100R,220 円,remaining:10pcs
0,魔導国建国 デミウルゴス,OVL/S99-003S,420 円,remaining:3pcs
0,人間との交流 ルプスレギナ,OVL/S99-004S,220 円,remaining:7pcs
0,美しき冒険者 ナーベ,OVL/S99-005S,320 円,remaining:2pcs
