,card_name,card_num,price,status
0,皆を見送る役目 かなで(サイン入り),AB/W11-001SP,"12,800 円",remaining:×
0,戦略的な挑発 ゆり(サイン入り),AB/W11-051SP,"3,480 円",remaining:×
0,手作り料理の毎日 クド(サイン入り),KW/W11-026SP,"4,980 円",remaining:×
0,宇宙への憧れ クド(サイン入り),KW/W11-076SP,"4,980 円",remaining:×
0,たくさんのやりたいこと ユイ,AB/W11-006R,220 円,remaining:4pcs
0,お姉ちゃんの役割 ゆり,AB/W11-052R,220 円,remaining:1pcs
0,夢を追う女の子 椎菜,KW/W11-027R,220 円,remaining:×
0,『星屑』氷室,KW/W11-077R,580 円,remaining:1pcs
0,結弦の心臓 かなで,AB/W11-002S,320 円,remaining:×
0,佇むかなで,AB/W11-007S,220 円,remaining:×
0,百人力の手練 椎名,AB/W11-054S,780 円,remaining:2pcs
0,理不尽な運命への抵抗 ゆり,AB/W11-057S,"1,480 円",remaining:5pcs
0,几帳面な佳奈多,KW/W11-031S,120 円,remaining:×
0,果てしない高さへの一歩 クド,KW/W11-032S,220 円,remaining:×
0,耳年増 あーちゃん先輩,KW/W11-078S,220 円,remaining:×
0,『すき』のはぐるま クド,KW/W11-080S,220 円,remaining:1pcs
0,皆を見送る役目 かなで,AB/W11-001,500 円,remaining:4pcs
0,結弦の心臓 かなで,AB/W11-002,220 円,remaining:9pcs
0,戦略的な挑発 ゆり,AB/W11-051,320 円,remaining:◯
0,お姉ちゃんの役割 ゆり,AB/W11-052,80 円,remaining:◯
0,手作り料理の毎日 クド,KW/W11-026,420 円,remaining:10pcs
0,夢を追う女の子 椎菜,KW/W11-027,120 円,remaining:◯
0,宇宙への憧れ クド,KW/W11-076,120 円,remaining:9pcs
0,『星屑』氷室,KW/W11-077,320 円,remaining:◯
0,ガルデモのアシスタント ユイ,AB/W11-003,80 円,remaining:◯
0,一人きりの天使,AB/W11-004,80 円,remaining:◯
0,麦わら帽子のかなで,AB/W11-005,80 円,remaining:◯
0,たくさんのやりたいこと ユイ,AB/W11-006,80 円,remaining:◯
0,佇むかなで,AB/W11-007,120 円,remaining:◯
0,共同戦線 かなで&ゆり,AB/W11-053,180 円,remaining:7pcs
0,百人力の手練 椎名,AB/W11-054,320 円,remaining:◯
0,“SSS”ゆり,AB/W11-055,80 円,remaining:◯
0,過去を求める音無,AB/W11-056,80 円,remaining:◯
0,理不尽な運命への抵抗 ゆり,AB/W11-057,320 円,remaining:◯
0,木陰の膝枕 クド,KW/W11-028,320 円,remaining:7pcs
0,有月 椎菜,KW/W11-029,80 円,remaining:◯
0,信じること 理樹&クド,KW/W11-030,80 円,remaining:◯
0,几帳面な佳奈多,KW/W11-031,80 円,remaining:◯
0,果てしない高さへの一歩 クド,KW/W11-032,120 円,remaining:8pcs
0,耳年増 あーちゃん先輩,KW/W11-078,80 円,remaining:6pcs
0,風船の光 クド,KW/W11-079,120 円,remaining:4pcs
0,『すき』のはぐるま クド,KW/W11-080,120 円,remaining:4pcs
0,クドの幼馴染 氷室,KW/W11-081,80 円,remaining:◯
0,水着のクド,KW/W11-082,80 円,remaining:◯
0,生徒会長 かなで,AB/W11-008,320 円,remaining:◯
0,自称神 直井,AB/W11-009,50 円,remaining:◯
0,戦う理由 かなで,AB/W11-010,50 円,remaining:◯
0,マウントポジション ユイ,AB/W11-011,50 円,remaining:◯
0,ガルデモのリーダー 岩沢,AB/W11-012,50 円,remaining:◯
0,歌いたかった歌,AB/W11-020,120 円,remaining:◯
0,天使の麻婆豆腐,AB/W11-021,180 円,remaining:◯
0,葛藤する音無,AB/W11-058,50 円,remaining:◯
0,オペレーター 遊佐,AB/W11-059,80 円,remaining:◯
0,想いに応える日向,AB/W11-060,50 円,remaining:◯
0,司令官 ゆり,AB/W11-061,50 円,remaining:◯
0,この世界からの卒業 ゆり,AB/W11-062,50 円,remaining:◯
0,推進エンジン,AB/W11-070,80 円,remaining:◯
0,オペレーション・トルネード,AB/W11-071,500 円,remaining:×
0,クドの彼氏 理樹,KW/W11-033,50 円,remaining:◯
0,くんくんクド,KW/W11-034,80 円,remaining:×
0,デートを満喫 クド,KW/W11-035,80 円,remaining:◯
0,二人きり 理樹&クド,KW/W11-036,80 円,remaining:◯
0,可愛い彼女 クド,KW/W11-037,180 円,remaining:◯
0,相部屋のひととき,KW/W11-045,50 円,remaining:◯
0,ランニング,KW/W11-046,50 円,remaining:◯
0,猛勉強クド,KW/W11-083,220 円,remaining:6pcs
0,福寿草の香り 氷室,KW/W11-084,50 円,remaining:◯
0,悪だくみ あーちゃん先輩,KW/W11-085,50 円,remaining:◯
0,家庭科部の部長 あーちゃん先輩,KW/W11-086,50 円,remaining:◯
0,ロケット発射実験 氷室,KW/W11-087,50 円,remaining:◯
0,凄惨なニュース,KW/W11-095,50 円,remaining:◯
0,Icarus,KW/W11-096,50 円,remaining:8pcs
