,card_name,card_num,price,status
0,“世界を彩る役者”瀬田薫(サイン入り),BD/W54-001SSP,"14,800 円",remaining:1pcs
0,“モデル・モード”若宮イヴ(サイン入り),BD/W54-002SSP,"7,980 円",remaining:2pcs
0,“船上の名探偵”弦巻こころ(サイン入り),BD/W54-003SSP,"24,800 円",remaining:×
0,“みんなでせーの!”北沢はぐみ(サイン入り),BD/W54-004SSP,"7,980 円",remaining:×
0,“愛の告白”奥沢美咲(サイン入り),BD/W54-005SSP,"5,980 円",remaining:2pcs
0,“踏み出した一歩”松原花音(サイン入り),BD/W54-007SSP,"7,980 円",remaining:×
0,“夕影の思い出”美竹蘭(サイン入り),BD/W54-026SSP,"14,800 円",remaining:×
0,“受け止めたい思い”青葉モカ(サイン入り),BD/W54-027SSP,"34,800 円",remaining:3pcs
0,“素顔の姿”大和麻弥(サイン入り),BD/W54-028SSP,"7,980 円",remaining:3pcs
0,“パジャマ姿の患者さん”宇田川巴(サイン入り),BD/W54-029SSP,"5,980 円",remaining:×
0,“3人で水遊び”上原ひまり(サイン入り),BD/W54-030SSP,"14,800 円",remaining:×
0,“はじまりはいつも”羽沢つぐみ(サイン入り),BD/W54-031SSP,"7,980 円",remaining:×
0,“憧れのお姉ちゃん”牛込りみ(サイン入り),BD/W54-051SSP,"9,980 円",remaining:2pcs
0,“はじまりの音”戸山香澄(サイン入り),BD/W54-052SSP,"9,980 円",remaining:×
0,“必殺アイドルポーズ☆”丸山彩(サイン入り),BD/W54-053SSP,"24,800 円",remaining:2pcs
0,“真っ白な居場所”白鷺千聖(サイン入り),BD/W54-056SSP,"9,980 円",remaining:3pcs
0,“1日だけの新婦”山吹沙綾(サイン入り),BD/W54-057SSP,"12,800 円",remaining:×
0,“純粋な熱意”白金燐子(サイン入り),BD/W54-069SSP,"19,800 円",remaining:×
0,“鳥籠の歌姫”湊友希那(サイン入り),BD/W54-070SSP,"348,000 円",remaining:×
0,“しあわせの共有”花園たえ(サイン入り),BD/W54-071SSP,"7,980 円",remaining:×
0,“必要不可欠な存在”今井リサ(サイン入り),BD/W54-073SSP,"39,800 円",remaining:2pcs
0,“巴だけの看護師さん”宇田川あこ(サイン入り),BD/W54-074SSP,"6,980 円",remaining:4pcs
0,“二人で過ごす七夕”氷川紗夜(サイン入り),BD/W54-075SSP,"19,800 円",remaining:2pcs
0,“可愛いともだち”市ヶ谷有咲(サイン入り),BD/W54-076SSP,"29,800 円",remaining:×
0,“未知数の存在”氷川日菜(サイン入り),BD/W54-077SSP,"9,980 円",remaining:3pcs
0,“世界を彩る役者”瀬田薫(サイン入り),BD/W54-001SPA,"2,980 円",remaining:5pcs
0,“世界を彩る役者”瀬田薫(サイン入り),BD/W54-001SPB,"2,980 円",remaining:4pcs
0,“モデル・モード”若宮イヴ(サイン入り),BD/W54-002SPA,"1,480 円",remaining:2pcs
