,card_name,card_num,price,status
0,"""CLEAR""木之本桜(サイン入り)",CCS/W66-055SSP,"59,800 円",remaining:×
0,"""チャイナ風コスチューム""木之本桜(サイン入り)",CCS/W66-001SP,"24,800 円",remaining:×
0,"""クロウカードの守護者""ケロちゃん(サイン入り)",CCS/W66-002SP,"7,980 円",remaining:×
0,"""真剣なまなざし""李小狼(サイン入り)",CCS/W66-026SP,"5,980 円",remaining:×
0,"""一番のお友達""大道寺知世(サイン入り)",CCS/W66-053SP,"9,980 円",remaining:×
0,"""時計の国の""詩之本秋穂(サイン入り)",CCS/W66-076SP,"4,980 円",remaining:×
0,"""力を信じて""木之本桜(サイン入り)",CCS/W66-T02SP,"59,800 円",remaining:×
0,さくら色の毎日,CCS/W66-023R,500 円,remaining:5pcs
0,おいしくなあれ,CCS/W66-024R,500 円,remaining:2pcs
0,護る者同士,CCS/W66-025R,220 円,remaining:2pcs
0,空中散歩,CCS/W66-050R,"1,280 円",remaining:3pcs
0,護るための力,CCS/W66-051R,420 円,remaining:1pcs
0,穏やかなひと時,CCS/W66-052R,220 円,remaining:1pcs
0,透明なきもち,CCS/W66-072R,"4,980 円",remaining:2pcs
0,宝物の毎日,CCS/W66-073R,"4,980 円",remaining:1pcs
0,最高の一枚を,CCS/W66-074R,680 円,remaining:5pcs
0,夢での邂逅,CCS/W66-098R,500 円,remaining:1pcs
0,禁忌の魔法,CCS/W66-099R,220 円,remaining:5pcs
0,正反対の二人,CCS/W66-100R,320 円,remaining:4pcs
0,"""わたしにできること""桜＆知世",CCS/W66-T05R,"1,280 円",remaining:3pcs
0,"""星の鍵""木之本桜",CCS/W66-T14R,980 円,remaining:1pcs
0,"""備えあれば""大道寺知世",CCS/W66-T18R,980 円,remaining:3pcs
0,"""チアリーダー""木之本桜",CCS/W66-003S,"1,280 円",remaining:7pcs
0,"""切り札""木之本桜",CCS/W66-004S,500 円,remaining:3pcs
0,"""ふしぎなカード""木之本桜",CCS/W66-005S,680 円,remaining:2pcs
0,"""いっしょに通学""桜&ケロちゃん",CCS/W66-006S,320 円,remaining:6pcs
0,"""お菓子作り""木之本桜",CCS/W66-008S,780 円,remaining:3pcs
0,"""羽ばたく翼""木之本桜",CCS/W66-027S,"1,480 円",remaining:2pcs
0,"""『記録』せよ!""木之本桜",CCS/W66-028S,980 円,remaining:3pcs
0,"""火神招来!""李小狼",CCS/W66-029S,320 円,remaining:2pcs
0,"""伝えたい気持ち""木之本桜",CCS/W66-031S,680 円,remaining:2pcs
0,"""えんび服風コスチューム""木之本桜",CCS/W66-054S,"2,980 円",remaining:1pcs
0,"""本場の餃子""木之本桜",CCS/W66-057S,780 円,remaining:1pcs
0,"""ピエロ風コスチューム""木之本桜",CCS/W66-058S,"1,480 円",remaining:5pcs
0,"""おまかせあれ!""大道寺知世",CCS/W66-060S,320 円,remaining:5pcs
0,"""お土産のクッキー""木之本桜",CCS/W66-075S,420 円,remaining:3pcs
0,"""カエルさんコスチューム""木之本桜",CCS/W66-079S,980 円,remaining:4pcs
0,"""恋する""詩之本秋穂",CCS/W66-080S,420 円,remaining:5pcs
0,"""新たな物語""木之本桜",CCS/W66-T08S,320 円,remaining:7pcs
0,新たな始まり,CCS/W66-T10S,120 円,remaining:7pcs
0,"""チャイナ風コスチューム""木之本桜",CCS/W66-001,680 円,remaining:5pcs
0,"""クロウカードの守護者""ケロちゃん",CCS/W66-002,500 円,remaining:◯
0,"""チアリーダー""木之本桜",CCS/W66-003,180 円,remaining:◯
0,"""真剣なまなざし""李小狼",CCS/W66-026,220 円,remaining:◯
0,"""羽ばたく翼""木之本桜",CCS/W66-027,220 円,remaining:◯
0,"""一番のお友達""大道寺知世",CCS/W66-053,680 円,remaining:1pcs
0,"""えんび服風コスチューム""木之本桜",CCS/W66-054,"1,280 円",remaining:×
0,"""CLEAR""木之本桜",CCS/W66-055,980 円,remaining:1pcs
0,"""お土産のクッキー""木之本桜",CCS/W66-075,220 円,remaining:◯
0,"""時計の国の""詩之本秋穂",CCS/W66-076,180 円,remaining:◯
0,"""切り札""木之本桜",CCS/W66-004,80 円,remaining:◯
0,"""ふしぎなカード""木之本桜",CCS/W66-005,180 円,remaining:◯
0,"""いっしょに通学""桜&ケロちゃん",CCS/W66-006,80 円,remaining:◯
0,桜＆ケロちゃん,CCS/W66-007,80 円,remaining:◯
0,"""お菓子作り""木之本桜",CCS/W66-008,80 円,remaining:◯
0,咄嗟の防御,CCS/W66-020,180 円,remaining:◯
0,"""『記録』せよ!""木之本桜",CCS/W66-028,220 円,remaining:◯
0,"""火神招来!""李小狼",CCS/W66-029,80 円,remaining:◯
0,"""二人ならば""桜＆小狼",CCS/W66-030,80 円,remaining:◯
0,"""伝えたい気持ち""木之本桜",CCS/W66-031,80 円,remaining:◯
0,"""いっしょに通学""桜&知世",CCS/W66-032,120 円,remaining:◯
0,"""大事なこと""大道寺知世",CCS/W66-056,80 円,remaining:◯
0,"""本場の餃子""木之本桜",CCS/W66-057,120 円,remaining:◯
0,"""ピエロ風コスチューム""木之本桜",CCS/W66-058,120 円,remaining:◯
0,"""なかよしのふたり""桜＆知世",CCS/W66-059,80 円,remaining:◯
0,"""おまかせあれ!""大道寺知世",CCS/W66-060,120 円,remaining:◯
0,"""凛々しい王子様""木之本桜",CCS/W66-061,120 円,remaining:◯
0,"""夢の時計""木之本桜",CCS/W66-077,80 円,remaining:◯
0,"""良き助言者""月",CCS/W66-078,80 円,remaining:◯
0,"""カエルさんコスチューム""木之本桜",CCS/W66-079,220 円,remaining:◯
