,card_name,card_num,price,status
0,“爆炎弾七連”ルヴィア(サイン入り),PI/SE18-01SP,"12,800 円",remaining:×
0,“轟風弾五連”凛(サイン入り),PI/SE18-02SP,"12,800 円",remaining:×
0,“Kaleidoscope”イリヤ(サイン入り),PI/SE18-17SP,"19,800 円",remaining:×
0,“Kaleidoscope”美遊(サイン入り),PI/SE18-18SP,"19,800 円",remaining:×
0,“爆炎弾七連”ルヴィア,PI/SE18-01,80 円,remaining:◯
0,“轟風弾五連”凛,PI/SE18-02,120 円,remaining:◯
0,普通の女の子 イリヤ,PI/SE18-09,120 円,remaining:◯
0,カレイドの魔法少女 イリヤ,PI/SE18-10,120 円,remaining:◯
0,完璧超人? 美遊,PI/SE18-11,120 円,remaining:◯
0,メイド服の美遊,PI/SE18-12,120 円,remaining:◯
0,夢見がちな少女 イリヤ,PI/SE18-13,780 円,remaining:◯
0,“ママ”アイリスフィール,PI/SE18-14,80 円,remaining:◯
0,夜の終わりに イリヤ,PI/SE18-15,80 円,remaining:◯
0,現実的な美遊,PI/SE18-16,420 円,remaining:◯
0,“Kaleidoscope”イリヤ,PI/SE18-17,420 円,remaining:◯
0,“Kaleidoscope”美遊,PI/SE18-18,420 円,remaining:◯
0,カレイドルビー 凛,PI/SE18-03,120 円,remaining:5pcs
0,元マスター 凛,PI/SE18-04,50 円,remaining:◯
0,元マスター ルヴィア,PI/SE18-05,50 円,remaining:◯
0,高飛車なお嬢様 ルヴィア,PI/SE18-06,80 円,remaining:◯
0,カレイドサファイア ルヴィア,PI/SE18-07,50 円,remaining:◯
0,時計塔の首席候補 凛,PI/SE18-08,120 円,remaining:◯
0,魔法の練習 イリヤ,PI/SE18-19,50 円,remaining:◯
0,マジカルサファイア,PI/SE18-20,50 円,remaining:◯
0,カレイドの魔法少女 美遊,PI/SE18-21,120 円,remaining:◯
0,アインツベルン家 セラ&リズ,PI/SE18-22,50 円,remaining:◯
0,“約束する”イリヤ,PI/SE18-23,120 円,remaining:◯
0,突然の転校生 美遊,PI/SE18-24,50 円,remaining:◯
0,私服の美遊,PI/SE18-25,50 円,remaining:◯
0,マジカルルビー,PI/SE18-26,50 円,remaining:◯
0,“信じる”美遊,PI/SE18-27,50 円,remaining:◯
0,導かれた運命 イリヤ,PI/SE18-28,50 円,remaining:4pcs
0,パジャマのイリヤ,PI/SE18-29,50 円,remaining:8pcs
0,デレデレ美遊,PI/SE18-30,50 円,remaining:◯
0,もう一人の魔法少女 美遊,PI/SE18-31,50 円,remaining:◯
0,“友達”イリヤ&美遊,PI/SE18-32,80 円,remaining:◯
0,誕生! 魔法少女!,PI/SE18-33,80 円,remaining:◯
0,クラスカード アーチャー,PI/SE18-34,80 円,remaining:◯
0,クラスカード ランサー,PI/SE18-35,80 円,remaining:◯
0,クラスカード セイバー,PI/SE18-36,320 円,remaining:◯
0,“爆炎弾七連”ルヴィア(ホロ),PI/SE18-01,180 円,remaining:◯
0,“轟風弾五連”凛(ホロ),PI/SE18-02,180 円,remaining:◯
0,普通の女の子 イリヤ(ホロ),PI/SE18-09,180 円,remaining:◯
0,カレイドの魔法少女 イリヤ(ホロ),PI/SE18-10,180 円,remaining:9pcs
0,完璧超人? 美遊(ホロ),PI/SE18-11,180 円,remaining:◯
0,メイド服の美遊(ホロ),PI/SE18-12,180 円,remaining:7pcs
0,夢見がちな少女 イリヤ(ホロ),PI/SE18-13,980 円,remaining:2pcs
0,“ママ”アイリスフィール(ホロ),PI/SE18-14,120 円,remaining:◯
0,夜の終わりに イリヤ(ホロ),PI/SE18-15,120 円,remaining:◯
0,現実的な美遊(ホロ),PI/SE18-16,780 円,remaining:1pcs
0,“Kaleidoscope”イリヤ(ホロ),PI/SE18-17,680 円,remaining:◯
0,“Kaleidoscope”美遊(ホロ),PI/SE18-18,680 円,remaining:5pcs
0,カレイドルビー 凛(ホロ),PI/SE18-03,180 円,remaining:×
0,元マスター 凛(ホロ),PI/SE18-04,80 円,remaining:◯
0,元マスター ルヴィア(ホロ),PI/SE18-05,80 円,remaining:◯
0,高飛車なお嬢様 ルヴィア(ホロ),PI/SE18-06,120 円,remaining:◯
0,カレイドサファイア ルヴィア(ホロ),PI/SE18-07,80 円,remaining:◯
0,時計塔の首席候補 凛(ホロ),PI/SE18-08,180 円,remaining:8pcs
0,魔法の練習 イリヤ(ホロ),PI/SE18-19,80 円,remaining:◯
0,マジカルサファイア(ホロ),PI/SE18-20,80 円,remaining:◯
0,カレイドの魔法少女 美遊(ホロ),PI/SE18-21,180 円,remaining:5pcs
0,アインツベルン家 セラ&リズ(ホロ),PI/SE18-22,80 円,remaining:◯
0,“約束する”イリヤ(ホロ),PI/SE18-23,180 円,remaining:×
0,突然の転校生 美遊(ホロ),PI/SE18-24,80 円,remaining:10pcs
0,私服の美遊(ホロ),PI/SE18-25,80 円,remaining:◯
0,マジカルルビー(ホロ),PI/SE18-26,80 円,remaining:◯
0,“信じる”美遊(ホロ),PI/SE18-27,80 円,remaining:×
0,導かれた運命 イリヤ(ホロ),PI/SE18-28,80 円,remaining:◯
0,パジャマのイリヤ(ホロ),PI/SE18-29,80 円,remaining:9pcs
0,デレデレ美遊(ホロ),PI/SE18-30,80 円,remaining:◯
0,もう一人の魔法少女 美遊(ホロ),PI/SE18-31,80 円,remaining:×
0,“友達”イリヤ&美遊(ホロ),PI/SE18-32,120 円,remaining:◯
0,誕生! 魔法少女!(ホロ),PI/SE18-33,120 円,remaining:◯
0,クラスカード アーチャー(ホロ),PI/SE18-34,120 円,remaining:◯
0,クラスカード ランサー(ホロ),PI/SE18-35,120 円,remaining:◯
0,クラスカード セイバー(ホロ),PI/SE18-36,420 円,remaining:2pcs
0,友達と一緒の休日 イリヤ,PI/SE18-P01,180 円,remaining:9pcs
