,card_name,card_num,price,status
0,“約束された勝利の剣”セイバー(サイン入り),FS/S36-002SP,"8,980 円",remaining:×
0,“ロンドンへの誘い”凛(サイン入り),FS/S36-048SP,"9,980 円",remaining:×
0,“理想の絶望”アーチャー(サイン入り),FS/S36-049SP,"7,980 円",remaining:×
0,“雪の妖精”イリヤ(サイン入り),FS/S36-072SP,"7,980 円",remaining:×
0,“投影開始”士郎,FS/S36-001R,680 円,remaining:◯
0,“無限の剣製”士郎,FS/S36-003R,"1,280 円",remaining:×
0,“戦闘モード”ライダー,FS/S36-031R,"1,980 円",remaining:×
0,“主と従者”凛&アーチャー,FS/S36-050R,"1,980 円",remaining:×
0,“超一級の魔術師”凛,FS/S36-051R,500 円,remaining:×
0,“信頼の関係”イリヤ&バーサーカー,FS/S36-076R,780 円,remaining:×
0,“令呪による召喚”士郎,FS/S36-004S,500 円,remaining:7pcs
0,“屈強な力”セイバー,FS/S36-007S,220 円,remaining:×
0,“王の財宝”ギルガメッシュ,FS/S36-008S,"1,980 円",remaining:×
0,“無限の剣製”,FS/S36-028S,"2,980 円",remaining:×
0,“刺し穿つ死棘の槍”ランサー,FS/S36-034S,320 円,remaining:3pcs
0,“二刀使い”アーチャー,FS/S36-057S,680 円,remaining:5pcs
0,“熾天覆う七つの円環”,FS/S36-069S,"1,480 円",remaining:×
0,“開戦の狼煙”イリヤ,FS/S36-073S,980 円,remaining:5pcs
0,“投影開始”士郎,FS/S36-001,420 円,remaining:◯
0,“約束された勝利の剣”セイバー,FS/S36-002,980 円,remaining:9pcs
0,“無限の剣製”士郎,FS/S36-003,420 円,remaining:◯
0,“戦闘モード”ライダー,FS/S36-031,780 円,remaining:◯
0,“ロンドンへの誘い”凛,FS/S36-048,320 円,remaining:◯
0,“理想の絶望”アーチャー,FS/S36-049,320 円,remaining:◯
0,“主と従者”凛&アーチャー,FS/S36-050,680 円,remaining:◯
0,“雪の妖精”イリヤ,FS/S36-072,120 円,remaining:◯
0,“令呪による召喚”士郎,FS/S36-004,180 円,remaining:◯
0,“契約完了”セイバー,FS/S36-005,120 円,remaining:◯
0,“王の自尊心”ギルガメッシュ,FS/S36-006,120 円,remaining:◯
0,“屈強な力”セイバー,FS/S36-007,120 円,remaining:◯
0,“王の財宝”ギルガメッシュ,FS/S36-008,680 円,remaining:9pcs
0,“本気の強襲”士郎,FS/S36-009,120 円,remaining:◯
0,“献身的な後輩”桜,FS/S36-032,120 円,remaining:◯
0,“冷酷かつ非情”ライダー,FS/S36-033,120 円,remaining:◯
0,“刺し穿つ死棘の槍”ランサー,FS/S36-034,120 円,remaining:◯
0,“超一級の魔術師”凛,FS/S36-051,120 円,remaining:◯
0,“遠坂の継承者”凛,FS/S36-052,180 円,remaining:◯
0,“反撃の嵐”アーチャー,FS/S36-053,220 円,remaining:◯
0,“偽・螺旋剣”アーチャー,FS/S36-054,120 円,remaining:◯
0,“援護射撃”アーチャー,FS/S36-055,120 円,remaining:◯
0,“才色兼備の優等生”凛,FS/S36-056,120 円,remaining:◯
0,“二刀使い”アーチャー,FS/S36-057,220 円,remaining:◯
0,“開戦の狼煙”イリヤ,FS/S36-073,500 円,remaining:◯
0,“神代の魔術師”キャスター,FS/S36-074,220 円,remaining:◯
0,“悲劇の魔術師”キャスター,FS/S36-075,80 円,remaining:◯
0,“信頼の関係”イリヤ&バーサーカー,FS/S36-076,180 円,remaining:◯
0,“交わらぬ理想”士郎&アーチャー,FS/S36-010,80 円,remaining:×
0,“神造兵装”セイバー,FS/S36-011,120 円,remaining:10pcs
0,“純白のドレス”セイバー,FS/S36-012,50 円,remaining:◯
0,“最優のサーヴァント”セイバー,FS/S36-013,80 円,remaining:10pcs
0,“令呪の使用”士郎,FS/S36-014,80 円,remaining:◯
0,“怒りの拳”士郎,FS/S36-015,180 円,remaining:◯
0,反撃の狼煙,FS/S36-026,80 円,remaining:◯
0,理想の末路,FS/S36-027,50 円,remaining:×
0,“突き穿つ死翔の槍”ランサー,FS/S36-035,50 円,remaining:◯
0,“必殺必中の一撃”ランサー,FS/S36-036,50 円,remaining:◯
0,“穏やかな性格”桜,FS/S36-037,50 円,remaining:◯
0,動揺,FS/S36-044,50 円,remaining:◯
0,最後の別れ,FS/S36-045,50 円,remaining:◯
0,“理想の存在”アーチャー,FS/S36-058,120 円,remaining:◯
0,“宝石魔術”凛,FS/S36-059,80 円,remaining:◯
0,“複雑な想い”凛,FS/S36-060,120 円,remaining:◯
0,“さらなる追撃”アーチャー,FS/S36-061,80 円,remaining:◯
0,“戦いの果て”アーチャー,FS/S36-062,80 円,remaining:◯
0,“全力投球”凛,FS/S36-063,80 円,remaining:◯
0,“偽・螺旋剣”,FS/S36-067,420 円,remaining:◯
0,戦いの終わり,FS/S36-068,80 円,remaining:◯
0,“強固な絆”イリヤ,FS/S36-077,50 円,remaining:◯
0,“最強の戦士”バーサーカー,FS/S36-078,50 円,remaining:◯
0,“王との対峙”イリヤ,FS/S36-079,80 円,remaining:◯
0,“神話の対決”イリヤ,FS/S36-080,50 円,remaining:◯
0,“強靭な意思”バーサーカー,FS/S36-081,120 円,remaining:◯
0,雨の日の出会い,FS/S36-095,120 円,remaining:◯
0,バーサーカーの意志,FS/S36-096,180 円,remaining:◯
0,“敗北の末路”ギルガメッシュ,FS/S36-016,30 円,remaining:◯
0,“神話の対決”ギルガメッシュ,FS/S36-017,30 円,remaining:◯
0,“最大の天敵”ギルガメッシュ,FS/S36-018,30 円,remaining:◯
0,“無限の剣”ギルガメッシュ,FS/S36-019,30 円,remaining:◯
0,“最大級の宝具”ギルガメッシュ,FS/S36-020,30 円,remaining:◯
0,“くじけぬ心”士郎,FS/S36-021,30 円,remaining:◯
0,“新たなる契約”セイバー,FS/S36-022,30 円,remaining:◯
0,“清楚な佇まい”セイバー,FS/S36-023,80 円,remaining:◯
0,“王への挑戦”ギルガメッシュ,FS/S36-024,30 円,remaining:◯
0,“究極の斬撃”セイバー,FS/S36-025,30 円,remaining:◯
0,“戦闘続行”ランサー,FS/S36-038,120 円,remaining:◯
0,“護身術の授業”ルヴィア,FS/S36-039,30 円,remaining:◯
0,“複雑な想い”桜,FS/S36-040,30 円,remaining:◯
0,“不安が心をよぎる”桜,FS/S36-041,30 円,remaining:◯
0,“共同戦線”ランサー,FS/S36-042,30 円,remaining:◯
0,“拠点侵入”慎二,FS/S36-043,30 円,remaining:◯
0,“別れの時”凛,FS/S36-064,30 円,remaining:◯
0,“正面突破”凛,FS/S36-065,50 円,remaining:◯
0,“葛藤の中”アーチャー,FS/S36-066,30 円,remaining:◯
0,“さらなる攻撃”葛木 宗一郎,FS/S36-082,30 円,remaining:5pcs
0,“大魔術”キャスター,FS/S36-083,30 円,remaining:◯
0,“魔術戦”キャスター,FS/S36-084,30 円,remaining:◯
0,“燕返し”アサシン,FS/S36-085,30 円,remaining:◯
0,“繰り出す追撃”葛木 宗一郎,FS/S36-086,30 円,remaining:◯
0,“束の間の休息”イリヤ,FS/S36-087,30 円,remaining:◯
0,“屈強なサーヴァント”バーサーカー,FS/S36-088,30 円,remaining:◯
0,“架空の英霊”アサシン,FS/S36-089,30 円,remaining:◯
0,“最終試験の途中”イリヤ,FS/S36-090,30 円,remaining:◯
0,“望みを果たす”葛木 宗一郎,FS/S36-091,30 円,remaining:◯
0,“来客の訪れ”イリヤ,FS/S36-092,30 円,remaining:◯
0,“冬木教会の神父”綺礼,FS/S36-093,30 円,remaining:◯
0,“敗北の余韻”アサシン,FS/S36-094,30 円,remaining:◯
0,“無限の剣製”,FS/S36-028,220 円,remaining:◯
0,“熾天覆う七つの円環”,FS/S36-069,120 円,remaining:◯
0,最後の言葉,FS/S36-070,320 円,remaining:◯
0,出会いと絆,FS/S36-097,180 円,remaining:◯
0,“王の財宝”,FS/S36-029,220 円,remaining:◯
0,“約束された勝利の剣”,FS/S36-030,80 円,remaining:◯
0,“刺し穿つ死棘の槍”,FS/S36-046,30 円,remaining:◯
0,毎日のお見舞い,FS/S36-047,30 円,remaining:◯
0,いたずらな微笑み,FS/S36-071,50 円,remaining:◯
0,正式契約,FS/S36-098,50 円,remaining:◯
0,叶っていた望み,FS/S36-099,30 円,remaining:◯
0,燕返し,FS/S36-100,30 円,remaining:◯
0,ぷちギルガメッシュ,FS/S36-101,320 円,remaining:7pcs
0,ぷちセイバー,FS/S36-102,220 円,remaining:7pcs
0,ぷちランサー,FS/S36-103,120 円,remaining:◯
0,ぷち凛,FS/S36-104,420 円,remaining:◯
0,ぷちイリヤ,FS/S36-105,500 円,remaining:◯
0,“クリスマスパーティー”セイバー&凛,FS/S36-P01,500 円,remaining:×
0,“犬猿の仲”アーチャー&ランサー,FS/S36-P02,180 円,remaining:10pcs
0,“闇夜の巡回”凛&アーチャー,FS/S36-P03,"1,980 円",remaining:5pcs
