,card_name,card_num,price,status
0,恙神 涯(サイン入り),GC/S16-007SP,"3,980 円",remaining:×
0,桜満 集(サイン入り),GC/S16-027SP,"9,980 円",remaining:×
0,楪 いのり(サイン入り),GC/S16-057SP,"148,000 円",remaining:×
0,篠宮 綾瀬(サイン入り),GC/S16-077SP,"7,980 円",remaining:×
0,オペレーター ツグミ(サイン入り),GC/S16-081SP,"5,980 円",remaining:×
0,リーダーの風格 涯,GC/S16-001R,180 円,remaining:×
0,遠くを見据えるいのり,GC/S16-030R,780 円,remaining:×
0,優しい気持ち いのり,GC/S16-051R,980 円,remaining:×
0,恋する乙女 綾瀬,GC/S16-080R,180 円,remaining:×
0,重要な選択 涯,GC/S16-002S,180 円,remaining:×
0,共闘を誓う涯,GC/S16-006S,120 円,remaining:×
0,魅惑のビーチ 祭,GC/S16-026S,"1,980 円",remaining:×
0,空を見上げる集,GC/S16-031S,120 円,remaining:×
0,添い寝するいのり,GC/S16-053S,"5,980 円",remaining:×
0,悲痛な叫び いのり,GC/S16-055S,180 円,remaining:×
0,振袖姿のツグミ,GC/S16-079S,980 円,remaining:×
0,勝気な綾瀬,GC/S16-082S,680 円,remaining:×
0,リーダーの風格 涯,GC/S16-001,120 円,remaining:8pcs
0,重要な選択 涯,GC/S16-002,120 円,remaining:◯
0,魅惑のビーチ 祭,GC/S16-026,180 円,remaining:×
0,桜満 集,GC/S16-027,320 円,remaining:×
0,優しい気持ち いのり,GC/S16-051,320 円,remaining:×
0,集のパートナー いのり,GC/S16-052,420 円,remaining:×
0,水着のツグミ,GC/S16-076,420 円,remaining:×
0,篠宮 綾瀬,GC/S16-077,120 円,remaining:◯
0,“第一感染者”真名,GC/S16-003,120 円,remaining:×
0,桜満 真名,GC/S16-004,120 円,remaining:◯
0,運命を受け入れる涯,GC/S16-005,80 円,remaining:◯
0,共闘を誓う涯,GC/S16-006,80 円,remaining:◯
0,恙神 涯,GC/S16-007,120 円,remaining:9pcs
0,うつむく集,GC/S16-028,120 円,remaining:◯
0,学園の花音,GC/S16-029,120 円,remaining:◯
