,card_name,card_num,price,status
0,果たすべき約束 レン(サイン入り),GGO/S59-002SP,"6,980 円",remaining:×
0,《GGO》で大暴れ! フカ次郎(サイン入り),GGO/S59-036SP,"3,480 円",remaining:×
0,イカれたレン(サイン入り),GGO/S59-037SP,"12,800 円",remaining:×
0,グレネードで一掃! フカ次郎(サイン入り),GGO/S59-038SP,"4,980 円",remaining:×
0,死への執着 ピトフーイ(サイン入り),GGO/S59-070SP,"6,980 円",remaining:×
0,“相棒”レン＆フカ次郎(サイン入り),GGO/S59-T03SPA,"6,980 円",remaining:×
0,“相棒”レン＆フカ次郎(サイン入り),GGO/S59-T03SPB,"6,980 円",remaining:×
0,“ピンクの悪魔”レン(箔押し入り),GGO/S59-001GGR,"2,980 円",remaining:×
0,炯眼の撃手 レン(箔押し入り),GGO/S59-035GGR,"5,980 円",remaining:×
0,豪快な戦法 フカ次郎(箔押し入り),GGO/S59-041GGR,"5,980 円",remaining:2pcs
0,魔王 ピトフーイ(箔押し入り),GGO/S59-071GGR,"2,480 円",remaining:×
0,魔王の正体 エルザ(サイン入り),GGO/S59-069SEC,"12,800 円",remaining:×
0,誓いの金丁,GGO/S59-031R,500 円,remaining:1pcs
0,ラストバトルの行方,GGO/S59-032R,220 円,remaining:×
0,妖精さんをなめるな!,GGO/S59-065R,420 円,remaining:3pcs
0,喉を噛み切ってでも,GGO/S59-066R,500 円,remaining:×
0,魔王復活,GGO/S59-097R,500 円,remaining:2pcs
0,やってやる!レン,GGO/S59-T05R,500 円,remaining:3pcs
0,古参プレイヤー ピトフーイ,GGO/S59-T14R,320 円,remaining:2pcs
0,漲る闘志 レン,GGO/S59-003S,320 円,remaining:1pcs
0,VRへの興味 香蓮,GGO/S59-005S,220 円,remaining:1pcs
0,勝機を伺う レン,GGO/S59-007S,500 円,remaining:3pcs
0,お菓子も食べたい! 咲&ミラナ,GGO/S59-008S,180 円,remaining:×
0,掉尾の勇を奮う レン,GGO/S59-009S,120 円,remaining:1pcs
0,《SHINC》のボス エヴァ,GGO/S59-010S,120 円,remaining:2pcs
0,“愛銃は裏切らない”レン,GGO/S59-040S,120 円,remaining:×
0,“超行き当たりばったり”レン,GGO/S59-042S,120 円,remaining:×
0,とっておきの作戦 フカ次郎,GGO/S59-045S,180 円,remaining:1pcs
0,昏睡 ピトフーイ,GGO/S59-073S,180 円,remaining:×
0,名前の由来 エム,GGO/S59-078S,120 円,remaining:5pcs
0,宣戦布告 ピトフーイ,GGO/S59-080S,180 円,remaining:×
0,腹をくくって大暴れ!レン,GGO/S59-T09S,180 円,remaining:◯
0,ピンクの奇襲,GGO/S59-T11S,120 円,remaining:4pcs
0,“ピンクの悪魔”レン,GGO/S59-001,320 円,remaining:◯
0,果たすべき約束 レン,GGO/S59-002,580 円,remaining:◯
0,漲る闘志 レン,GGO/S59-003,220 円,remaining:◯
0,炯眼の撃手 レン,GGO/S59-035,980 円,remaining:◯
0,《GGO》で大暴れ! フカ次郎,GGO/S59-036,220 円,remaining:◯
0,イカれたレン,GGO/S59-037,500 円,remaining:◯
0,グレネードで一掃! フカ次郎,GGO/S59-038,580 円,remaining:◯
0,魔王の正体 エルザ,GGO/S59-069,320 円,remaining:◯
0,死への執着 ピトフーイ,GGO/S59-070,980 円,remaining:◯
0,魔王 ピトフーイ,GGO/S59-071,320 円,remaining:◯
0,附属女子校新体操部 詩織,GGO/S59-004,120 円,remaining:◯
0,VRへの興味 香蓮,GGO/S59-005,120 円,remaining:◯
0,附属女子校新体操部部長 咲,GGO/S59-006,120 円,remaining:◯
0,勝機を伺う レン,GGO/S59-007,500 円,remaining:◯
0,お菓子も食べたい! 咲&ミラナ,GGO/S59-008,120 円,remaining:◯
0,掉尾の勇を奮う レン,GGO/S59-009,80 円,remaining:◯
0,《SHINC》のボス エヴァ,GGO/S59-010,80 円,remaining:◯
0,ビューティホーな愛銃 フカ次郎,GGO/S59-039,120 円,remaining:◯
0,“愛銃は裏切らない”レン,GGO/S59-040,80 円,remaining:◯
0,豪快な戦法 フカ次郎,GGO/S59-041,500 円,remaining:◯
0,“超行き当たりばったり”レン,GGO/S59-042,80 円,remaining:◯
0,タフな相棒 フカ次郎,GGO/S59-043,80 円,remaining:◯
0,焦燥感 レン,GGO/S59-044,80 円,remaining:◯
0,とっておきの作戦 フカ次郎,GGO/S59-045,320 円,remaining:◯
0,躍然たる強襲 レン,GGO/S59-046,80 円,remaining:◯
0,卓越した戦闘技術 エム,GGO/S59-072,120 円,remaining:◯
0,昏睡 ピトフーイ,GGO/S59-073,120 円,remaining:◯
0,優れた地理感覚 エム,GGO/S59-074,80 円,remaining:◯
0,嗜虐の表情 ピトフーイ,GGO/S59-075,80 円,remaining:◯
0,お膳立て エム,GGO/S59-076,80 円,remaining:◯
0,ガンマニア ピトフーイ,GGO/S59-077,120 円,remaining:◯
0,名前の由来 エム,GGO/S59-078,80 円,remaining:◯
0,《SHINC》ソフィー,GGO/S59-011,50 円,remaining:◯
0,九死に一生 レン,GGO/S59-012,50 円,remaining:◯
0,附属女子校新体操部 ミラナ,GGO/S59-013,80 円,remaining:◯
0,徹底した小ささ レン,GGO/S59-014,80 円,remaining:◯
0,再会の予感 香蓮,GGO/S59-015,50 円,remaining:◯
0,《SHINC》ローザ,GGO/S59-016,80 円,remaining:◯
0,《SHINC》トーマ,GGO/S59-017,50 円,remaining:◯
0,スーツケースに潜むレン,GGO/S59-018,50 円,remaining:◯
0,プラズマ・グレネード,GGO/S59-029,50 円,remaining:◯
0,デグチャレフ対戦車ライフル,GGO/S59-030,80 円,remaining:◯
0,博愛主義者 クラレンス,GGO/S59-047,50 円,remaining:◯
0,ピーちゃんとの絆 レン,GGO/S59-048,50 円,remaining:◯
0,牽制する銃口 フカ次郎,GGO/S59-049,50 円,remaining:◯
0,後方火力 フカ次郎,GGO/S59-050,50 円,remaining:◯
0,優勝者の実力 レン,GGO/S59-051,50 円,remaining:◯
0,“マガジンとキス”レン,GGO/S59-052,50 円,remaining:◯
0,おしゃべりピーちゃん,GGO/S59-062,80 円,remaining:◯
0,連発式グレネード・ランチャー,GGO/S59-063,50 円,remaining:◯
0,救急治療キット,GGO/S59-064,50 円,remaining:◯
0,退屈な作戦 ピトフーイ,GGO/S59-079,50 円,remaining:◯
0,宣戦布告 ピトフーイ,GGO/S59-080,80 円,remaining:◯
0,不服なピトフーイ,GGO/S59-081,50 円,remaining:◯
