,card_name,card_num,price,status
0,ツンデレ美少女 ミル子(サイン入り),GST/SE22-03SP,"1,980 円",remaining:×
0,ギガント大好き つかさ(サイン入り),GST/SE22-04SP,"1,980 円",remaining:×
0,つかさを慕う マナブ(サイン入り),GST/SE22-13SP,"1,480 円",remaining:5pcs
0,的確なツッコミ あたる(サイン入り),GST/SE22-18SP,"2,480 円",remaining:5pcs
0,安定のギガント脳 つかさ,GST/SE22-01,320 円,remaining:◯
0,勝気な少女 ミル子,GST/SE22-02,320 円,remaining:◯
0,ツンデレ美少女 ミル子,GST/SE22-03,120 円,remaining:◯
0,ギガント大好き つかさ,GST/SE22-04,120 円,remaining:◯
0,麗しき水の女神 ミル子,GST/SE22-05,320 円,remaining:◯
0,つかさを慕う マナブ,GST/SE22-13,180 円,remaining:◯
0,力の片鱗 キリト,GST/SE22-14,220 円,remaining:◯
0,燃え尽きたあたる,GST/SE22-15,320 円,remaining:◯
0,気合十分 マナブ,GST/SE22-16,180 円,remaining:◯
0,あたるの妹 ルリ,GST/SE22-17,180 円,remaining:◯
0,的確なツッコミ あたる,GST/SE22-18,320 円,remaining:◯
0,影の実力者 キリト,GST/SE22-19,180 円,remaining:◯
0,意外な実力者 つかさの母,GST/SE22-06,80 円,remaining:◯
0,夢のための勝利 ミル子,GST/SE22-07,120 円,remaining:◯
0,行方不明中 つかさの父,GST/SE22-08,120 円,remaining:◯
0,キングメンガーを探す つかさ,GST/SE22-09,120 円,remaining:◯
0,燃え盛る炎の落とし子 つかさ,GST/SE22-10,50 円,remaining:◯
0,可憐な美少女 ルリ,GST/SE22-20,120 円,remaining:◯
0,静かな闘志 あたる,GST/SE22-21,120 円,remaining:◯
0,不良小学生,GST/SE22-22,80 円,remaining:◯
0,意味深な発言 キリト,GST/SE22-23,50 円,remaining:◯
0,深淵なる闇の奇術師 キリト,GST/SE22-24,120 円,remaining:◯
0,豊穣なる大地の申し子 あたる,GST/SE22-25,80 円,remaining:◯
0,小さな強さ ルリ,GST/SE22-26,50 円,remaining:◯
0,吹き抜ける清涼な風 マナブ,GST/SE22-27,50 円,remaining:◯
0,感涙するマナブ,GST/SE22-28,50 円,remaining:◯
0,ギャラクティカドラゴン,GST/SE22-11,120 円,remaining:10pcs
0,シャリシャリウォーターカッター,GST/SE22-12,220 円,remaining:◯
0,シャイニンググラスホッパー,GST/SE22-29,80 円,remaining:◯
0,グレートバイソンインパクト,GST/SE22-30,220 円,remaining:◯
0,安定のギガント脳 つかさ(ホロ),GST/SE22-01,420 円,remaining:10pcs
0,勝気な少女 ミル子(ホロ),GST/SE22-02,420 円,remaining:◯
0,ツンデレ美少女 ミル子(ホロ),GST/SE22-03,180 円,remaining:◯
0,ギガント大好き つかさ(ホロ),GST/SE22-04,180 円,remaining:◯
0,麗しき水の女神 ミル子(ホロ),GST/SE22-05,420 円,remaining:◯
0,つかさを慕う マナブ(ホロ),GST/SE22-13,220 円,remaining:◯
0,力の片鱗 キリト(ホロ),GST/SE22-14,320 円,remaining:◯
0,燃え尽きたあたる(ホロ),GST/SE22-15,420 円,remaining:×
0,気合十分 マナブ(ホロ),GST/SE22-16,220 円,remaining:◯
0,あたるの妹 ルリ(ホロ),GST/SE22-17,220 円,remaining:◯
0,的確なツッコミ あたる(ホロ),GST/SE22-18,420 円,remaining:◯
0,影の実力者 キリト(ホロ),GST/SE22-19,220 円,remaining:◯
0,意外な実力者 つかさの母(ホロ),GST/SE22-06,120 円,remaining:◯
0,夢のための勝利 ミル子(ホロ),GST/SE22-07,180 円,remaining:8pcs
0,行方不明中 つかさの父(ホロ),GST/SE22-08,180 円,remaining:◯
0,キングメンガーを探す つかさ(ホロ),GST/SE22-09,180 円,remaining:◯
0,燃え盛る炎の落とし子 つかさ(ホロ),GST/SE22-10,80 円,remaining:◯
0,可憐な美少女 ルリ(ホロ),GST/SE22-20,180 円,remaining:◯
0,静かな闘志 あたる(ホロ),GST/SE22-21,180 円,remaining:◯
0,不良小学生(ホロ),GST/SE22-22,120 円,remaining:◯
0,意味深な発言 キリト(ホロ),GST/SE22-23,80 円,remaining:◯
0,深淵なる闇の奇術師 キリト(ホロ),GST/SE22-24,180 円,remaining:◯
0,豊穣なる大地の申し子 あたる(ホロ),GST/SE22-25,120 円,remaining:◯
0,小さな強さ ルリ(ホロ),GST/SE22-26,80 円,remaining:◯
0,吹き抜ける清涼な風 マナブ(ホロ),GST/SE22-27,80 円,remaining:◯
0,感涙するマナブ(ホロ),GST/SE22-28,80 円,remaining:◯
0,ギャラクティカドラゴン(ホロ),GST/SE22-11,180 円,remaining:◯
0,シャリシャリウォーターカッター(ホロ),GST/SE22-12,320 円,remaining:◯
0,シャイニンググラスホッパー(ホロ),GST/SE22-29,120 円,remaining:◯
0,グレートバイソンインパクト(ホロ),GST/SE22-30,320 円,remaining:◯
0,安定のギガント脳 つかさ(メンコ仕様),GST/SE22-01,780 円,remaining:×
0,勝気な少女 ミル子(メンコ仕様),GST/SE22-02,780 円,remaining:×
0,ツンデレ美少女 ミル子(メンコ仕様),GST/SE22-03,420 円,remaining:3pcs
0,ギガント大好き つかさ(メンコ仕様),GST/SE22-04,420 円,remaining:8pcs
0,麗しき水の女神 ミル子(メンコ仕様),GST/SE22-05,780 円,remaining:3pcs
0,つかさを慕う マナブ(メンコ仕様),GST/SE22-13,420 円,remaining:◯
0,力の片鱗 キリト(メンコ仕様),GST/SE22-14,500 円,remaining:8pcs
0,燃え尽きたあたる(メンコ仕様),GST/SE22-15,780 円,remaining:×
0,気合十分 マナブ(メンコ仕様),GST/SE22-16,420 円,remaining:◯
0,あたるの妹 ルリ(メンコ仕様),GST/SE22-17,420 円,remaining:◯
0,的確なツッコミ あたる(メンコ仕様),GST/SE22-18,780 円,remaining:◯
0,影の実力者 キリト(メンコ仕様),GST/SE22-19,320 円,remaining:◯
0,意外な実力者 つかさの母(メンコ仕様),GST/SE22-06,220 円,remaining:◯
0,夢のための勝利 ミル子(メンコ仕様),GST/SE22-07,320 円,remaining:5pcs
0,行方不明中 つかさの父(メンコ仕様),GST/SE22-08,320 円,remaining:4pcs
0,キングメンガーを探す つかさ(メンコ仕様),GST/SE22-09,320 円,remaining:9pcs
0,燃え盛る炎の落とし子 つかさ(メンコ仕様),GST/SE22-10,180 円,remaining:◯
0,可憐な美少女 ルリ(メンコ仕様),GST/SE22-20,320 円,remaining:◯
0,静かな闘志 あたる(メンコ仕様),GST/SE22-21,320 円,remaining:◯
0,不良小学生(メンコ仕様),GST/SE22-22,220 円,remaining:◯
0,意味深な発言 キリト(メンコ仕様),GST/SE22-23,180 円,remaining:◯
0,深淵なる闇の奇術師 キリト(メンコ仕様),GST/SE22-24,320 円,remaining:◯
0,豊穣なる大地の申し子 あたる(メンコ仕様),GST/SE22-25,220 円,remaining:◯
0,小さな強さ ルリ(メンコ仕様),GST/SE22-26,180 円,remaining:◯
0,吹き抜ける清涼な風 マナブ(メンコ仕様),GST/SE22-27,180 円,remaining:◯
0,感涙するマナブ(メンコ仕様),GST/SE22-28,180 円,remaining:◯
0,ギャラクティカドラゴン(メンコ仕様),GST/SE22-11,320 円,remaining:◯
0,シャリシャリウォーターカッター(メンコ仕様),GST/SE22-12,500 円,remaining:◯
0,シャイニンググラスホッパー(メンコ仕様),GST/SE22-29,220 円,remaining:◯
0,グレートバイソンインパクト(メンコ仕様),GST/SE22-30,500 円,remaining:◯
0,ギガントシューター つかさ(メンコ仕様),GST/SE22-P01,180 円,remaining:7pcs
0,華麗な戦い ミル子(メンコ仕様),GST/SE22-P02,180 円,remaining:5pcs
0,謎めいた男 キリト(メンコ仕様),GST/SE22-P03,180 円,remaining:10pcs
