,card_name,card_num,price,status
0,量産能力者計画 御坂妹(サイン入り),RG/W26-008SP,"9,980 円",remaining:×
0,コインの行方 美琴(サイン入り),RG/W26-056SP,"24,800 円",remaining:×
0,“学園都市”黒子(サイン入り),RG/W26-058SP,"5,980 円",remaining:1pcs
0,“心理掌握”食蜂(サイン入り),RG/W26-061SP,"29,800 円",remaining:2pcs
0,努力家 美琴(サイン入り),RG/W26-084SP,"19,800 円",remaining:×
0,“アイテム”麦野,RG/W26-003R,980 円,remaining:2pcs
0,“アイテム”フレンダ,RG/W26-010R,320 円,remaining:7pcs
0,散歩中 美琴,RG/W26-057R,500 円,remaining:×
0,ある日の休日 美琴,RG/W26-062R,"1,980 円",remaining:×
0,仲良し4人組 初春,RG/W26-081R,500 円,remaining:×
0,仲良し4人組 佐天,RG/W26-082R,500 円,remaining:×
0,仲良し4人組 黒子,RG/W26-085R,500 円,remaining:×
0,クローン 御坂妹,RG/W26-001S,320 円,remaining:3pcs
0,絶対能力進化計画 一方通行,RG/W26-002S,320 円,remaining:×
0,天才科学者 布束,RG/W26-005S,180 円,remaining:3pcs
0,“学園都市”佐天,RG/W26-036S,220 円,remaining:×
0,“学園都市”初春,RG/W26-040S,180 円,remaining:×
0,“パッションオレンジ”美琴,RG/W26-059S,680 円,remaining:×
0,平和を守る者 黒子,RG/W26-060S,180 円,remaining:×
0,“パッションパープル”黒子,RG/W26-063S,320 円,remaining:×
0,仲良し4人組 美琴,RG/W26-083S,180 円,remaining:×
0,クローン 御坂妹,RG/W26-001,180 円,remaining:3pcs
0,絶対能力進化計画 一方通行,RG/W26-002,220 円,remaining:◯
0,“アイテム”麦野,RG/W26-003,180 円,remaining:◯
0,“学園都市”佐天,RG/W26-036,120 円,remaining:◯
0,コインの行方 美琴,RG/W26-056,220 円,remaining:×
0,散歩中 美琴,RG/W26-057,220 円,remaining:◯
0,“学園都市”黒子,RG/W26-058,180 円,remaining:9pcs
0,妨害活動 フレンダ,RG/W26-004,120 円,remaining:◯
0,天才科学者 布束,RG/W26-005,80 円,remaining:◯
0,絶対的な力 一方通行,RG/W26-006,120 円,remaining:1pcs
0,“アイテム”絹旗,RG/W26-007,120 円,remaining:10pcs
0,量産能力者計画 御坂妹,RG/W26-008,120 円,remaining:◯
0,“超能力者”麦野,RG/W26-009,120 円,remaining:◯
0,“アイテム”フレンダ,RG/W26-010,120 円,remaining:◯
0,“パッショングリーン”佐天,RG/W26-037,120 円,remaining:◯
0,“パッションピンク”初春,RG/W26-038,120 円,remaining:×
0,情報収集担当 初春,RG/W26-039,120 円,remaining:◯
0,“学園都市”初春,RG/W26-040,80 円,remaining:◯
0,“パッションオレンジ”美琴,RG/W26-059,180 円,remaining:6pcs
0,平和を守る者 黒子,RG/W26-060,80 円,remaining:◯
0,“心理掌握”食蜂,RG/W26-061,180 円,remaining:◯
0,ある日の休日 美琴,RG/W26-062,220 円,remaining:2pcs
0,“パッションパープル”黒子,RG/W26-063,120 円,remaining:5pcs
0,第一次実験 一方通行,RG/W26-011,50 円,remaining:×
0,不思議な力 当麻,RG/W26-012,50 円,remaining:◯
0,実験候補者 一方通行,RG/W26-013,50 円,remaining:◯
0,“アイテム”滝壺,RG/W26-014,180 円,remaining:×
0,九九八二番目の量産型 ミサカ,RG/W26-015,50 円,remaining:◯
0,フレンダ=セイヴェルン,RG/W26-016,50 円,remaining:◯
0,容赦無い性格 一方通行,RG/W26-017,50 円,remaining:6pcs
0,“原子崩し”麦野,RG/W26-018,120 円,remaining:2pcs
0,“最弱”当麻,RG/W26-019,50 円,remaining:◯
0,人形爆弾,RG/W26-030,120 円,remaining:◯
0,テスタメント,RG/W26-031,50 円,remaining:◯
0,“低能力者”初春,RG/W26-041,50 円,remaining:◯
0,仲良し 佐天&初春,RG/W26-042,50 円,remaining:◯
0,妄想中 初春,RG/W26-043,50 円,remaining:◯
0,部屋着の佐天,RG/W26-044,50 円,remaining:◯
0,うわさ話 佐天,RG/W26-045,50 円,remaining:◯
0,マネーカード探し,RG/W26-053,50 円,remaining:◯
0,成績優秀 美琴,RG/W26-064,50 円,remaining:◯
0,運動神経抜群 美琴,RG/W26-065,120 円,remaining:◯
0,強い正義感 黒子,RG/W26-066,50 円,remaining:◯
0,仕事は真面目 黒子,RG/W26-067,120 円,remaining:◯
0,橋上の決意 美琴,RG/W26-068,50 円,remaining:◯
0,病院の美琴,RG/W26-069,50 円,remaining:◯
0,“学園都市”美琴,RG/W26-070,80 円,remaining:◯
0,長点上機学園の生徒 布束,RG/W26-020,30 円,remaining:◯
0,学園都市の第四位 麦野,RG/W26-021,30 円,remaining:◯
0,動物好き 御坂妹,RG/W26-022,30 円,remaining:◯
0,妹達,RG/W26-023,80 円,remaining:◯
0,暗殺部隊のリーダー 麦野,RG/W26-024,30 円,remaining:◯
0,とある高校の学生 当麻,RG/W26-025,30 円,remaining:◯
0,無敵への道 一方通行,RG/W26-026,30 円,remaining:◯
