,card_name,card_num,price,status
0,北方棲姫(箔押し入り),KC/SE28-02SP,"5,980 円",remaining:×
0,最終形態 北方棲姫(箔押し入り),KC/SE28-03SP,"5,980 円",remaining:×
0,中間棲姫(箔押し入り),KC/SE28-05SP,"2,480 円",remaining:×
0,飛行場姫(箔押し入り),KC/SE28-09SP,"3,980 円",remaining:×
0,空母水鬼(箔押し入り),KC/SE28-13SP,"1,980 円",remaining:×
0,空母棲姫(箔押し入り),KC/SE28-14SP,"1,280 円",remaining:×
0,バーサーカーモード 港湾棲姫(箔押し入り),KC/SE28-15SP,"1,280 円",remaining:×
0,泊地棲鬼(箔押し入り),KC/SE28-26SP,"1,480 円",remaining:×
0,最終形態 軽巡棲鬼(箔押し入り),KC/SE28-27SP,"2,980 円",remaining:×
0,水母棲姫(箔押し入り),KC/SE28-32SP,980 円,remaining:×
0,離島棲鬼(箔押し入り),KC/SE28-33SP,980 円,remaining:×
0,防空棲姫(箔押し入り),KC/SE28-34SP,"1,980 円",remaining:×
0,戦艦棲姫(箔押し入り),KC/SE28-40SP,"1,280 円",remaining:×
0,駆逐棲姫(箔押し入り),KC/SE28-41SP,"1,280 円",remaining:×
0,泊地水鬼(箔押し入り),KC/SE28-47SP,980 円,remaining:×
0,空母ヲ級,KC/SE28-01,320 円,remaining:1pcs
0,北方棲姫,KC/SE28-02,680 円,remaining:10pcs
0,最終形態 北方棲姫,KC/SE28-03,320 円,remaining:3pcs
0,泊地棲鬼,KC/SE28-26,420 円,remaining:◯
0,最終形態 軽巡棲鬼,KC/SE28-27,320 円,remaining:8pcs
0,戦艦水鬼,KC/SE28-28,580 円,remaining:◯
0,重巡ネ級,KC/SE28-04,120 円,remaining:◯
0,中間棲姫,KC/SE28-05,120 円,remaining:◯
0,空母棲鬼,KC/SE28-06,320 円,remaining:×
0,装甲空母鬼,KC/SE28-07,120 円,remaining:◯
0,装甲空母姫,KC/SE28-08,120 円,remaining:◯
0,飛行場姫,KC/SE28-09,80 円,remaining:◯
0,南方棲戦姫,KC/SE28-29,180 円,remaining:◯
0,南方棲鬼,KC/SE28-30,120 円,remaining:◯
0,泊地棲姫,KC/SE28-31,120 円,remaining:◯
0,水母棲姫,KC/SE28-32,80 円,remaining:◯
0,離島棲鬼,KC/SE28-33,80 円,remaining:◯
0,防空棲姫,KC/SE28-34,120 円,remaining:◯
0,軽巡ツ級,KC/SE28-10,50 円,remaining:◯
0,駆逐二級,KC/SE28-11,80 円,remaining:◯
0,港湾水鬼,KC/SE28-12,50 円,remaining:◯
0,空母水鬼,KC/SE28-13,50 円,remaining:◯
0,空母棲姫,KC/SE28-14,120 円,remaining:◯
0,バーサーカーモード 港湾棲姫,KC/SE28-15,50 円,remaining:◯
0,輸送ワ級,KC/SE28-35,50 円,remaining:◯
0,潜水カ級,KC/SE28-36,80 円,remaining:◯
0,軽巡棲鬼,KC/SE28-37,120 円,remaining:◯
0,軽母ヌ級,KC/SE28-38,120 円,remaining:◯
0,戦艦レ級,KC/SE28-39,50 円,remaining:◯
0,戦艦棲姫,KC/SE28-40,80 円,remaining:◯
0,浮遊要塞,KC/SE28-16,30 円,remaining:◯
0,駆逐イ級,KC/SE28-17,80 円,remaining:◯
0,潜水ソ級,KC/SE28-18,50 円,remaining:◯
0,雷巡チ級,KC/SE28-19,30 円,remaining:◯
0,戦艦ル級,KC/SE28-20,30 円,remaining:◯
0,港湾棲姫,KC/SE28-21,80 円,remaining:◯
0,最終形態 中間棲姫,KC/SE28-22,30 円,remaining:◯
0,駆逐棲姫,KC/SE28-41,30 円,remaining:◯
0,重巡リ級,KC/SE28-42,80 円,remaining:◯
0,駆逐ハ級,KC/SE28-43,50 円,remaining:◯
0,軽巡ホ級,KC/SE28-44,30 円,remaining:◯
0,戦艦夕級,KC/SE28-45,30 円,remaining:◯
0,南方棲戦鬼,KC/SE28-46,30 円,remaining:◯
0,泊地水鬼,KC/SE28-47,30 円,remaining:◯
0,シズンデェ!,KC/SE28-23,220 円,remaining:◯
0,ナニモ…ワカッテイナイ…,KC/SE28-24,80 円,remaining:◯
0,ダカラ…ムリナノヨ…,KC/SE28-25,80 円,remaining:◯
0,オチロッ!,KC/SE28-48,80 円,remaining:◯
0,シズミナサイ!,KC/SE28-49,120 円,remaining:◯
0,ウッフフ…ドオ?イタイ?,KC/SE28-50,180 円,remaining:◯
0,空母ヲ級(ホロ),KC/SE28-01,420 円,remaining:2pcs
0,北方棲姫(ホロ),KC/SE28-02,780 円,remaining:×
0,最終形態 北方棲姫(ホロ),KC/SE28-03,420 円,remaining:4pcs
0,泊地棲鬼(ホロ),KC/SE28-26,500 円,remaining:◯
0,最終形態 軽巡棲鬼(ホロ),KC/SE28-27,420 円,remaining:1pcs
0,戦艦水鬼(ホロ),KC/SE28-28,680 円,remaining:6pcs
0,重巡ネ級(ホロ),KC/SE28-04,180 円,remaining:◯
0,中間棲姫(ホロ),KC/SE28-05,180 円,remaining:10pcs
0,空母棲鬼(ホロ),KC/SE28-06,420 円,remaining:×
0,装甲空母鬼(ホロ),KC/SE28-07,180 円,remaining:◯
0,装甲空母姫(ホロ),KC/SE28-08,180 円,remaining:6pcs
0,飛行場姫(ホロ),KC/SE28-09,120 円,remaining:6pcs
0,南方棲戦姫(ホロ),KC/SE28-29,220 円,remaining:×
0,南方棲鬼(ホロ),KC/SE28-30,180 円,remaining:5pcs
0,泊地棲姫(ホロ),KC/SE28-31,180 円,remaining:◯
0,水母棲姫(ホロ),KC/SE28-32,120 円,remaining:10pcs
0,離島棲鬼(ホロ),KC/SE28-33,120 円,remaining:6pcs
0,防空棲姫(ホロ),KC/SE28-34,180 円,remaining:4pcs
0,軽巡ツ級(ホロ),KC/SE28-10,80 円,remaining:◯
0,駆逐二級(ホロ),KC/SE28-11,120 円,remaining:◯
0,港湾水鬼(ホロ),KC/SE28-12,80 円,remaining:◯
0,空母水鬼(ホロ),KC/SE28-13,80 円,remaining:7pcs
0,空母棲姫(ホロ),KC/SE28-14,180 円,remaining:◯
0,バーサーカーモード 港湾棲姫(ホロ),KC/SE28-15,80 円,remaining:◯
0,輸送ワ級(ホロ),KC/SE28-35,80 円,remaining:◯
0,潜水カ級(ホロ),KC/SE28-36,120 円,remaining:◯
0,軽巡棲鬼(ホロ),KC/SE28-37,180 円,remaining:◯
0,軽母ヌ級(ホロ),KC/SE28-38,180 円,remaining:◯
0,戦艦レ級(ホロ),KC/SE28-39,80 円,remaining:6pcs
0,戦艦棲姫(ホロ),KC/SE28-40,120 円,remaining:◯
0,浮遊要塞(ホロ),KC/SE28-16,50 円,remaining:◯
0,駆逐イ級(ホロ),KC/SE28-17,120 円,remaining:◯
0,潜水ソ級(ホロ),KC/SE28-18,80 円,remaining:◯
