,card_name,card_num,price,status
0,家鳴将軍家直轄内部監察所総監督 否定姫(サイン入り),KG/SE07-01,"4,980 円",remaining:×
0,七花との出会い とがめ(サイン入り),KG/SE07-27,"9,980 円",remaining:×
0,“一の構え『鈴蘭』”鑢 七花(サイン入り),KG/SE07-30,"7,980 円",remaining:×
0,鑢 七実(サイン入り),KG/SE07-33,"4,980 円",remaining:×
0,家鳴将軍家直轄内部監察所総監督 否定姫,KG/SE07-01,120 円,remaining:×
0,下酷城城主 宇練 銀閣,KG/SE07-02,180 円,remaining:4pcs
0,“日本最強の剣士”錆 白兵,KG/SE07-03,120 円,remaining:◯
0,仮面の男 右衛門左衛門,KG/SE07-04,80 円,remaining:4pcs
0,冥土の蝙蝠,KG/SE07-15,120 円,remaining:◯
0,鎖縛の喰鮫,KG/SE07-16,120 円,remaining:◯
0,逆さ喋りの白鷺,KG/SE07-17,120 円,remaining:9pcs
0,真庭 鳳凰,KG/SE07-18,80 円,remaining:6pcs
0,七花との出会い とがめ,KG/SE07-27,420 円,remaining:◯
0,容赦姫,KG/SE07-28,120 円,remaining:◯
0,最後の命令 とがめ,KG/SE07-29,320 円,remaining:◯
0,“一の構え『鈴蘭』”鑢 七花,KG/SE07-30,220 円,remaining:◯
0,試練の旅 とがめ&七花,KG/SE07-31,120 円,remaining:◯
0,虚刀『鑢』,KG/SE07-32,500 円,remaining:◯
0,鑢 七実,KG/SE07-33,120 円,remaining:8pcs
0,鎧海賊団船長 校倉 必,KG/SE07-05,80 円,remaining:◯
0,“否定姫の懐刀”左右田 右衛門左衛門,KG/SE07-06,50 円,remaining:◯
0,“心王一鞘流”汽口 慙愧,KG/SE07-07,120 円,remaining:◯
0,“仙人”彼我木 輪廻,KG/SE07-08,50 円,remaining:◯
0,とがめの宿敵 否定姫,KG/SE07-09,80 円,remaining:◯
0,千刀流 敦賀 迷彩,KG/SE07-10,80 円,remaining:◯
0,からくり人形 日和号,KG/SE07-11,50 円,remaining:◯
0,“否定する強さ”否定姫,KG/SE07-12,80 円,remaining:◯
0,“鞘となる一族”凍空 こなゆき,KG/SE07-13,50 円,remaining:◯
0,読み調べの川獺,KG/SE07-19,50 円,remaining:◯
0,長寿の海亀,KG/SE07-20,50 円,remaining:◯
0,真庭忍軍 真庭虫組,KG/SE07-21,50 円,remaining:◯
