,card_name,card_num,price,status
0,三神技之弐,KF/S05-023SP,"1,980 円",remaining:×
0,羅生門,KF/S05-048SP,"1,480 円",remaining:×
0,花嵐,KF/S05-074SP,"1,480 円",remaining:×
0,ダイアモンドエッジ,KF/S05-100SP,"3,480 円",remaining:×
0,封ずる者 庵,KF/S05-004R,"1,980 円",remaining:×
0,略奪者アッシュ,KF/S05-032R,"14,800 円",remaining:×
0,草薙 京,KF/S05-051R,"3,980 円",remaining:×
0,氷の美少女クーラ,KF/S05-076R,"1,980 円",remaining:4pcs
0,炎の貴公子 京,KF/S05-006S,580 円,remaining:×
0,暴走庵,KF/S05-007S,780 円,remaining:×
0,悪のカリスマギース,KF/S05-027S,"1,280 円",remaining:×
0,サイレントソルジャーレオナ,KF/S05-028S,320 円,remaining:×
0,クリス,KF/S05-052S,"3,980 円",remaining:×
0,華麗なる女忍者舞,KF/S05-054S,"1,280 円",remaining:×
0,セーラー服のアテナ,KF/S05-077S,"2,480 円",remaining:×
0,お転婆娘 ユリ,KF/S05-079S,680 円,remaining:×
0,キング,KF/S05-001,220 円,remaining:◯
0,京&庵,KF/S05-002,320 円,remaining:3pcs
0,冷徹なる暗殺者 ハイデルン,KF/S05-026,320 円,remaining:◯
0,悪のカリスマ ギース,KF/S05-027,220 円,remaining:◯
0,草薙 京,KF/S05-051,"1,480 円",remaining:×
0,クリス,KF/S05-052,"1,980 円",remaining:5pcs
0,氷の美少女 クーラ,KF/S05-076,420 円,remaining:◯
0,セーラー服のアテナ,KF/S05-077,980 円,remaining:×
0,チャン&チョイ,KF/S05-003,180 円,remaining:7pcs
0,封ずる者 庵,KF/S05-004,320 円,remaining:◯
0,正義の教育者 キム,KF/S05-005,180 円,remaining:3pcs
0,炎の貴公子 京,KF/S05-006,120 円,remaining:×
0,暴走庵,KF/S05-007,220 円,remaining:2pcs
0,サイレントソルジャー レオナ,KF/S05-028,120 円,remaining:9pcs
0,クラーク・スティル,KF/S05-029,220 円,remaining:×
0,忠実なるギースの影ビリー,KF/S05-030,320 円,remaining:4pcs
0,シェン・ウー,KF/S05-031,320 円,remaining:◯
0,略奪者 アッシュ,KF/S05-032,420 円,remaining:×
0,アンディ・ボガード,KF/S05-053,120 円,remaining:9pcs
0,華麗なる女忍者 舞,KF/S05-054,320 円,remaining:×
0,テリー&アンディ(エラッタ前),KF/S05-055,120 円,remaining:8pcs
0,テリー&アンディ(エラッタ後),KF/S05-055,120 円,remaining:×
0,テリー・ボガード,KF/S05-056,780 円,remaining:2pcs
0,オメガ・ルガール,KF/S05-057,680 円,remaining:4pcs
0,アックス小隊の新人 ウィップ,KF/S05-078,180 円,remaining:×
0,お転婆娘 ユリ,KF/S05-079,320 円,remaining:2pcs
0,リョウ・サカザキ,KF/S05-080,500 円,remaining:1pcs
0,クーラ・ダイアモンド,KF/S05-081,320 円,remaining:3pcs
0,Kを超えるもの,KF/S05-082,500 円,remaining:◯
0,祓う者 京,KF/S05-008,180 円,remaining:×
0,フリーエージェント マリー,KF/S05-009,120 円,remaining:◯
0,マチュア&バイス,KF/S05-010,420 円,remaining:1pcs
0,二階堂 紅丸,KF/S05-011,50 円,remaining:◯
0,吹き荒ぶ風のゲーニッツ,KF/S05-012,420 円,remaining:2pcs
0,紫炎と緑炎,KF/S05-020,500 円,remaining:7pcs
0,日輪と月輪,KF/S05-021,180 円,remaining:×
0,柔道家 大門,KF/S05-033,80 円,remaining:5pcs
0,ギース・ハワード,KF/S05-034,50 円,remaining:10pcs
0,ラルフ・ジョーンズ,KF/S05-035,50 円,remaining:×
0,レオナ・ハイデルン,KF/S05-036,120 円,remaining:×
0,大門 五郎,KF/S05-037,50 円,remaining:8pcs
0,挑発,KF/S05-045,420 円,remaining:×
0,メンバーセレクト,KF/S05-046,320 円,remaining:×
0,シェルミー,KF/S05-058,80 円,remaining:×
0,ジョー・ヒガシ,KF/S05-059,500 円,remaining:×
0,挑発するシェルミー,KF/S05-060,180 円,remaining:×
0,山崎 竜二,KF/S05-061,120 円,remaining:7pcs
0,猛き炎の伝承者 京,KF/S05-062,420 円,remaining:×
0,日本チーム,KF/S05-070,320 円,remaining:×
0,餓狼伝説チーム(エラッタ前),KF/S05-071,180 円,remaining:×
0,餓狼伝説チーム(エラッタ後),KF/S05-071,180 円,remaining:×
0,麻宮 アテナ,KF/S05-083,120 円,remaining:×
0,ユリ・サカザキ,KF/S05-084,320 円,remaining:1pcs
0,K’,KF/S05-085,220 円,remaining:◯
0,椎 拳崇,KF/S05-086,120 円,remaining:4pcs
0,ウィップ,KF/S05-087,80 円,remaining:1pcs
0,サイコソルジャーチーム,KF/S05-095,500 円,remaining:2pcs
0,龍虎の拳チーム,KF/S05-096,180 円,remaining:8pcs
0,矢吹 真吾,KF/S05-013,80 円,remaining:×
0,藤堂 香澄,KF/S05-014,30 円,remaining:◯
0,ブルー・マリー,KF/S05-015,30 円,remaining:◯
0,八神 庵,KF/S05-016,30 円,remaining:◯
0,アーデルハイド,KF/S05-017,30 円,remaining:◯
0,テコンドー界の至宝キム,KF/S05-018,30 円,remaining:◯
0,蹴撃の麗人 キング,KF/S05-019,30 円,remaining:◯
0,禁千弐百拾壱式・八稚女,KF/S05-022,120 円,remaining:◯
0,エリザベート・ブラントルシュ,KF/S05-038,30 円,remaining:◯
0,ビリー・カーン,KF/S05-039,30 円,remaining:2pcs
0,ライデン,KF/S05-040,30 円,remaining:◯
0,嘲笑う火影アッシュ,KF/S05-041,50 円,remaining:7pcs
0,ネームレス,KF/S05-042,30 円,remaining:◯
0,静かなる傭兵クラーク,KF/S05-043,30 円,remaining:◯
0,ж’ネームレス,KF/S05-044,30 円,remaining:10pcs
0,使命と誇り,KF/S05-047,120 円,remaining:3pcs
0,如月 影二,KF/S05-063,220 円,remaining:×
0,デュオロン,KF/S05-064,30 円,remaining:◯
0,KUSANAGI,KF/S05-065,220 円,remaining:1pcs
0,ワイルドウルフ テリー,KF/S05-066,30 円,remaining:×
0,禍忌,KF/S05-067,30 円,remaining:◯
0,不知火 舞,KF/S05-068,30 円,remaining:×
0,七枷 社,KF/S05-069,30 円,remaining:◯
0,百拾四式・荒咬み,KF/S05-072,120 円,remaining:◯
0,鎮 元斎,KF/S05-088,220 円,remaining:×
0,ラモン,KF/S05-089,50 円,remaining:◯
0,ロバート・ガルシア,KF/S05-090,30 円,remaining:7pcs
0,アイシクル・ドール クーラ,KF/S05-091,50 円,remaining:×
0,タクマ・サカザキ,KF/S05-092,30 円,remaining:◯
0,マキシマ,KF/S05-093,30 円,remaining:◯
0,“龍の気”拳崇,KF/S05-094,30 円,remaining:◯
0,コンティニュー,KF/S05-097,"1,480 円",remaining:×
0,三神技之弐,KF/S05-023,220 円,remaining:×
0,羅生門,KF/S05-048,120 円,remaining:1pcs
0,裏百八式・大蛇薙,KF/S05-073,220 円,remaining:1pcs
0,スーパーフェニックスインフィニティー,KF/S05-098,180 円,remaining:×
0,660年前の因縁,KF/S05-024,80 円,remaining:×
0,完全勝利,KF/S05-025,80 円,remaining:4pcs
0,ジェルミナール,KF/S05-049,180 円,remaining:×
0,真実の探求者,KF/S05-050,80 円,remaining:×
0,花嵐,KF/S05-074,120 円,remaining:4pcs
0,バスターウルフ,KF/S05-075,120 円,remaining:4pcs
0,ネスツの落とし子,KF/S05-099,180 円,remaining:×
0,ダイアモンドエッジ,KF/S05-100,180 円,remaining:5pcs
0,復讐の紫炎庵,KF/S05-101,980 円,remaining:◯
0,駆け上がる紅蓮京,KF/S05-102,180 円,remaining:8pcs
0,八神庵,KF/S05-T01,30 円,remaining:×
0,祓う者 京,KF/S05-T02,180 円,remaining:2pcs
0,ブルー・マリー,KF/S05-T03,30 円,remaining:6pcs
0,テコンドー界の至宝キム,KF/S05-T04,30 円,remaining:5pcs
0,紫炎と緑炎,KF/S05-T05,500 円,remaining:×
0,完全勝利,KF/S05-T06,80 円,remaining:◯
0,ワイルドウルフテリー,KF/S05-T07,30 円,remaining:×
0,シェルミー,KF/S05-T08,80 円,remaining:◯
0,如月影二,KF/S05-T09,220 円,remaining:2pcs
