,card_name,card_num,price,status
0,信仰篤き聖者 サンドラ(サイン入り),LOD/S74-001SP,"9,980 円",remaining:×
0,見えざる刃 リコリス(サイン入り),LOD/S74-002SP,"3,980 円",remaining:×
0,アウロラの守護天使 フェル(サイン入り),LOD/S74-003SP,"9,980 円",remaining:×
0,気分屋・寒がり・眠たがり メデューサ(サイン入り),LOD/S74-027SP,"6,980 円",remaining:×
0,絶えない微笑み オフィーリア(サイン入り),LOD/S74-028SP,"2,480 円",remaining:×
0,亡霊に憑かれた少女 パンドラ(サイン入り),LOD/S74-029SP,"6,980 円",remaining:×
0,大聖堂の聖騎士 ヴィヴィアン(サイン入り),LOD/S74-065SP,"3,980 円",remaining:×
0,伝説の冒険者 テレサ(サイン入り),LOD/S74-066SP,"2,980 円",remaining:×
0,鏡の魔女 ヴィクトリア(サイン入り),LOD/S74-067SP,"12,800 円",remaining:×
0,はじまりの仲間たち ユア(サイン入り),LOD/S74-T02SP,"5,980 円",remaining:×
0,はじまりの仲間たち キャロライン(サイン入り),LOD/S74-T08SP,"2,980 円",remaining:1pcs
0,はじまりの仲間たち エレーナ(サイン入り),LOD/S74-T12SP,"5,980 円",remaining:×
0,死の花,LOD/S74-024R,680 円,remaining:8pcs
0,魂の守護天使,LOD/S74-025R,500 円,remaining:×
0,冥府の怨嗟,LOD/S74-059R,980 円,remaining:3pcs
0,一撃必殺の狙撃,LOD/S74-060R,320 円,remaining:1pcs
0,滅びの黒炎,LOD/S74-062R,220 円,remaining:×
0,聖剣の輝き,LOD/S74-097R,420 円,remaining:×
0,魔鏡メフィスト,LOD/S74-098R,500 円,remaining:×
0,若き狙撃手 グラミン,LOD/S74-T04R,980 円,remaining:2pcs
0,双翼の祭司 サンドラ,LOD/S74-T06R,500 円,remaining:1pcs
0,聖剣の騎士 ヴィヴィアン,LOD/S74-T17R,980 円,remaining:×
0,幽明郷を統べる者 ペルセポネー,LOD/S74-004S,320 円,remaining:×
0,記憶を失った天使 フェル,LOD/S74-005S,420 円,remaining:2pcs
0,アウロラの歌姫 ミューズ,LOD/S74-006S,220 円,remaining:×
0,慇懃無礼な毒舌メイド シャルロット,LOD/S74-007S,180 円,remaining:×
0,武神の乙女 ブリュンヒルデ,LOD/S74-030S,320 円,remaining:×
0,水辺の天使 サリエル,LOD/S74-032S,320 円,remaining:1pcs
0,開花した才能 グラミン,LOD/S74-033S,220 円,remaining:×
0,禁書庫の司書 ヒナ,LOD/S74-036S,220 円,remaining:5pcs
0,最初の団員 キャロライン&ユア&エレーナ,LOD/S74-037S,500 円,remaining:×
0,漆黒の真炎 フィア,LOD/S74-038S,320 円,remaining:×
0,太陽を司る天使 ミカエル,LOD/S74-064S,780 円,remaining:×
0,天道宮の雷姫 リタ,LOD/S74-068S,320 円,remaining:×
0,魔族の残り火 かぎろい,LOD/S74-069S,420 円,remaining:2pcs
0,無音の葬送者 アドレーニ,LOD/S74-071S,320 円,remaining:×
0,機械師の天才少女 アルテミス,LOD/S74-073S,320 円,remaining:1pcs
0,奥秘の大賢者 コーラル,LOD/S74-075S,500 円,remaining:×
0,はじまりの仲間たち ユア,LOD/S74-T02S,320 円,remaining:◯
0,冒険のはじまり,LOD/S74-T09S,120 円,remaining:1pcs
0,信仰篤き聖者 サンドラ,LOD/S74-001,780 円,remaining:◯
0,見えざる刃 リコリス,LOD/S74-002,420 円,remaining:◯
0,アウロラの守護天使 フェル,LOD/S74-003,320 円,remaining:◯
0,気分屋・寒がり・眠たがり メデューサ,LOD/S74-027,500 円,remaining:◯
0,絶えない微笑み オフィーリア,LOD/S74-028,320 円,remaining:◯
0,亡霊に憑かれた少女 パンドラ,LOD/S74-029,680 円,remaining:◯
0,太陽を司る天使 ミカエル,LOD/S74-064,500 円,remaining:◯
0,大聖堂の聖騎士 ヴィヴィアン,LOD/S74-065,320 円,remaining:◯
0,伝説の冒険者 テレサ,LOD/S74-066,220 円,remaining:◯
0,鏡の魔女 ヴィクトリア,LOD/S74-067,320 円,remaining:◯
0,幽明郷を統べる者 ペルセポネー,LOD/S74-004,120 円,remaining:◯
0,記憶を失った天使 フェル,LOD/S74-005,180 円,remaining:◯
0,アウロラの歌姫 ミューズ,LOD/S74-006,120 円,remaining:◯
