,card_name,card_num,price,status
0,総合的な幸せ 八九寺真宵(サイン入り),MG/S39-001SP,"12,800 円",remaining:×
0,“怪異殺し”忍野忍(サイン入り),MG/S39-002SP,"19,800 円",remaining:×
0,虎に睨まれた少女 羽川翼(サイン入り),MG/S39-027SP,"7,980 円",remaining:1pcs
0,新学期 神原駿河(サイン入り),MG/S39-051SP,"6,980 円",remaining:×
0,真剣な面持ち 戦場ヶ原ひたぎ(サイン入り),MG/S39-052SP,"9,980 円",remaining:×
0,“前髪娘”千石撫子(サイン入り),MG/S39-077SP,"12,800 円",remaining:×
0,“最後”まで笑顔 八九寺真宵,MG/S39-007R,"2,980 円",remaining:1pcs
0,呪文詠唱,MG/S39-023R,"1,480 円",remaining:1pcs
0,感謝の言葉 戦場ヶ原ひたぎ,MG/S39-026R,"1,280 円",remaining:1pcs
0,望んでいたもの,MG/S39-048R,980 円,remaining:1pcs
0,適当な誤魔化し方 神原駿河,MG/S39-053R,500 円,remaining:1pcs
0,ある冬の日,MG/S39-073R,"1,480 円",remaining:2pcs
0,“童女”斧乃木余接,MG/S39-076R,580 円,remaining:5pcs
0,自分だけの夢のために,MG/S39-098R,580 円,remaining:3pcs
0,お昼寝 八九寺真宵,MG/S39-004S,420 円,remaining:1pcs
0,ウロボロスのあやとり 千石撫子,MG/S39-005S,220 円,remaining:×
0,昔話 忍野忍,MG/S39-006S,500 円,remaining:×
0,真剣な面持ち 阿良々木暦,MG/S39-028S,"1,780 円",remaining:1pcs
0,偶然?戦場ヶ原ひたぎ,MG/S39-029S,320 円,remaining:×
0,『やって後悔しない』神原駿河,MG/S39-032S,980 円,remaining:×
0,恋人のためなら 戦場ヶ原ひたぎ,MG/S39-055S,220 円,remaining:5pcs
0,未来の為に出来ること 戦場ヶ原ひたぎ,MG/S39-056S,"1,780 円",remaining:×
0,“少女”八九寺真宵,MG/S39-057S,220 円,remaining:5pcs
0,暫しの別れ 羽川翼,MG/S39-078S,780 円,remaining:3pcs
0,“本物”羽川翼,MG/S39-079S,220 円,remaining:3pcs
0,北白蛇神社の神様 千石撫子,MG/S39-082S,320 円,remaining:1pcs
