,card_name,card_num,price,status
0,“プラズマザンバーブレイカー”フェイト(サイン入り),N2/W32-106SSP,"59,800 円",remaining:3pcs
0,“スターライトブレイカー”なのは(サイン入り),N2/W32-110SSP,"34,800 円",remaining:1pcs
0,“ラグナロクブレイカー”はやて(サイン入り),N2/W32-113SSP,"19,800 円",remaining:1pcs
0,最強のライバル フェイト,N1/W32-101R,"1,980 円",remaining:×
0,水着のフェイト,N1/W32-102R,"2,480 円",remaining:×
0,最強のライバル なのは,N1/W32-103R,780 円,remaining:4pcs
0,水着のなのは,N1/W32-104R,500 円,remaining:×
0,激戦の攻防,N1/W32-105R,"2,980 円",remaining:9pcs
0,“守護騎士”シグナム,N2/W32-107R,320 円,remaining:×
0,先輩として フェイト,N2/W32-109R,780 円,remaining:×
0,先輩として なのは,N2/W32-111R,420 円,remaining:×
0,“守護騎士”ヴィータ,N2/W32-112R,220 円,remaining:3pcs
0,幸せな日々 はやて,N2/W32-114R,320 円,remaining:×
0,ふたりきりの時間,N2/W32-117R,680 円,remaining:3pcs
0,主の笑顔のため,N2/W32-118R,320 円,remaining:4pcs
0,代わりの人形フェイト,N1/W32-001S,320 円,remaining:2pcs
0,もうひとりの魔法少女フェイト,N1/W32-008S,"1,980 円",remaining:×
0,自分の意思なのは,N1/W32-018S,320 円,remaining:×
0,信じた思い なのは,N1/W32-019S,180 円,remaining:2pcs
0,全力全開なのは,N1/W32-020S,220 円,remaining:×
0,雷の帰還 フェイト,N2/W32-028S,680 円,remaining:×
0,守るべきもの シグナム,N2/W32-035S,420 円,remaining:×
0,決意の眼差し なのは,N2/W32-053S,220 円,remaining:×
0,悲壮な決意 ヴィータ,N2/W32-058S,180 円,remaining:3pcs
0,ユニゾンイン!はやて,N2/W32-077S,420 円,remaining:4pcs
0,雷の帰還 フェイト,N2/W32-028,320 円,remaining:×
0,決意の眼差し なのは,N2/W32-053,120 円,remaining:7pcs
0,怒りの眼差し ヴィータ,N2/W32-054,120 円,remaining:◯
0,ユニゾンイン!はやて,N2/W32-077,180 円,remaining:5pcs
0,一心同体 はやて&リインフォース,N2/W32-078,120 円,remaining:◯
0,“プラズマザンバーブレイカー”フェイト,N2/W32-106,"3,980 円",remaining:◯
0,“スターライトブレイカー”なのは,N2/W32-110,"1,480 円",remaining:◯
