,card_name,card_num,price,status
0,主人公(P4),P4/SE01-01,220 円,remaining:×
0,陽介&ジライヤ,P4/SE01-02,120 円,remaining:4pcs
0,千枝&トモエ,P4/SE01-07,120 円,remaining:×
0,久慈川 りせ,P4/SE01-08,120 円,remaining:◯
0,雪子&コノハナサクヤ,P4/SE01-11,120 円,remaining:×
0,白鐘 直斗,P4/SE01-17,500 円,remaining:×
0,堂島 遼太郎,P4/SE01-03,120 円,remaining:4pcs
0,花村 陽介,P4/SE01-04,120 円,remaining:×
0,堂島 菜々子,P4/SE01-05,80 円,remaining:4pcs
0,里中 千枝,P4/SE01-09,80 円,remaining:4pcs
0,完二&タケミカヅチ,P4/SE01-12,80 円,remaining:◯
0,天城 雪子,P4/SE01-13,80 円,remaining:5pcs
0,巽 完二,P4/SE01-14,120 円,remaining:◯
0,オレの出番ッス!,P4/SE01-15,80 円,remaining:◯
0,クマ,P4/SE01-18,80 円,remaining:◯
0,イザナギ覚醒,P4/SE01-06,120 円,remaining:6pcs
0,現役美少女アイドル,P4/SE01-10,120 円,remaining:4pcs
0,突撃逆ナン大作戦,P4/SE01-16,180 円,remaining:×
0,主人公(P4)(ホロ),P4/SE01-01,500 円,remaining:×
0,陽介&ジライヤ(ホロ),P4/SE01-02,180 円,remaining:×
0,千枝&トモエ(ホロ),P4/SE01-07,180 円,remaining:×
0,久慈川 りせ(ホロ),P4/SE01-08,180 円,remaining:1pcs
0,雪子&コノハナサクヤ(ホロ),P4/SE01-11,180 円,remaining:×
0,白鐘 直斗(ホロ),P4/SE01-17,980 円,remaining:2pcs
0,堂島 遼太郎(ホロ),P4/SE01-03,180 円,remaining:×
0,花村 陽介(ホロ),P4/SE01-04,180 円,remaining:2pcs
0,堂島 菜々子(ホロ),P4/SE01-05,120 円,remaining:2pcs
0,里中 千枝(ホロ),P4/SE01-09,120 円,remaining:×
0,完二&タケミカヅチ(ホロ),P4/SE01-12,120 円,remaining:7pcs
0,天城 雪子(ホロ),P4/SE01-13,120 円,remaining:◯
0,巽 完二(ホロ),P4/SE01-14,180 円,remaining:7pcs
0,オレの出番ッス!(ホロ),P4/SE01-15,120 円,remaining:◯
0,クマ(ホロ),P4/SE01-18,120 円,remaining:10pcs
0,イザナギ覚醒(ホロ),P4/SE01-06,180 円,remaining:×
0,現役美少女アイドル(ホロ),P4/SE01-10,180 円,remaining:×
0,突撃逆ナン大作戦(ホロ),P4/SE01-16,220 円,remaining:×
0,“心の海より出でし者”イザナギ,P4/SE01-019,180 円,remaining:7pcs
