,card_name,card_num,price,status
0,アインクラッド キリト&アスナ(サイン入り),SAO/S71-003SSP,"29,800 円",remaining:×
0,今夜は一緒に(サイン入り),SAO/S71-028SSP,"158,000 円",remaining:×
0,再会の時 アスナ(サイン入り),SAO/S71-001SP,"59,800 円",remaining:×
0,Alicization Dividing キリト&アリス(サイン入り),SAO/S71-002SP,"6,980 円",remaining:×
0,次の世界へ ユウキ(サイン入り),SAO/S71-031SP,"29,800 円",remaining:×
0,フェアリィ・ダンス キリト&リーファ(サイン入り),SAO/S71-032SP,"4,980 円",remaining:2pcs
0,《オーディナル・スケール》ユナ(サイン入り),SAO/S71-040SP,"12,800 円",remaining:×
0,アインクラッド シリカ&キリト(サイン入り),SAO/S71-056SP,"5,980 円",remaining:1pcs
0,目指せ聖剣 リズベット&シリカ(サイン入り),SAO/S71-057SP,"3,980 円",remaining:2pcs
0,再会の時 キリト(サイン入り),SAO/S71-071SP,"29,800 円",remaining:×
0,Alicization Uniting キリト&ユージオ(サイン入り),SAO/S71-073SP,"9,980 円",remaining:×
0,静かな闘志 シノン(サイン入り),SAO/S71-074SP,"14,800 円",remaining:×
0,記憶の無い少女 ユイ(サイン入り),SAO/S71-083SP,"3,980 円",remaining:1pcs
0,Childhood,SAO/S71-029R,500 円,remaining:3pcs
0,砂漠の宴,SAO/S71-030R,220 円,remaining:×
0,世界樹のもとへ,SAO/S71-053R,320 円,remaining:×
0,Hearty party,SAO/S71-054R,220 円,remaining:1pcs
0,雨宿り,SAO/S71-055R,"2,480 円",remaining:4pcs
0,MORE DEBAN!,SAO/S71-069R,320 円,remaining:1pcs
0,東の果ての桃源郷,SAO/S71-070R,180 円,remaining:2pcs
0,薄明のギルド,SAO/S71-098R,780 円,remaining:8pcs
0,過去に立ち向かう二人,SAO/S71-099R,500 円,remaining:5pcs
0,ソーダ色のパノラマ,SAO/S71-100R,420 円,remaining:×
0,打ち解けた微笑 アスナ,SAO/S71-004S,780 円,remaining:◯
0,《光剣》の使い手 アスナ,SAO/S71-005S,980 円,remaining:×
0,Alicization Exploding キリト&アスナ,SAO/S71-006S,"1,480 円",remaining:×
0,水妖精族の魔法使い アスナ,SAO/S71-007S,420 円,remaining:3pcs
0,生存確認 アスナ,SAO/S71-008S,320 円,remaining:6pcs
0,天然色の二人,SAO/S71-009S,"1,480 円",remaining:5pcs
0,レイピアの名手 アスナ,SAO/S71-010S,"1,980 円",remaining:5pcs
0,Alicization Invading アリス&キリト,SAO/S71-011S,420 円,remaining:1pcs
0,《血盟騎士団》ギルドリーダーヒースクリフ,SAO/S71-012S,"1,280 円",remaining:◯
0,遠来のお客様,SAO/S71-013S,220 円,remaining:×
0,子供時代 アリス,SAO/S71-014S,420 円,remaining:×
0,必要な存在 アスナ,SAO/S71-015S,320 円,remaining:×
0,さすらいの一座,SAO/S71-016S,220 円,remaining:×
0,冬の聖域 詩乃&明日奈&ユウキ,SAO/S71-017S,"1,280 円",remaining:6pcs
0,Alicization Lasting キリト&アスナ,SAO/S71-018S,780 円,remaining:×
0,《オーディナル・スケール》アスナ,SAO/S71-019S,980 円,remaining:5pcs
0,フェアリィ・ダンス アスナ&キリト,SAO/S71-020S,500 円,remaining:2pcs
0,束の間の休息 アスナ&キリト,SAO/S71-021S,420 円,remaining:8pcs
0,コンビ結成 アスナ&キリト,SAO/S71-022S,320 円,remaining:4pcs
0,囚われの身 アスナ,SAO/S71-023S,320 円,remaining:6pcs
0,幕屋の姫君,SAO/S71-024S,180 円,remaining:×
0,囚われの身 明日奈,SAO/S71-025S,320 円,remaining:8pcs
0,《圏内事件》を追う キリト&アスナ,SAO/S71-026S,500 円,remaining:5pcs
0,ラーメン……?,SAO/S71-027S,180 円,remaining:◯
0,Alicization Awakening シノン&リーファ,SAO/S71-033S,980 円,remaining:×
0,冬の聖域 ロニエ&ティーゼ&アリス,SAO/S71-034S,420 円,remaining:×
0,晴れた笑顔 直葉&和人,SAO/S71-035S,500 円,remaining:3pcs
0,素敵な館のメイドたち,SAO/S71-036S,220 円,remaining:1pcs
0,マザーズ・ロザリオ キリト&アスナ&ユウキ,SAO/S71-037S,320 円,remaining:1pcs
0,天真爛漫 ユウキ,SAO/S71-038S,"1,480 円",remaining:6pcs
0,目指せ聖剣 ユイ&クライン&リーファ&アスナ,SAO/S71-039S,420 円,remaining:3pcs
0,大地の過客,SAO/S71-041S,320 円,remaining:×
0,Alicization Turning キリト&ティーゼ&ロニエ,SAO/S71-042S,420 円,remaining:◯
0,Eternal Weavers,SAO/S71-043S,320 円,remaining:×
0,Infinite Weavers,SAO/S71-044S,"1,480 円",remaining:2pcs
0,夜更かしの代償 直葉,SAO/S71-045S,320 円,remaining:◯
0,《世界樹》で待つ者 オベイロン,SAO/S71-046S,120 円,remaining:3pcs
0,Alicization Rising キリト&フィゼル&リネル,SAO/S71-047S,680 円,remaining:×
0,《オーディナル・スケール》 エイジ,SAO/S71-048S,320 円,remaining:3pcs
0,不思議なパーティ《スリーピング・ナイツ》,SAO/S71-049S,220 円,remaining:4pcs
0,残照の空中散歩 リーファ,SAO/S71-050S,420 円,remaining:7pcs
0,眠気を催すアレ アスナ&リーファ,SAO/S71-051S,320 円,remaining:3pcs
0,二人の正体,SAO/S71-052S,220 円,remaining:3pcs
0,眠気を催すアレ リズベット&シリカ,SAO/S71-058S,420 円,remaining:6pcs
0,冬の聖域 直葉&珪子&里香,SAO/S71-059S,980 円,remaining:4pcs
0,真夏の妖精,SAO/S71-060S,500 円,remaining:10pcs
0,Urban young generations,SAO/S71-061S,420 円,remaining:5pcs
0,みんなで観戦 リーファ&シリカ,SAO/S71-062S,420 円,remaining:8pcs
0,謎のアバター 《死銃》,SAO/S71-063S,120 円,remaining:3pcs
0,そろって冒険 アスナ&リズベット&シリカ,SAO/S71-064S,500 円,remaining:4pcs
0,みんなで観戦 ユイ&アスナ&クライン&リズベット,SAO/S71-065S,220 円,remaining:1pcs
0,真の殺人者《死銃》,SAO/S71-066S,120 円,remaining:4pcs
0,四季を彩る少女たち,SAO/S71-067S,220 円,remaining:×
0,《サラマンダー》の襲撃,SAO/S71-068S,120 円,remaining:7pcs
0,黄昏のイノセンス,SAO/S71-072S,"1,480 円",remaining:3pcs
