,card_name,card_num,price,status
0,希望の光 アスナ(サイン入り),SAO/S26-002SP,"24,800 円",remaining:×
0,仮想と現実 リーファ&直葉(サイン入り),SAO/S26-022SP,"9,980 円",remaining:×
0,《ケットシー》の少女 シリカ(サイン入り),SAO/S26-041SP,"3,480 円",remaining:×
0,輝く笑顔 リズベット(サイン入り),SAO/S26-046SP,"3,480 円",remaining:×
0,ママを探す冒険 ユイ(サイン入り),SAO/S26-061SP,"3,480 円",remaining:×
0,《二刀流》の悪魔 キリト(サイン入り),SAO/S26-062SP,"4,980 円",remaining:×
0,前向きな気持ち アスナ,SAO/S26-001R,500 円,remaining:×
0,兄を応援する直葉,SAO/S26-024R,220 円,remaining:2pcs
0,休戦協定 里香,SAO/S26-051R,220 円,remaining:1pcs
0,《ALO》への挑戦 和人,SAO/S26-064R,320 円,remaining:4pcs
0,手料理の披露 アスナ,SAO/S26-004S,500 円,remaining:×
0,結城 明日奈,SAO/S26-006S,420 円,remaining:×
0,仮想世界の少女 リーファ,SAO/S26-025S,220 円,remaining:×
0,着替え中の直葉,SAO/S26-026S,"1,980 円",remaining:×
0,《レプラコーン》の少女 リズベット,SAO/S26-044S,220 円,remaining:3pcs
0,恥じらいの困り顔 シリカ,SAO/S26-045S,320 円,remaining:×
0,《スプリガン》の少年 キリト,SAO/S26-065S,220 円,remaining:2pcs
0,《ナビゲーション・ピクシー》ユイ,SAO/S26-071S,220 円,remaining:4pcs
0,前向きな気持ち アスナ,SAO/S26-001,120 円,remaining:1pcs
0,希望の光 アスナ,SAO/S26-002,120 円,remaining:2pcs
0,《シルフ》の手練れ リーファ,SAO/S26-021,180 円,remaining:1pcs
0,仮想と現実 リーファ&直葉,SAO/S26-022,120 円,remaining:1pcs
0,《ケットシー》の少女 シリカ,SAO/S26-041,120 円,remaining:1pcs
0,安堵の笑顔 シリカ,SAO/S26-042,120 円,remaining:×
0,ママを探す冒険 ユイ,SAO/S26-061,120 円,remaining:5pcs
0,《二刀流》の悪魔 キリト,SAO/S26-062,120 円,remaining:1pcs
0,大切な時間 アスナ,SAO/S26-003,120 円,remaining:◯
0,手料理の披露 アスナ,SAO/S26-004,120 円,remaining:◯
0,鳥かごの中 アスナ,SAO/S26-005,120 円,remaining:◯
0,結城 明日奈,SAO/S26-006,80 円,remaining:◯
0,勝気な少女 リーファ,SAO/S26-023,120 円,remaining:◯
0,兄を応援する直葉,SAO/S26-024,80 円,remaining:◯
0,仮想世界の少女 リーファ,SAO/S26-025,120 円,remaining:◯
0,着替え中の直葉,SAO/S26-026,120 円,remaining:◯
0,空を見上げる シリカ,SAO/S26-043,80 円,remaining:◯
0,《レプラコーン》の少女 リズベット,SAO/S26-044,120 円,remaining:◯
0,恥じらいの困り顔 シリカ,SAO/S26-045,120 円,remaining:◯
0,輝く笑顔 リズベット,SAO/S26-046,80 円,remaining:◯
0,雨宿り キリト,SAO/S26-063,120 円,remaining:◯
0,《ALO》への挑戦 和人,SAO/S26-064,120 円,remaining:◯
0,《スプリガン》の少年 キリト,SAO/S26-065,120 円,remaining:◯
0,揺るがぬ信念 キリト,SAO/S26-066,120 円,remaining:◯
0,妖精王の妃 アスナ,SAO/S26-007,50 円,remaining:◯
0,“生ける伝説”ヒースクリフ,SAO/S26-008,50 円,remaining:◯
0,家庭的な一面 明日奈,SAO/S26-009,50 円,remaining:◯
0,優しい佇まい アスナ,SAO/S26-010,80 円,remaining:◯
0,はにかんだ微笑 アスナ,SAO/S26-011,50 円,remaining:◯
0,アスナの贈り物,SAO/S26-018,50 円,remaining:◯
0,“スピードホリック”リーファ,SAO/S26-027,50 円,remaining:◯
0,“古参プレイヤー”リーファ,SAO/S26-028,50 円,remaining:◯
0,キリトの妹 直葉,SAO/S26-029,50 円,remaining:◯
0,悩める乙女 リーファ,SAO/S26-030,50 円,remaining:◯
0,家庭教師 直葉,SAO/S26-031,50 円,remaining:◯
0,スイルベーンの特産品,SAO/S26-038,50 円,remaining:10pcs
0,篠崎 里香,SAO/S26-047,120 円,remaining:◯
0,自覚した恋心 リズベット,SAO/S26-048,50 円,remaining:1pcs
0,休戦協定 珪子,SAO/S26-049,50 円,remaining:◯
0,綾野 珪子,SAO/S26-050,50 円,remaining:◯
0,休戦協定 里香,SAO/S26-051,50 円,remaining:◯
0,《魔剣グラム》,SAO/S26-058,220 円,remaining:×
0,新婚生活 キリト,SAO/S26-067,50 円,remaining:◯
0,取り戻した記憶 ユイ,SAO/S26-068,50 円,remaining:◯
0,二つの世界 キリト,SAO/S26-069,50 円,remaining:◯
0,MMOとの出会い 和人,SAO/S26-070,50 円,remaining:◯
0,《ナビゲーション・ピクシー》ユイ,SAO/S26-071,50 円,remaining:◯
0,《世界の種子》,SAO/S26-078,50 円,remaining:◯
0,《ウンディーネ》の少女 アスナ,SAO/S26-012,30 円,remaining:◯
0,《攻略組》の休日 アスナ,SAO/S26-013,30 円,remaining:◯
0,芽場 晶彦,SAO/S26-014,30 円,remaining:◯
0,休暇の過ごし方 アスナ,SAO/S26-015,30 円,remaining:◯
0,前線に身を置く アスナ,SAO/S26-016,30 円,remaining:◯
0,《ケット・シー》の領主 アリシャ・ルー,SAO/S26-017,30 円,remaining:◯
0,気がかりなレコン,SAO/S26-032,30 円,remaining:◯
0,領地からの旅立ち リーファ,SAO/S26-033,30 円,remaining:◯
0,料理中の直葉,SAO/S26-034,30 円,remaining:◯
0,ゲームマスター オベイロン,SAO/S26-035,30 円,remaining:◯
0,幼い頃の直葉,SAO/S26-036,30 円,remaining:◯
0,《シルフ》の領主 サクヤ,SAO/S26-037,30 円,remaining:◯
0,制服の珪子,SAO/S26-052,30 円,remaining:◯
0,素材採集の冒険 リズベット,SAO/S26-053,30 円,remaining:◯
0,親切への警戒 シリカ,SAO/S26-054,30 円,remaining:◯
0,意地になったリズベット,SAO/S26-055,30 円,remaining:◯
0,優しい温もり リズベット,SAO/S26-056,30 円,remaining:◯
0,指揮官 ユージーン,SAO/S26-057,30 円,remaining:◯
0,晴れ着のユイ,SAO/S26-072,30 円,remaining:◯
0,《フラワーガーデン》のキリト,SAO/S26-073,50 円,remaining:◯
0,シンプルな答え ユイ,SAO/S26-074,30 円,remaining:◯
0,故買商 エギル,SAO/S26-075,30 円,remaining:◯
0,最前線の戦い キリト,SAO/S26-076,30 円,remaining:◯
0,気さくな青年 クライン,SAO/S26-077,30 円,remaining:◯
0,《世界樹》の上で,SAO/S26-019,80 円,remaining:◯
0,フェアリィ・ダンス,SAO/S26-039,80 円,remaining:◯
0,戦闘中のハプニング,SAO/S26-059,80 円,remaining:◯
0,最強プレイヤーとの対峙,SAO/S26-079,80 円,remaining:◯
0,“奥さん”の正体,SAO/S26-020,30 円,remaining:◯
0,昨夜の記憶,SAO/S26-040,30 円,remaining:◯
0,笑顔に戻るまで,SAO/S26-060,30 円,remaining:◯
0,ユイとの再会,SAO/S26-080,30 円,remaining:◯
0,《スター・スプラッシュ》,SAO/S26-081,120 円,remaining:3pcs
0,スペル詠唱,SAO/S26-082,120 円,remaining:10pcs
