,card_name,card_num,price,status
0,北の洞窟へ アリス(サイン入り),SAO/S65-001SP,"4,980 円",remaining:×
0,“私の答えなら”明日奈(サイン入り),SAO/S65-003SP,"14,800 円",remaining:×
0,玲瓏な女騎士 アリス(サイン入り),SAO/S65-004SP,"8,980 円",remaining:1pcs
0,“ユージオの相棒”キリト(サイン入り),SAO/S65-069SP,"3,980 円",remaining:×
0,“キリトの相棒”ユージオ(サイン入り),SAO/S65-071SP,"3,980 円",remaining:1pcs
0,“幼馴染の少女”アリス(サイン入り),SAO/S65-T06SP,"14,800 円",remaining:×
0,動き出す運命 ユージオ(サイン入り),SAO/S65-T14SP,"3,980 円",remaining:×
0,金木犀の剣,SAO/S65-023R,"1,480 円",remaining:×
0,独立の宣言,SAO/S65-024R,"1,280 円",remaining:8pcs
0,人間であるということ,SAO/S65-049R,220 円,remaining:8pcs
0,《人界》の支配者,SAO/S65-067R,"1,280 円",remaining:◯
0,永遠なる停滞への誘い,SAO/S65-068R,980 円,remaining:×
0,赤薔薇の剣,SAO/S65-097R,"1,780 円",remaining:1pcs
0,夜空の剣,SAO/S65-098R,980 円,remaining:◯
0,青薔薇の剣,SAO/S65-099R,780 円,remaining:×
0,“金木犀の騎士”アリス・シンセシス・サーティ,SAO/S65-T05R,780 円,remaining:3pcs
0,“ベクタの迷子”キリト,SAO/S65-T17R,680 円,remaining:◯
0,昔日の冒険,SAO/S65-T19R,980 円,remaining:◯
0,離反の覚悟 アリス,SAO/S65-002S,680 円,remaining:◯
0,命綱の鎖 アリス,SAO/S65-006S,500 円,remaining:×
0,甘いのはいかが? 明日奈,SAO/S65-007S,500 円,remaining:×
0,神聖術で調理 アリス,SAO/S65-008S,500 円,remaining:8pcs
0,煌めく金木犀 アリス,SAO/S65-009S,780 円,remaining:×
0,“誇りと共に”カーディナル,SAO/S65-026S,500 円,remaining:3pcs
0,仇敵との戦い カーディナル,SAO/S65-028S,180 円,remaining:7pcs
0,年頃の少女 ロニエ&ティーゼ,SAO/S65-029S,320 円,remaining:×
0,“図書室の賢者”カーディナル,SAO/S65-031S,320 円,remaining:5pcs
0,“公理教会最高司祭”アドミニストレータ,SAO/S65-052S,980 円,remaining:×
0,“神聖術師見習い”クィネラ,SAO/S65-053S,680 円,remaining:◯
0,負荷実験への備え アドミニストレータ,SAO/S65-054S,680 円,remaining:×
0,甘やかなる誘惑 アドミニストレータ,SAO/S65-056S,420 円,remaining:×
0,“支配者”アドミニストレータ,SAO/S65-057S,420 円,remaining:×
0,自由人のルームメイト ユージオ,SAO/S65-070S,980 円,remaining:◯
0,夜空色の英雄 キリト,SAO/S65-072S,"1,280 円",remaining:×
0,昼食分の働き キリト,SAO/S65-073S,320 円,remaining:6pcs
0,“永久氷塊と薔薇”ユージオ,SAO/S65-078S,320 円,remaining:×
0,まばゆい金色 アリス,SAO/S65-T02S,120 円,remaining:1pcs
0,“初等練士”ユージオ&キリト,SAO/S65-T11S,120 円,remaining:2pcs
0,北の洞窟へ アリス,SAO/S65-001,320 円,remaining:◯
0,離反の覚悟 アリス,SAO/S65-002,420 円,remaining:◯
0,“私の答えなら”明日奈,SAO/S65-003,220 円,remaining:◯
0,玲瓏な女騎士 アリス,SAO/S65-004,420 円,remaining:◯
0,“誇りと共に”カーディナル,SAO/S65-026,320 円,remaining:◯
0,“公理教会最高司祭”アドミニストレータ,SAO/S65-052,220 円,remaining:◯
0,“ユージオの相棒”キリト,SAO/S65-069,320 円,remaining:◯
0,自由人のルームメイト ユージオ,SAO/S65-070,220 円,remaining:◯
0,“キリトの相棒”ユージオ,SAO/S65-071,780 円,remaining:◯
0,夜空色の英雄 キリト,SAO/S65-072,500 円,remaining:◯
0,宴もたけなわ セルカ,SAO/S65-005,120 円,remaining:◯
0,命綱の鎖 アリス,SAO/S65-006,180 円,remaining:◯
0,甘いのはいかが? 明日奈,SAO/S65-007,120 円,remaining:◯
0,神聖術で調理 アリス,SAO/S65-008,120 円,remaining:◯
0,煌めく金木犀 アリス,SAO/S65-009,220 円,remaining:◯
0,休みの過ごし方 ソルティリーナ,SAO/S65-027,80 円,remaining:◯
0,仇敵との戦い カーディナル,SAO/S65-028,80 円,remaining:◯
0,年頃の少女 ロニエ&ティーゼ,SAO/S65-029,80 円,remaining:◯
0,“完全支配術”カーディナル,SAO/S65-030,80 円,remaining:◯
0,“図書室の賢者”カーディナル,SAO/S65-031,120 円,remaining:◯
0,“伝説の英雄”ベルクーリ・シンセシス・ワン,SAO/S65-032,80 円,remaining:◯
0,“神聖術師見習い”クィネラ,SAO/S65-053,180 円,remaining:◯
0,負荷実験への備え アドミニストレータ,SAO/S65-054,220 円,remaining:◯
0,酷薄の雷撃 アドミニストレータ,SAO/S65-055,120 円,remaining:◯
0,甘やかなる誘惑 アドミニストレータ,SAO/S65-056,120 円,remaining:◯
0,“支配者”アドミニストレータ,SAO/S65-057,120 円,remaining:◯
0,昼食分の働き キリト,SAO/S65-073,120 円,remaining:◯
0,“心意の力”キリト,SAO/S65-074,220 円,remaining:◯
0,その身を剣に ユージオ,SAO/S65-075,180 円,remaining:◯
0,神聖術の光 ユージオ,SAO/S65-076,80 円,remaining:◯
0,禁忌と正義 ユージオ,SAO/S65-077,120 円,remaining:◯
0,“永久氷塊と薔薇”ユージオ,SAO/S65-078,120 円,remaining:◯
0,仮想世界の情報 アスナ,SAO/S65-010,50 円,remaining:◯
0,負けず嫌い アリス,SAO/S65-011,80 円,remaining:◯
0,ある夏の出来事 アリス,SAO/S65-012,50 円,remaining:◯
0,妹の記憶 アリス,SAO/S65-013,80 円,remaining:◯
0,天の助け,SAO/S65-021,50 円,remaining:◯
0,安岐ナツキ二等陸曹,SAO/S65-022,120 円,remaining:◯
0,リセリスという名の少女 カーディナル,SAO/S65-033,50 円,remaining:◯
0,“修道女見習い”フィゼル・シンセシス・トゥエニナイン,SAO/S65-034,50 円,remaining:◯
0,整合騎士への嘆願 ティーゼ&ロニエ,SAO/S65-035,50 円,remaining:◯
