,card_name,card_num,price,status
0,ブレインコロニー レオパルド(サイン入り),SK/WE05-03,"2,980 円",remaining:4pcs
0,獅子堂 妹子(サイン入り),SK/WE05-18,"4,980 円",remaining:1pcs
0,獅子堂 神楽(サイン入り),SK/WE05-26,"1,980 円",remaining:×
0,最後の希望 秋葉,SK/WE05-01,180 円,remaining:◯
0,ブレインコロニー レオパルド,SK/WE05-03,120 円,remaining:◯
0,不思議少女ほのか,SK/WE05-16,120 円,remaining:◯
0,獅子堂財団総帥 風音,SK/WE05-22,120 円,remaining:◯
0,願いを受け継ぐもの 秋葉,SK/WE05-05,120 円,remaining:◯
0,ミンタオ&ブーゲンビリア,SK/WE05-10,80 円,remaining:◯
0,いつき&ウル,SK/WE05-11,80 円,remaining:10pcs
0,獅子堂 妹子,SK/WE05-18,320 円,remaining:◯
0,獅子堂 ナミ,SK/WE05-25,120 円,remaining:◯
0,獅子堂 神楽,SK/WE05-26,80 円,remaining:◯
0,黄金銃,SK/WE05-07,120 円,remaining:◯
0,最後の希望 秋葉(ホロ),SK/WE05-01,220 円,remaining:◯
0,ブレインコロニー レオパルド(ホロ),SK/WE05-03,180 円,remaining:◯
0,不思議少女ほのか(ホロ),SK/WE05-16,180 円,remaining:◯
0,獅子堂財団総帥 風音(ホロ),SK/WE05-22,180 円,remaining:◯
0,願いを受け継ぐもの 秋葉(ホロ),SK/WE05-05,180 円,remaining:5pcs
0,ミンタオ&ブーゲンビリア(ホロ),SK/WE05-10,120 円,remaining:◯
0,いつき&ウル(ホロ),SK/WE05-11,120 円,remaining:8pcs
0,獅子堂 妹子(ホロ),SK/WE05-18,420 円,remaining:◯
0,獅子堂 ナミ(ホロ),SK/WE05-25,180 円,remaining:◯
0,獅子堂 神楽(ホロ),SK/WE05-26,120 円,remaining:7pcs
0,黄金銃(ホロ),SK/WE05-07,180 円,remaining:◯
0,奪われた者達,SK/WE05-28,420 円,remaining:◯
0,Qテクターほのか,SK/WE05-29,220 円,remaining:2pcs
0,Qテクターいつき,SK/WE05-30,180 円,remaining:8pcs
0,最後の切り札 秋葉,SK/WE05-31,220 円,remaining:3pcs
0,一緒の気持ち 秋葉&妹子,SK/WE05-32,320 円,remaining:◯
0,宇宙をかける少女,SK/WE05-33,320 円,remaining:6pcs
