,card_name,card_num,price,status
0,“幹部乗組員”アドルフ(サイン入り),TF/S32-002SP,"4,980 円",remaining:×
0,“アネックス1号の乗組員”エヴァ(サイン入り),TF/S32-004SP,"2,980 円",remaining:×
0,“アネックス1号の乗組員”マルコス(サイン入り),TF/S32-032SP,"1,980 円",remaining:×
0,“アネックス1号の乗組員”アレックス(サイン入り),TF/S32-051SP,"2,480 円",remaining:×
0,“アネックス1号の乗組員”膝丸 燈(サイン入り),TF/S32-052SP,"4,980 円",remaining:×
0,“アネックス1号の乗組員”ミッシェル(サイン入り),TF/S32-077SP,"2,480 円",remaining:×
0,“バグズ2号の乗組員”小町 小吉(サイン入り),TF/S32-T10SP,"2,980 円",remaining:×
0,DESIRE 願い,TF/S32-023R,320 円,remaining:×
0,最後の言葉,TF/S32-048R,320 円,remaining:1pcs
0,M.O.手術,TF/S32-073R,500 円,remaining:×
0,BLACK BEETLE 死者と蟲,TF/S32-098R,420 円,remaining:×
0,“害虫の王”テラフォーマー,TF/S32-T02R,"1,980 円",remaining:2pcs
0,“バグズ2号の乗組員”ティン,TF/S32-T14R,500 円,remaining:9pcs
0,“幹部乗組員”ジョセフ,TF/S32-001S,420 円,remaining:3pcs
0,“アネックス1号の乗組員”アドルフ,TF/S32-006S,180 円,remaining:×
0,“アネックス1号の艦長”小町 小吉,TF/S32-027S,320 円,remaining:×
0,“太陽のような明るさ”シーラ,TF/S32-028S,320 円,remaining:1pcs
0,“奇跡の子”ミッシェル,TF/S32-054S,180 円,remaining:×
0,“奇跡の子”膝丸 燈,TF/S32-057S,180 円,remaining:1pcs
0,“禍を生むもの”テラフォーマー,TF/S32-076S,420 円,remaining:×
0,“頼もしい班長”ミッシェル,TF/S32-078S,220 円,remaining:×
0,“バグズ2号の乗組員”小町 小吉,TF/S32-T10S,180 円,remaining:4pcs
0,“幹部乗組員”ジョセフ,TF/S32-001,320 円,remaining:◯
0,“幹部乗組員”アドルフ,TF/S32-002,420 円,remaining:◯
0,“幹部乗組員”小町 小吉,TF/S32-026,180 円,remaining:◯
0,“アネックス1号の艦長”小町 小吉,TF/S32-027,220 円,remaining:◯
0,“アネックス1号の乗組員”アレックス,TF/S32-051,180 円,remaining:◯
0,“アネックス1号の乗組員”膝丸 燈,TF/S32-052,500 円,remaining:◯
0,“禍を生むもの”テラフォーマー,TF/S32-076,220 円,remaining:1pcs
0,“アネックス1号の乗組員”ミッシェル,TF/S32-077,120 円,remaining:◯
0,“五班の雷電”アドルフ,TF/S32-003,180 円,remaining:◯
0,“アネックス1号の乗組員”エヴァ,TF/S32-004,120 円,remaining:◯
0,“デンキウナギ”アドルフ,TF/S32-005,120 円,remaining:6pcs
0,“アネックス1号の乗組員”アドルフ,TF/S32-006,80 円,remaining:◯
0,“幹部乗組員”アシモフ,TF/S32-007,80 円,remaining:◯
0,“太陽のような明るさ”シーラ,TF/S32-028,220 円,remaining:×
0,“アネックス1号の乗組員”鬼塚 慶次,TF/S32-029,180 円,remaining:1pcs
0,“気さくな青年”マルコス,TF/S32-030,180 円,remaining:◯
0,“火星への旅立ち”マルコス,TF/S32-031,120 円,remaining:◯
0,“アネックス1号の乗組員”マルコス,TF/S32-032,80 円,remaining:◯
0,“火星への旅立ち”膝丸 燈,TF/S32-053,180 円,remaining:◯
0,“奇跡の子”ミッシェル,TF/S32-054,120 円,remaining:◯
0,“火星への旅立ち”アレックス,TF/S32-055,120 円,remaining:◯
0,“頼もしい乗組員”膝丸 燈,TF/S32-056,120 円,remaining:◯
0,“奇跡の子”膝丸 燈,TF/S32-057,120 円,remaining:◯
0,“頼もしい班長”ミッシェル,TF/S32-078,180 円,remaining:◯
0,“約束のために”膝丸 燈,TF/S32-079,120 円,remaining:◯
0,“部下を守る姿”小町 小吉,TF/S32-080,180 円,remaining:◯
0,“託された希望”膝丸 燈,TF/S32-081,120 円,remaining:8pcs
0,“幹部乗組員”ミッシェル,TF/S32-082,80 円,remaining:◯
0,“穏やかな微笑”エヴァ,TF/S32-008,80 円,remaining:◯
0,“アネックス1号の乗組員”ジョセフ,TF/S32-009,50 円,remaining:◯
0,“アネックス1号の乗組員”アレクサンドル,TF/S32-010,50 円,remaining:◯
0,“アネックス1号の乗組員”イワン,TF/S32-011,50 円,remaining:◯
0,“幹部乗組員”劉 翊武,TF/S32-012,50 円,remaining:◯
0,雷雨の一粒,TF/S32-021,50 円,remaining:◯
0,チョウセンアサガオの幻覚,TF/S32-022,50 円,remaining:◯
0,“日本原産『大雀蜂』”小町 小吉,TF/S32-033,50 円,remaining:◯
0,“モンハナシャコ”鬼塚 慶次,TF/S32-034,50 円,remaining:◯
0,“アネックス1号の乗組員”三条 加奈子,TF/S32-035,50 円,remaining:◯
0,“アネックス1号の乗組員”シーラ,TF/S32-036,50 円,remaining:◯
0,“人類の脅威”テラフォーマー,TF/S32-037,120 円,remaining:4pcs
0,バグズ手術,TF/S32-046,50 円,remaining:◯
0,火星に放たれたゴキブリ,TF/S32-047,50 円,remaining:◯
0,“U-NASA火星探索チーム副隊長”ミッシェル,TF/S32-058,50 円,remaining:◯
0,“戦う理由”膝丸 燈,TF/S32-059,50 円,remaining:◯
0,“出陣”膝丸 燈(エラッタ前),TF/S32-060,50 円,remaining:◯
0,“出陣”膝丸 燈(エラッタ後),TF/S32-060,50 円,remaining:4pcs
0,“戦いの序章”ミッシェル,TF/S32-061,50 円,remaining:◯
0,“オウギワシ”アレックス,TF/S32-062,50 円,remaining:◯
0,種の対立,TF/S32-071,80 円,remaining:◯
0,差し伸べられた手,TF/S32-072,50 円,remaining:◯
0,“優しい艦長”小町 小吉,TF/S32-083,50 円,remaining:◯
0,“忌むべき存在”テラフォーマー,TF/S32-084A,320 円,remaining:3pcs
0,“忌むべき存在”テラフォーマー,TF/S32-084B,320 円,remaining:2pcs
0,“忌むべき存在”テラフォーマー,TF/S32-084C,320 円,remaining:1pcs
0,“バクダンオオアリ”ミッシェル,TF/S32-085,50 円,remaining:◯
0,“託された希望”小町 小吉,TF/S32-086,50 円,remaining:◯
0,“高い戦闘力”膝丸 燈,TF/S32-087,50 円,remaining:◯
0,悪魔の血脈,TF/S32-096,80 円,remaining:◯
0,投薬,TF/S32-097,50 円,remaining:◯
