,card_name,card_num,price,status
0,激しい剣撃 太刀川 慶(箔押し入り),WTR/S85-001SP,"5,980 円",remaining:×
0,迅速果断 小南 桐絵(箔押し入り),WTR/S85-002SP,"7,980 円",remaining:×
0,消える双剣使い 風間 蒼也(箔押し入り),WTR/S85-012SP,"2,480 円",remaining:1pcs
0,的確な防御 村上 鋼(箔押し入り),WTR/S85-056SP,"5,980 円",remaining:×
0,俊敏なエース攻撃手 空閑 遊真(箔押し入り),WTR/S85-T17SP,"12,800 円",remaining:3pcs
0,成長する隊長 三雲 修(箔押し入り),WTR/S85-T22SP,"5,980 円",remaining:×
0,真っ二つ(箔押し入り),WTR/S85-029TGR,"3,480 円",remaining:7pcs
0,遠隔斬撃(箔押し入り),WTR/S85-030TGR,"1,280 円",remaining:×
0,遠征艇の破壊(箔押し入り),WTR/S85-045TGR,500 円,remaining:6pcs
0,踊り手(箔押し入り),WTR/S85-046TGR,500 円,remaining:5pcs
0,変化が生まれた日(箔押し入り),WTR/S85-076TGR,"2,480 円",remaining:2pcs
0,集中砲火(箔押し入り),WTR/S85-077TGR,"2,480 円",remaining:4pcs
0,王子の強襲(箔押し入り),WTR/S85-078TGR,"2,480 円",remaining:5pcs
0,生駒旋空(箔押し入り),WTR/S85-079TGR,"2,980 円",remaining:×
0,チェックメイト(箔押し入り),WTR/S85-101TGR,"12,800 円",remaining:×
0,スラスターON！(箔押し入り),WTR/S85-102TGR,"3,980 円",remaining:×
0,砲撃炸裂(箔押し入り),WTR/S85-103TGR,500 円,remaining:×
0,蝶の楯(箔押し入り),WTR/S85-104TGR,"1,780 円",remaining:2pcs
0,風刃 迅 悠一(箔押し入り),WTR/S85-003OFR,"4,980 円",remaining:×
0,膨大なトリオン量 雨取 千佳(箔押し入り),WTR/S85-080OFR,"3,980 円",remaining:×
0,目標に向かって 三雲 修(箔押し入り),WTR/S85-081OFR,"12,800 円",remaining:1pcs
0,瞳の先の目標 空閑 遊真(箔押し入り),WTR/S85-082OFR,"19,800 円",remaining:×
0,新たなエース攻撃手 ヒュース(箔押し入り),WTR/S85-083OFR,"4,980 円",remaining:×
0,熟達した剣の腕 太刀川 慶,WTR/S85-T07R,"1,980 円",remaining:×
0,攻撃を掻い潜る 風間 蒼也,WTR/S85-T08R,"1,480 円",remaining:×
0,最善の道は 迅 悠一,WTR/S85-T11R,980 円,remaining:4pcs
0,縦横無尽の戦闘 小南 桐絵,WTR/S85-T12R,"1,980 円",remaining:×
0,帰国の画策 ヒュース,WTR/S85-T15R,"4,980 円",remaining:×
0,新技を備えて 雨取 千佳,WTR/S85-T18R,"4,980 円",remaining:×
0,華麗なる射手 加古 望,WTR/S85-005S,"1,280 円",remaining:×
0,素早い切り込み 緑川 駿,WTR/S85-007S,420 円,remaining:7pcs
