,card_name,card_num,price,status
0,“風使い”タバサ(サイン入り),ZM/WE13-02SP,"3,980 円",remaining:×
0,もう一人の担い手 ティファニア(サイン入り),ZM/WE13-16SP,"14,800 円",remaining:×
0,強い絆 ルイズ(サイン入り),ZM/WE13-25SP,"14,800 円",remaining:×
0,恋のライバル シエスタ(サイン入り),ZM/WE13-40SP,"19,800 円",remaining:×
0,ガリアの王族 タバサ,ZM/WE13-01,120 円,remaining:◯
0,“風使い”タバサ,ZM/WE13-02,120 円,remaining:◯
0,ルイズの守り手 サイト,ZM/WE13-03,320 円,remaining:5pcs
0,揺るぎない信頼 ルイズ,ZM/WE13-04,220 円,remaining:3pcs
0,貴族の務め ルイズ,ZM/WE13-05,500 円,remaining:3pcs
0,森の妖精 ティファニア,ZM/WE13-14,220 円,remaining:2pcs
0,優しい友達 ティファニア,ZM/WE13-15,120 円,remaining:◯
0,もう一人の担い手 ティファニア,ZM/WE13-16,320 円,remaining:◯
0,素直になれない ルイズ,ZM/WE13-24,120 円,remaining:◯
0,強い絆 ルイズ,ZM/WE13-25,320 円,remaining:3pcs
0,無意識の力 ルイズ,ZM/WE13-26,500 円,remaining:×
0,途切れぬ想い サイト,ZM/WE13-27,120 円,remaining:1pcs
0,相思相愛 ルイズ,ZM/WE13-28,680 円,remaining:×
0,恋のライバル シエスタ,ZM/WE13-40,120 円,remaining:3pcs
0,司令官 アンリエッタ,ZM/WE13-41,120 円,remaining:◯
0,入浴中のルイズ,ZM/WE13-06,80 円,remaining:◯
0,秘密兵器 イルククゥ,ZM/WE13-07,80 円,remaining:7pcs
0,デルフリンガーの相棒 サイト,ZM/WE13-08,80 円,remaining:◯
0,物静かなタバサ,ZM/WE13-09,50 円,remaining:◯
0,トリステインの騎士 サイト,ZM/WE13-10,50 円,remaining:10pcs
0,頼れる仲間 タバサ,ZM/WE13-11,50 円,remaining:◯
0,秘めた想い ティファニア,ZM/WE13-17,80 円,remaining:◯
0,入浴中のティファニア,ZM/WE13-18,220 円,remaining:◯
0,砂漠のエルフ ルクシャナ,ZM/WE13-19,80 円,remaining:◯
0,ルクシャナ&モンモランシー,ZM/WE13-20,50 円,remaining:◯
0,ティファニア&シエスタ,ZM/WE13-21,120 円,remaining:◯
0,“忘却の魔法”ティファニア,ZM/WE13-22,80 円,remaining:◯
0,理想のお部屋 ルイズ,ZM/WE13-29,120 円,remaining:◯
0,愛の狩人 キュルケ,ZM/WE13-30,120 円,remaining:◯
0,可愛い担い手 ルイズ,ZM/WE13-31,80 円,remaining:◯
0,笑顔の別れ ルイズ,ZM/WE13-32,220 円,remaining:◯
0,気丈なサイト,ZM/WE13-33,120 円,remaining:3pcs
0,コルベール先生,ZM/WE13-34,80 円,remaining:◯
0,聖国のルイズ,ZM/WE13-35,180 円,remaining:5pcs
0,“神の左手”サイト,ZM/WE13-36,50 円,remaining:◯
0,ディスペル発動!,ZM/WE13-37,80 円,remaining:◯
0,サイトへの想い アンリエッタ,ZM/WE13-42,80 円,remaining:◯
